Gene = Supt7l
index = 1045
Annotated 5SS: [ 159 4120 6691 8507]
Annotated 3SS: [ 3511  6365  8268 10846]
SMsplice 5SS: [ 159 6691 8507]
SMsplice 3SS: [ 6642  8268 10846]
top_k =  1000
Partition function (log Z): -4.612148422466982

Sorted 5' Splice Sites (High to Low Probability):
Position 159: 0.986799908967584
Position 6691: 0.872846213834905
Position 4120: 0.6899387985314291
Position 3715: 0.40453300971284467
Position 2195: 0.35384914047722393
Position 8507: 0.3506239109381562
Position 8362: 0.33452967655191457
Position 6106: 0.12498134142646859
Position 326: 0.10229429664017076
Position 9956: 0.09243021563715734
Position 8387: 0.08380818756475297
Position 1862: 0.08122099255049867
Position 9275: 0.07542462091579483
Position 8383: 0.06524775655584561
Position 6070: 0.050709711825665964
Position 7983: 0.04773659596347817
Position 9711: 0.03753518040286322
Position 1607: 0.032012570478729546
Position 5122: 0.026617073566566212
Position 8456: 0.014633213154118746
Position 2462: 0.012988866691896868
Position 4905: 0.012798644589378095
Position 8066: 0.011656342516317978
Position 10982: 0.011552758126185616
Position 9817: 0.010215707775296571
Position 7946: 0.00724028966869101
Position 653: 0.006429549934058017
Position 8642: 0.005357537313206035
Position 4976: 0.005351832971617284
Position 2397: 0.004819449766625316
Position 6102: 0.004785759946257895
Position 10939: 0.00430863869012776
Position 6601: 0.0041703216154669025
Position 8482: 0.00410375600853891
Position 1589: 0.00407661455357937
Position 6476: 0.003926527462887826
Position 6462: 0.0036348041139262445
Position 330: 0.0033367044735908304
Position 2884: 0.002746959284422609
Position 10322: 0.0027454380072510923
Position 2955: 0.002523153175190813
Position 7964: 0.0024368928040671566
Position 6759: 0.0023874794355703997
Position 3978: 0.002208527684280411
Position 10689: 0.0020874107274736252
Position 647: 0.0019801497358537035
Position 3209: 0.0018798071872812413
Position 2054: 0.001850356622537137
Position 10374: 0.0017319911253410704
Position 6811: 0.0016992697384138331
Position 6589: 0.0015215919669873978
Position 8757: 0.0014394747135984664
Position 6856: 0.0013275254559210056
Position 9532: 0.0011416194114321919
Position 2467: 0.0010671329772823427
Position 2677: 0.0009947627269157487
Position 10762: 0.0009730771915647678
Position 1575: 0.0009631378051326852
Position 8974: 0.0009284723107532248
Position 9734: 0.0009269575516495612
Position 6872: 0.0008164590213296695
Position 9599: 0.0007844280846193069
Position 4682: 0.0007181509178916249
Position 2560: 0.0007164946524934594
Position 6086: 0.0006873422605886086
Position 715: 0.0006805715123326693
Position 9948: 0.0006781009924039502
Position 677: 0.000677865765332921
Position 10005: 0.0005902407562449793
Position 2362: 0.0005732749856970601
Position 4595: 0.0005024930196490363
Position 6284: 0.00048004242884579473
Position 7440: 0.00046004045674070943
Position 1532: 0.00045835678440432273
Position 3024: 0.00042343622345259124
Position 2419: 0.0004123293341758224
Position 8205: 0.00040792319888564746
Position 1693: 0.0003819751387012992
Position 2992: 0.000310997384286235
Position 5200: 0.0002456885983619046
Position 10971: 0.0002310008485306378
Position 1185: 0.00020057044383641785
Position 1895: 0.0001888457732732144
Position 6786: 0.0001861916355159466
Position 8857: 0.0001735010638207569
Position 1942: 0.00017163990881229976
Position 6136: 0.00015828459834168703
Position 2589: 0.00014763817984441975
Position 2531: 0.00011667883971330572
Position 3347: 9.721340373186233e-05
Position 2699: 8.14826015855679e-05
Position 2809: 8.064062050932455e-05
Position 2798: 7.719300734503604e-05
Position 2295: 7.520330494948772e-05
Position 1877: 7.03499567704903e-05
Position 1971: 6.131056733601418e-05
Position 2269: 5.8857297406234143e-05
Position 6815: 5.454988195736794e-05
Position 2183: 5.3430378127398494e-05
Position 507: 4.358583836526604e-05
Position 6613: 4.305191700964581e-05
Position 615: 4.026068186012069e-05
Position 2201: 3.853785160060728e-05
Position 287: 3.370610728782479e-05
Position 135: 3.3445702992253246e-05
Position 1545: 3.122266499784904e-05
Position 780: 3.0944611235828445e-05
Position 163: 2.8956598951654036e-05
Position 1810: 2.674256749543538e-05
Position 247: 2.2067566169435923e-05
Position 116: 2.1047478296978944e-05
Position 1243: 2.0911599487169443e-05
Position 122: 2.0767808695540667e-05
Position 351: 1.6678234709572377e-05
Position 190: 1.517574895965137e-05
Position 6: 1.5019292699401364e-05
Position 760: 1.4718947977139713e-05
Position 895: 1.287426093363594e-05
Position 747: 1.2148641009887232e-05
Position 1808: 1.0725513336624932e-05
Position 1685: 8.94467183708149e-06
Position 1710: 7.896289553188191e-06
Position 1181: 7.463202581896513e-06
Position 1270: 7.371010618902595e-06
Position 795: 7.19184225625821e-06
Position 9244: 7.1496147318450825e-06
Position 1889: 6.317652004781894e-06
Position 8656: 6.028736676347566e-06
Position 1790: 5.298755297379794e-06
Position 512: 4.13153015106877e-06
Position 60: 3.0168245328574994e-06
Position 1041: 2.500778234420398e-06
Position 99: 2.2469250785537268e-06
Position 1074: 2.117221452417802e-06
Position 43: 1.9766153523608704e-06
Position 220: 1.4476331085514768e-06
Position 1310: 1.4279952238196791e-06
Position 184: 9.207490463838754e-07
Position 51: 8.01248248878478e-07
Position 767: 7.847402914458646e-07
Position 637: 7.094487760297302e-07
Position 873: 6.745515161235258e-07
Position 555: 6.541807877708455e-07
Position 447: 6.332502910408129e-07
Position 1278: 5.989348653895526e-07
Position 1109: 5.631302107497002e-07
Position 393: 4.3941860828131397e-07
Position 398: 4.211740504658989e-07
Position 1037: 3.893768296871064e-07
Position 1061: 3.060569403338845e-07
Position 1168: 1.509854616176775e-07
Position 853: 8.174430838464899e-08
Position 458: 4.787771364080386e-08
