Gene = Spesp1
index = 1012
Annotated 5SS: [207]
Annotated 3SS: [8644]
SMsplice 5SS: [207]
SMsplice 3SS: [9262]
top_k =  1000
Partition function (log Z): -9.159350028464123

Sorted 5' Splice Sites (High to Low Probability):
Position 207: 0.94017731836588
Position 2808: 0.25409784272375174
Position 4723: 0.21404871189163527
Position 2366: 0.095071886715181
Position 7597: 0.042821044224002645
Position 199: 0.03859071182866566
Position 2336: 0.03466983094144717
Position 8806: 0.03383326029332691
Position 776: 0.028763409771486427
Position 48: 0.023945598001516473
Position 9516: 0.022333254341785923
Position 8790: 0.015901069415735884
Position 4746: 0.015553323549089788
Position 3699: 0.015552874474947293
Position 634: 0.015060395043232765
Position 8823: 0.010298861383859097
Position 9709: 0.010225305733698155
Position 83: 0.00807451438509126
Position 2202: 0.0075164144437444924
Position 849: 0.007468135917340346
Position 3721: 0.007281146992326909
Position 5068: 0.007068295472698397
Position 1336: 0.006497934151152782
Position 4541: 0.006155715332264951
Position 7652: 0.004320042732532559
Position 7963: 0.0038126133509281328
Position 5075: 0.0032917403813175557
Position 9123: 0.0031618527554885985
Position 4553: 0.0026305396865332546
Position 381: 0.0024348880533095973
Position 8936: 0.00195712872219689
Position 8571: 0.0017709251662269203
Position 392: 0.0013920135975349574
Position 2191: 0.0013777248136100423
Position 2785: 0.001070625994049067
Position 8561: 0.000951433645706963
Position 1746: 0.0009356397493843356
Position 2813: 0.000861633222659372
Position 583: 0.0008554948699875531
Position 477: 0.0008306298550232992
Position 5000: 0.0008156934972507507
Position 1373: 0.0007944626015415981
Position 2743: 0.0007871871330370996
Position 3818: 0.0006271398133450884
Position 1273: 0.0006104031280601397
Position 4153: 0.0005838730757583121
Position 829: 0.0005144935031354227
Position 1891: 0.00030324903239523066
Position 598: 0.00030238821080521476
Position 1888: 0.00027592045015741414
Position 226: 0.0002677285409513357
Position 1201: 0.00025897155613881744
Position 1825: 0.0001934458147131379
Position 164: 0.00019097669421821493
Position 1737: 0.00018954514570741976
Position 1355: 0.0001309647665435704
Position 276: 0.00012366799368034967
Position 780: 0.00011643505277956668
Position 4079: 0.00010875180211777026
Position 211: 0.00010834717437267999
Position 2269: 0.00010341767213651187
Position 4354: 9.743352359535364e-05
Position 3298: 9.623878626057577e-05
Position 3235: 6.959499318449442e-05
Position 1635: 6.262914261255542e-05
Position 573: 6.121495095681823e-05
Position 2328: 5.080896650705793e-05
Position 1340: 4.259656205464136e-05
Position 3797: 3.713525424430405e-05
Position 235: 2.7890558374156125e-05
Position 223: 1.2207331335978775e-05
Position 155: 1.1158696096026986e-05
Position 40: 8.925398974515406e-06
Position 216: 7.411215753474837e-06
Position 16: 3.4373748195267945e-06
Position 187: 2.2031565675058972e-06
Position 237: 1.981131700588408e-06
Position 394: 1.7883430257691106e-06
Position 158: 1.2261368117818167e-06
Position 468: 9.103129090311093e-07
Position 692: 8.758377637397253e-07
Position 471: 8.753975743606357e-07
Position 607: 6.857247726868323e-07
Position 446: 6.209394669283183e-07
Position 744: 6.124785480433949e-07
Position 269: 5.802330925164173e-07
Position 96: 5.603857514094797e-07
Position 496: 4.910259468317539e-07
Position 115: 4.6456310786300637e-07
Position 785: 4.369273848811681e-07
Position 644: 3.414784795255338e-07
Position 172: 3.367427792814021e-07
Position 490: 2.738212928731597e-07
Position 348: 2.564560167640333e-07
Position 862: 2.2251656236218288e-07
Position 751: 1.7693916036974178e-07
Position 854: 1.604766203712469e-07
Position 128: 1.230934229166589e-07
Position 625: 1.1440174545501495e-07
Position 671: 8.677335294534832e-08
Position 451: 7.024949745517719e-08
Position 875: 6.336475226624129e-08
Position 109: 5.767043855707551e-08
Position 627: 5.6767798121290715e-08
Position 704: 4.45882150004612e-08
Position 1349: 3.441399301667069e-08
Position 790: 2.2173416265519993e-08
Position 642: 2.155198369592196e-08
Position 289: 1.8595995632321727e-08
Position 1156: 7.294663882323765e-09
Position 278: 5.406975356837704e-09
Position 257: 5.299524454644074e-09
Position 309: 1.8074877148468382e-09
Position 280: 7.830152103101082e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 9262: 0.3581633754207729
Position 4485: 0.31660350739356435
Position 2657: 0.25140569712969213
Position 8703: 0.08497403674453388
Position 10588: 0.08214418267084729
Position 2133: 0.06750535946497943
Position 2194: 0.05592861124278217
Position 319: 0.05307078226765304
Position 4594: 0.048918228261228824
Position 7547: 0.04573848137552078
Position 1165: 0.03529518120651302
Position 510: 0.034835844502261716
Position 3525: 0.030353079427009134
Position 4791: 0.030103973190062073
Position 7831: 0.028726593331951402
Position 652: 0.026873320650501586
Position 6928: 0.020195874978047555
Position 8644: 0.020078028410426187
Position 7294: 0.018971578414921152
Position 9602: 0.01672598982004997
Position 2742: 0.013985399153209928
Position 3932: 0.01395647135675523
Position 1133: 0.013819871465429807
Position 8496: 0.011312252359041746
Position 7180: 0.01047530579237386
Position 9538: 0.01030461893045349
Position 10930: 0.009552886587956045
Position 2255: 0.009349951471430803
Position 151: 0.009083872842316416
Position 10105: 0.008878469967949679
Position 4437: 0.008049479566924573
Position 4490: 0.007930210035585748
Position 8991: 0.007803683968117692
Position 6583: 0.007398141187615128
Position 9490: 0.007130334570225005
Position 6952: 0.006012123305793716
Position 7744: 0.005732374854668646
Position 6354: 0.005417926484525765
Position 9708: 0.004377770567806117
Position 2311: 0.0038317301875154764
Position 2444: 0.0036882590637440102
Position 8730: 0.0031855596728663097
Position 364: 0.0030995569907820413
Position 3234: 0.003092670000829389
Position 2600: 0.002568217545991953
Position 5127: 0.0025385519830707867
Position 4256: 0.0024126356001036523
Position 6021: 0.0024119246657135157
Position 1953: 0.0024083491748157927
Position 5945: 0.0022500120926071793
Position 2059: 0.002216782513037204
Position 1551: 0.002202000451141469
Position 2695: 0.0021986398800801646
Position 11243: 0.0021681899795578563
Position 515: 0.002109209647221642
Position 4413: 0.002096710089863551
Position 1039: 0.0020544590590837117
Position 7734: 0.0020133453621166
Position 4618: 0.001978939055188896
Position 2676: 0.0019252013206439162
Position 128: 0.001916019638050618
Position 3899: 0.0018642908328041527
Position 11303: 0.0018154349140283442
Position 2162: 0.0016218466447211841
Position 2400: 0.0015253675364802527
Position 406: 0.0014157185176703986
Position 663: 0.0013579716851768633
Position 1265: 0.001300945068712098
Position 4302: 0.0012930993461575874
Position 7302: 0.001255268216986289
Position 4803: 0.0012175034021036253
Position 1194: 0.0011830047356729228
Position 5504: 0.0011231738599833977
Position 1607: 0.001113571169873849
Position 289: 0.0010830383717415112
Position 5425: 0.0010626552436907382
Position 1232: 0.0010514593611064321
Position 5391: 0.0010015370556341293
Position 1745: 0.000997932875676471
Position 5095: 0.0009944364617130118
Position 1690: 0.0009928723033005855
Position 6117: 0.0009551750600199709
Position 1210: 0.0009164405165364716
Position 380: 0.00091259928309743
Position 3144: 0.0008591245604497893
Position 164: 0.0008374578302661459
Position 2496: 0.000828745774258405
Position 5811: 0.0008126012221841288
Position 2613: 0.0007615970316332979
Position 5708: 0.0007581065866999295
Position 468: 0.0007410000260005346
Position 9229: 0.0007172140753352963
Position 8186: 0.000681274847365568
Position 3610: 0.0006738928175899875
Position 8736: 0.0006316711863788532
Position 7786: 0.0006166547075848381
Position 5254: 0.00061245893578861
Position 8668: 0.0005837851172817961
Position 2475: 0.0004907922658029949
Position 583: 0.0004517647475060424
Position 4114: 0.0004457821725602218
Position 2919: 0.0004324688468045927
Position 2864: 0.000428255406707292
Position 2283: 0.0004078198088147809
Position 4048: 0.0003967766040361065
Position 7269: 0.0003717289216308266
Position 7651: 0.0003459997762688639
Position 1057: 0.00032785624283424773
Position 6792: 0.00032778907107195164
Position 6259: 0.00031683850543738607
Position 3858: 0.00030531614231610923
Position 6870: 0.00030249931341876194
Position 2262: 0.0002944132627012957
Position 551: 0.00029388291958653813
Position 607: 0.0002861729209900735
Position 1706: 0.0002827220304932126
Position 6276: 0.00027966067625956667
Position 619: 0.0002791326082039691
Position 6675: 0.00025800946025873674
Position 1102: 0.00023963653025475365
Position 1485: 0.00023147589021817788
Position 3973: 0.00022909399342536046
Position 1522: 0.00022541576064803593
Position 1596: 0.00020982073572461732
Position 2670: 0.00018213752412506813
Position 1214: 0.00018004776711694954
Position 5223: 0.00016914567799464374
Position 4765: 0.00015875910724505408
Position 5847: 0.0001386433153518156
Position 4084: 0.00012184385775105655
Position 2416: 0.00012131099995072979
Position 425: 0.00011773773466069427
Position 4377: 0.00010811343915941042
Position 692: 0.0001075898282727669
Position 391: 0.00010545337688736716
Position 1887: 0.00010061464574392672
Position 4199: 9.010290839617039e-05
Position 671: 8.210610486045787e-05
Position 588: 8.103073740503016e-05
Position 668: 7.689795846551767e-05
Position 2555: 7.344013070020646e-05
Position 2328: 7.259937039869341e-05
Position 2866: 6.561927998717899e-05
Position 1304: 4.7926029714636576e-05
Position 1824: 4.098708549931394e-05
Position 2956: 3.770874213494818e-05
Position 630: 3.3250096734666645e-05
Position 847: 3.228672801283987e-05
Position 336: 2.2353479081776377e-05
Position 2166: 2.113202295209117e-05
Position 2750: 2.0450177630247926e-05
Position 2335: 1.7757199019360846e-05
Position 2086: 1.4396862009576169e-05
Position 105: 8.460478414648196e-06
Position 1615: 7.677046362305475e-06
Position 558: 7.384302508074077e-06
Position 2093: 6.243401778259236e-06
Position 633: 5.8900138072998845e-06
Position 761: 5.317789128162806e-06
Position 2771: 2.343566544706841e-06
Position 697: 1.358639758940847e-06
Position 82: 1.2818499947428801e-06
Position 3533: 1.0270719845698822e-06
Position 1630: 8.625797915357894e-07
Position 1792: 5.954208615818099e-07
Position 234: 3.5683238474172554e-07
Position 701: 3.3515434866851353e-07
Position 2090: 3.249932394140252e-07
Position 682: 2.9323013178681715e-07
Position 523: 2.606910688203353e-07
Position 594: 1.807750979793034e-07
Position 832: 1.577450308149151e-07
Position 276: 1.2960346987701117e-07
Position 1966: 1.2067190284036299e-07
Position 3699: 1.0820683564981088e-07
Position 828: 8.469258787870587e-08
Position 731: 6.419420203509004e-08
Position 737: 6.359016791373021e-08
Position 90: 5.5813166121878523e-08
Position 771: 1.3328616476025244e-08
Position 1176: 1.1891944073825961e-08
Position 207: 8.665073051709077e-09
Position 704: 1.2817677830488575e-09
Position 211: 1.1043077051714362e-10
