Gene = Ngrn
index = 745
Annotated 5SS: [209 717]
Annotated 3SS: [ 605 3162]
SMsplice 5SS: [ 209  717 2989]
SMsplice 3SS: [ 605 2872 3162]
top_k =  1000
Partition function (log Z): -0.15897574667917747

Sorted 5' Splice Sites (High to Low Probability):
Position 717: 0.9878039306924913
Position 209: 0.8456741397158398
Position 3258: 0.5479019424442675
Position 2989: 0.4942787831764218
Position 3009: 0.45838225051882714
Position 2122: 0.3211719713240263
Position 2385: 0.20296271821772652
Position 2186: 0.1459479060867771
Position 2464: 0.06963478532469529
Position 919: 0.06340073351213288
Position 201: 0.05235449730051494
Position 441: 0.03946826012177778
Position 2156: 0.03787310634396269
Position 3687: 0.02222354250991641
Position 1557: 0.01887697481802257
Position 120: 0.010489273365153857
Position 923: 0.009759121618501083
Position 446: 0.009041077865857975
Position 2203: 0.006189478461502528
Position 2140: 0.005960605345749755
Position 671: 0.003898732778903262
Position 3710: 0.003486117324508547
Position 1425: 0.003481011784546167
Position 505: 0.003248316187412282
Position 107: 0.0029700389282177483
Position 2351: 0.002316771464643391
Position 888: 0.0022157055325717065
Position 2059: 0.0021160060907050855
Position 2414: 0.0018616899895864492
Position 3648: 0.0018321999105347948
Position 1075: 0.0018029802354813445
Position 103: 0.0016833113742943033
Position 1152: 0.0016810601511351943
Position 1324: 0.0016761218662727766
Position 355: 0.0014677100621141093
Position 3813: 0.0014095180412143317
Position 3205: 0.0012940870228210254
Position 3193: 0.0007885276559503993
Position 81: 0.0007179521156679625
Position 3058: 0.0007084947939826063
Position 113: 0.0006035336871263038
Position 3305: 0.000578302656718625
Position 3871: 0.0005662411205401294
Position 241: 0.0005275749407606981
Position 333: 0.000480031699879341
Position 1767: 0.00043434168083611793
Position 2168: 0.000432108513799702
Position 3: 0.00042493278666912626
Position 3049: 0.0003560998298362314
Position 2494: 0.0003381974178456777
Position 380: 0.00032999846181779415
Position 1840: 0.00032655369331693364
Position 1645: 0.0003130934182486755
Position 450: 0.0003102627598461083
Position 290: 0.000306204817071903
Position 2126: 0.00030294668461851683
Position 136: 0.0002942504442157282
Position 2043: 0.00026146862856178503
Position 3339: 0.00025939414843504814
Position 1975: 0.00023323206673602553
Position 3861: 0.00022491105117496748
Position 2145: 0.00022413536212698
Position 435: 0.0002149445031470605
Position 2963: 0.00020436700587232075
Position 2359: 0.00019013832271689177
Position 39: 0.00017275552541893803
Position 13: 0.00017041510484947233
Position 2065: 0.00016879589871255366
Position 457: 0.00015842377573936444
Position 2228: 0.00015365943231544717
Position 2373: 0.00014389206727977492
Position 420: 0.0001253337211472891
Position 220: 0.00012108247324354467
Position 1710: 0.00010718310653784623
Position 303: 0.00010324948649382874
Position 76: 9.631444157430186e-05
Position 764: 9.558616553435546e-05
Position 141: 9.141927795621372e-05
Position 319: 8.847635820976942e-05
Position 980: 8.458187731312212e-05
Position 79: 7.675059253222269e-05
Position 878: 5.332037990954519e-05
Position 2376: 5.326723655293718e-05
Position 2389: 5.266635840530122e-05
Position 3435: 5.132125989871396e-05
Position 724: 5.106839528511391e-05
Position 412: 4.778642686003379e-05
Position 1531: 4.328643462758902e-05
Position 23: 4.262860211484825e-05
Position 693: 4.1796464102385806e-05
Position 1345: 3.3206529403582685e-05
Position 261: 3.277952727018905e-05
Position 3001: 2.73374159531578e-05
Position 1725: 2.3850178063359786e-05
Position 2997: 2.263302069283272e-05
Position 2212: 2.0673550037914927e-05
Position 1979: 1.9434578035270376e-05
Position 1059: 1.7075005400026646e-05
Position 481: 1.706400012942673e-05
Position 937: 1.6288157346648074e-05
Position 452: 1.4725211712144164e-05
Position 400: 1.3673725194258308e-05
Position 1805: 1.2921460962738428e-05
Position 393: 1.271432980036551e-05
Position 1005: 1.216635670524079e-05
Position 336: 1.2060988393604287e-05
Position 2943: 1.1284626960138957e-05
Position 2957: 8.229948329725102e-06
Position 947: 8.11130477112942e-06
Position 538: 7.996066273869938e-06
Position 2841: 7.934613858290356e-06
Position 1762: 7.233318787677396e-06
Position 2883: 7.15953905423438e-06
Position 1722: 6.923944459188383e-06
Position 1484: 6.8544424239281815e-06
Position 1928: 6.587307975792996e-06
Position 3020: 6.5523684638974126e-06
Position 771: 5.753232323493967e-06
Position 1331: 5.154147714861037e-06
Position 2947: 4.9277267865542355e-06
Position 1707: 4.4404525305007376e-06
Position 3461: 3.4066376844015123e-06
Position 1293: 3.2492730787083943e-06
Position 3262: 3.225816335050316e-06
Position 1054: 2.666055046148107e-06
Position 398: 2.467717508637743e-06
Position 470: 1.9860748428449115e-06
Position 3248: 1.8559195547707994e-06
Position 1416: 1.4686113107895094e-06
Position 561: 1.287716147243804e-06
Position 1285: 1.210190120973203e-06
Position 3266: 8.745497811139149e-07
Position 2449: 8.740201308889928e-07
Position 385: 8.553058808782447e-07
Position 3422: 7.71646254377688e-07
Position 3653: 3.705662550680809e-07
Position 3633: 1.108048879294437e-07
Position 617: 1.0066921656837385e-07
Position 1195: 2.679013858196105e-08
Position 1578: 6.57916848599363e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3162: 0.9769854994478755
Position 2872: 0.7836138588329236
Position 605: 0.7804516134936996
Position 1953: 0.42266918592310626
Position 2293: 0.26574576388565146
Position 3762: 0.24440311453738547
Position 3563: 0.1180185842889079
Position 2840: 0.11083945539297739
Position 2068: 0.10340806877822514
Position 621: 0.06958832353628161
Position 3359: 0.05608002268876215
Position 3577: 0.05597811516916763
Position 3741: 0.04342753796228923
Position 561: 0.03926363589766057
Position 828: 0.03917971002891757
Position 791: 0.037176892871930114
Position 642: 0.036799910504068147
Position 2876: 0.036191157946677294
Position 2917: 0.018177324525386347
Position 3603: 0.015041388719831725
Position 1264: 0.014675805386637705
Position 3413: 0.013429698564103816
Position 574: 0.013027221000722393
Position 341: 0.009973666158069163
Position 3483: 0.006825340374836301
Position 3435: 0.00535077636633629
Position 2936: 0.005311788523380663
Position 2071: 0.004779663533290687
Position 628: 0.00476646615361637
Position 3804: 0.0043454586008996685
Position 3613: 0.004151405514960022
Position 3332: 0.0034464531347848065
Position 4148: 0.0032469313002489986
Position 3488: 0.0029010238189917407
Position 3334: 0.0026988817981331518
Position 1239: 0.0024082949126678532
Position 281: 0.002395866221889172
Position 3624: 0.002112413748420103
Position 379: 0.002105205591151332
Position 2298: 0.0019208495785553875
Position 3439: 0.0019086936728574513
Position 4001: 0.001735965993845196
Position 1195: 0.001691227869405287
Position 3370: 0.0015295782680350262
Position 3343: 0.0013645008160052957
Position 440: 0.0013253893970111485
Position 1484: 0.0012800806158674994
Position 2593: 0.0012200012479550446
Position 1622: 0.0010854449334036858
Position 1423: 0.0010444528109747346
Position 795: 0.0009942609472270024
Position 497: 0.0009608533482710997
Position 1323: 0.0008393061133436098
Position 3082: 0.0007993950714932467
Position 3589: 0.0007625124150412334
Position 3422: 0.0007101573020624291
Position 3278: 0.0006983537365404308
Position 859: 0.0006011691435334193
Position 3995: 0.0005919550673181361
Position 2235: 0.0005723203729683951
Position 449: 0.0005694509701317972
