Gene = Cd2bp2
index = 236
Annotated 5SS: [  72  640  978 1257 1798 1986]
Annotated 3SS: [ 538  841 1098 1358 1878 2069]
SMsplice 5SS: [  86  640  978 1257 1798 1986 2177]
SMsplice 3SS: [ 532  841 1160 1358 1878 2069 2917]
top_k =  1000
Partition function (log Z): 4.337661411045435

Sorted 5' Splice Sites (High to Low Probability):
Position 978: 0.9711791629974491
Position 1986: 0.9385762212927538
Position 2177: 0.8640547166212647
Position 1798: 0.8233965268556619
Position 1257: 0.6559752895355612
Position 640: 0.6303807201098549
Position 86: 0.5325810116350381
Position 1299: 0.26184721774101355
Position 214: 0.12111662522588637
Position 72: 0.09647891473095425
Position 2464: 0.06523393674519136
Position 226: 0.045236615866002444
Position 2366: 0.040252044420133484
Position 1426: 0.03665462504181397
Position 262: 0.03516138251907557
Position 1601: 0.028778707368993326
Position 4122: 0.0252692390499196
Position 155: 0.020422086565003335
Position 3316: 0.01550337845603483
Position 1636: 0.015329907909992106
Position 3888: 0.012363402361279896
Position 235: 0.011905293387905998
Position 732: 0.011081280279351877
Position 1259: 0.010450892212759681
Position 1359: 0.007497146066384509
Position 248: 0.006522651773649904
Position 199: 0.006477425674563463
Position 4096: 0.006057104871196156
Position 3279: 0.005900116858811232
Position 1478: 0.005870339044002118
Position 1661: 0.005155545470156172
Position 1328: 0.004867926339376858
Position 2259: 0.0045913487213891935
Position 2076: 0.0045214609929387075
Position 166: 0.00447076850915386
Position 1395: 0.0032941492084194056
Position 608: 0.003224560121896871
Position 3945: 0.0029290176848602765
Position 3160: 0.002724965165358239
Position 1040: 0.0025131565397507314
Position 2928: 0.0023279680143559792
Position 1033: 0.0023243774248175525
Position 1494: 0.00218242392353479
Position 2749: 0.0020624275648569303
Position 1762: 0.001585411413935402
Position 3355: 0.0015612809101624586
Position 1472: 0.001499525287015866
Position 1475: 0.0013680914174366158
Position 2987: 0.0013313604322015612
Position 395: 0.0012925601719016733
Position 461: 0.0012557807215981228
Position 1681: 0.0011557805624259647
Position 278: 0.0006984240075322242
Position 1099: 0.0006974009882123091
Position 2171: 0.0006511431017458489
Position 2842: 0.0005903265699307103
Position 1293: 0.0005729321224769677
