Gene = Ccpg1
index = 231
Annotated 5SS: [  245 12042 13716 14111 16447 20464 24984 27564]
Annotated 3SS: [11972 13594 14033 16247 20211 24867 26500 29902]
SMsplice 5SS: [  245 12042 13716 14111 16447 18508 24984]
SMsplice 3SS: [11972 13594 14033 16247 18397 24867 29902]
top_k =  1000
Partition function (log Z): 1.2532620412576043

Sorted 5' Splice Sites (High to Low Probability):
Position 24984: 0.9992645767594266
Position 245: 0.9873773954549694
Position 14111: 0.8905509077198457
Position 16447: 0.8709361945424935
Position 13716: 0.8674221153310353
Position 12042: 0.8526624033950092
Position 30001: 0.7356291572537247
Position 18508: 0.7263685845040008
Position 7195: 0.5191522266155397
Position 8231: 0.384477494036478
Position 20464: 0.3579741707507651
Position 16792: 0.22797793333420768
Position 7178: 0.20568266791727807
Position 28832: 0.19262871504047743
Position 27898: 0.17317146498853808
Position 20377: 0.163217690496476
Position 6302: 0.15893172364413144
Position 21964: 0.13508432165445936
Position 7399: 0.11300746943341487
Position 20536: 0.09111385867041395
Position 24754: 0.08716201940817825
Position 12091: 0.08612458994401931
Position 4589: 0.08538597897290194
Position 15861: 0.07994951570943253
Position 18533: 0.07840627516258541
Position 17613: 0.0662085987491057
Position 20408: 0.06524852142489154
Position 24594: 0.06424283459608365
Position 22227: 0.056129452210703694
Position 12584: 0.04887899903019843
Position 28617: 0.04242644233463787
Position 25214: 0.03998451912279571
Position 8555: 0.03927270830280323
Position 22709: 0.034761659488842016
Position 21396: 0.033434824968858634
Position 25695: 0.031197318594866623
Position 22281: 0.03109198574439586
Position 16421: 0.02993529328488067
Position 13116: 0.0260725314022364
Position 7182: 0.02539762028312939
Position 10895: 0.025364501626715833
Position 7404: 0.02496526226823083
Position 3447: 0.024759684884289392
Position 27564: 0.02389859230668932
Position 11766: 0.023788191827700658
Position 18773: 0.02331575473336743
Position 19924: 0.02071477027469826
Position 3686: 0.019702277921423643
Position 1236: 0.019435168748856646
Position 21735: 0.018556246409137694
Position 24277: 0.017770465525210187
Position 4287: 0.01747634871499171
Position 15998: 0.01746946080049761
Position 21835: 0.01692029235903427
Position 13710: 0.016449298659390172
Position 12841: 0.016056629152468055
Position 29815: 0.01569792241609836
Position 5946: 0.012725462550739761
