Gene = Pgap2
index = 813
Annotated 5SS: [  230 13129 16084 25985 26181 26869]
Annotated 3SS: [13016 15908 25731 26085 26759 27038]
SMsplice 5SS: [  230 12369 13129 26181 26869]
SMsplice 3SS: [12219 13016 26085 26759 27038]
top_k =  1000
Partition function (log Z): -8.101665918777211

Sorted 5' Splice Sites (High to Low Probability):
Position 230: 0.9488979915409653
Position 13129: 0.8570467515170875
Position 26869: 0.6628402120596664
Position 26181: 0.5897495087386345
Position 12440: 0.5730104572850012
Position 19827: 0.4828889000567524
Position 16084: 0.48133226644648286
Position 15499: 0.46992440283967923
Position 26193: 0.4067643771656832
Position 2081: 0.39802894438110226
Position 12369: 0.3496085094453679
Position 10770: 0.2363297217932033
Position 1905: 0.2134633845566176
Position 24069: 0.19712864246081696
Position 20970: 0.17946591986738394
Position 12936: 0.1613778010187279
Position 21064: 0.13636305698558365
Position 27260: 0.1113417832241379
Position 12124: 0.10680456258245598
Position 1594: 0.04967550271213743
Position 7990: 0.0459911682566746
Position 27865: 0.04566127997216255
Position 102: 0.042308179855518956
Position 14123: 0.041141231006156805
Position 834: 0.03799099795947555
Position 27955: 0.03748751428540385
Position 8189: 0.03578252525510417
Position 12789: 0.028076740285000675
Position 12453: 0.027227049082246248
Position 567: 0.024744446980077467
Position 24079: 0.023858180634271777
Position 12761: 0.01936356329545496
Position 586: 0.013800519439156313
Position 2077: 0.012562479975585673
Position 12344: 0.011049001371810136
Position 27109: 0.007965853575454087
Position 26857: 0.007485880823034067
Position 18617: 0.007151863059769951
Position 26965: 0.006032473615853235
Position 27853: 0.004040302059445402
Position 1808: 0.0038382840842925182
Position 9514: 0.0032707827326607522
Position 1815: 0.0030638944087144973
Position 13806: 0.0030240217263555365
Position 1837: 0.0029257595739844615
Position 8477: 0.002289288174435788
Position 15365: 0.0020992655626621247
Position 1064: 0.0020974722935933414
Position 12420: 0.001910067100322814
Position 26427: 0.0015152153336086853
Position 27625: 0.0015142707846224493
Position 118: 0.0014019046653450115
Position 26411: 0.0013442881192846697
Position 26852: 0.0011522519833044706
Position 26666: 0.0009549287856757192
Position 13818: 0.0007586879282614571
Position 1295: 0.0007398316976403512
Position 15478: 0.0007134428847957953
Position 1038: 0.0007077238678847944
Position 991: 0.0007055146499246059
Position 52: 0.0006232334886906351
Position 27539: 0.0006178897313511383
Position 26259: 0.00041095422016091543
Position 779: 0.0003460845920169176
Position 627: 0.00033424373257199327
Position 1563: 0.0003177324325998454
Position 608: 0.00024677481734137146
Position 213: 0.00018785398767249623
Position 1207: 0.00017122283142462913
Position 591: 0.0001462847865344355
Position 1335: 0.0001412166436924733
Position 1344: 0.00013703920116769588
Position 1733: 0.0001330595753435697
Position 236: 0.0001007844029165949
Position 1021: 9.575274465748338e-05
Position 26522: 8.758836014337891e-05
Position 1107: 7.950298670405563e-05
Position 856: 7.498949813582024e-05
Position 1557: 7.295668802610935e-05
Position 580: 6.880478152401282e-05
Position 1051: 6.578146318357934e-05
Position 1300: 6.406663500139591e-05
Position 1721: 5.65858286199818e-05
Position 1884: 2.464327700525678e-05
Position 405: 1.284520609493459e-05
Position 24: 1.2664945531617579e-05
Position 143: 1.0558665068567843e-05
Position 145: 9.709352601596363e-06
Position 135: 6.044516020726973e-06
Position 258: 3.9173147567989955e-06
Position 1962: 3.0350329517876084e-06
Position 536: 2.131278243653109e-06
Position 645: 1.1831167246403832e-06
Position 1318: 1.0143657515703962e-06
Position 106: 9.734570499132055e-07
Position 75: 9.7299519863707e-07
Position 29: 8.701089987051566e-07
Position 529: 8.099424935387673e-07
Position 746: 7.83720810228531e-07
Position 619: 7.0990539878039e-07
Position 376: 6.809278498795644e-07
Position 600: 6.611037909176894e-07
Position 738: 5.342411953966402e-07
Position 1287: 5.098582049951128e-07
Position 351: 4.960572992442503e-07
Position 1232: 4.646091042604468e-07
Position 1164: 2.371017051091251e-07
Position 802: 2.2182286879510208e-07
Position 1419: 1.4676708851777878e-07
Position 1598: 1.2731544426241078e-07
Position 1143: 1.1539696614670144e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 26085: 0.9986489557735654
Position 13016: 0.8492652894430738
Position 27038: 0.49427657005621634
Position 15908: 0.47757270785394734
Position 12219: 0.46631867987789044
Position 1975: 0.36517775163454463
Position 27700: 0.35685789584393274
Position 12419: 0.3045779259518958
Position 19773: 0.29061763115568406
Position 26759: 0.2709990226531806
Position 20903: 0.26423961257955825
Position 15359: 0.2370630073029722
Position 26584: 0.22976898774415397
Position 26501: 0.22673200002540914
Position 23965: 0.22134228335352388
Position 1764: 0.20825507562985068
Position 12309: 0.20064606559473688
Position 19529: 0.19254478046067897
Position 15457: 0.16520596471540366
Position 10520: 0.12304421173201657
Position 12823: 0.11538037779608362
Position 12005: 0.10680456258245598
Position 10697: 0.08576251795998778
Position 28139: 0.05800649102610992
Position 7893: 0.05741371328920567
Position 20841: 0.05162897153374105
Position 15246: 0.04895295308908973
Position 28174: 0.0476756490990087
Position 27104: 0.04710887804469009
Position 1441: 0.046395835124314076
Position 12869: 0.04311981426139354
Position 716: 0.04032102463489092
Position 12649: 0.03736051100698445
Position 26734: 0.03688053906331762
Position 14043: 0.03244910083078627
Position 10599: 0.027523157798226706
Position 28062: 0.02692803601176532
Position 1904: 0.026924696974880286
Position 26728: 0.024010231351236686
Position 431: 0.019781116584906513
Position 8073: 0.01764931663091963
Position 27793: 0.013465544662775523
Position 27765: 0.012036441475051809
Position 27590: 0.01121228883964518
Position 26290: 0.01024075361302609
Position 12781: 0.009431372606168595
Position 15062: 0.008454977544487347
Position 15265: 0.007233125613572042
Position 1979: 0.0065547982458579205
Position 18494: 0.006523272604417008
Position 386: 0.005997488575470862
Position 27661: 0.005925850541139718
Position 15153: 0.005837108228113842
Position 1867: 0.00562468699532689
Position 14077: 0.005447258955018687
Position 27645: 0.005238240705599939
Position 463: 0.005177322136022071
Position 27560: 0.004702741384947502
Position 1617: 0.004159965538078954
Position 15857: 0.004076212429450246
Position 13656: 0.003785435360864285
Position 1334: 0.003775068542866373
Position 1593: 0.0035818799072341568
Position 7867: 0.0032721730231024
Position 1742: 0.00321485856415936
Position 1614: 0.002931344371230566
Position 27148: 0.0026684252672784215
Position 8260: 0.0022894646496600915
Position 1487: 0.0022148408214384897
Position 7948: 0.0021099886755285855
Position 26251: 0.0019509718629910188
Position 13981: 0.001773962479280151
Position 347: 0.001516343622651015
Position 13852: 0.0014812419121967714
Position 9430: 0.0014122333717184828
Position 1925: 0.001401858116232499
Position 12636: 0.0013478641702555371
Position 8112: 0.0013167902809125872
Position 12972: 0.0012798963193514496
Position 1672: 0.0011028683829087513
Position 9409: 0.0010951134084510442
Position 9441: 0.0007634359524912281
Position 988: 0.0006870128421244512
Position 18431: 0.000642171071255302
Position 1644: 0.0006334233301537933
Position 2058: 0.0006171838172134886
Position 1103: 0.0006003007582708232
Position 1822: 0.0005230179504908405
Position 556: 0.0004390617129081828
Position 1181: 0.0004061387130551018
Position 171: 0.0003842558766488253
Position 499: 0.0002869459538654588
Position 1721: 0.00028172360061230674
Position 27402: 0.00028101356614982693
Position 1934: 0.00024209015768689732
Position 436: 0.0002361611108532532
Position 17230: 0.00012635320287187013
Position 150: 0.00011800362338484666
Position 517: 0.00011307482771611453
Position 935: 0.00010928335813278939
Position 296: 0.00010839262700924884
Position 1107: 0.00010765095223608442
Position 1143: 7.127738540100755e-05
Position 20070: 6.821599497604407e-05
Position 178: 4.820240849268387e-05
Position 1650: 4.6357033783755805e-05
Position 505: 4.5167648577598484e-05
Position 15721: 3.788235989648439e-05
Position 19431: 2.8628290302962334e-05
Position 358: 2.7313791377187906e-05
Position 252: 2.4659837407455765e-05
Position 681: 2.291763218989738e-05
Position 875: 2.1326499016608585e-05
Position 317: 2.0844757891071847e-05
Position 1534: 2.021519802208193e-05
Position 392: 1.4898778814566915e-05
Position 1410: 1.4000195907840182e-05
Position 1417: 1.3926313360551109e-05
Position 831: 1.2448086192808789e-05
Position 8153: 1.2266547923392592e-05
Position 465: 1.0755118425017346e-05
Position 723: 1.0638705914963354e-05
Position 990: 1.0613131889902321e-05
Position 1843: 9.812315300296999e-06
Position 944: 9.312154665759695e-06
Position 1837: 9.031206665216318e-06
Position 206: 8.60261478314505e-06
Position 1338: 7.4520143946923074e-06
Position 1010: 7.241840510764634e-06
Position 1283: 7.231984194615194e-06
Position 309: 4.796283733805931e-06
Position 192: 4.711395057305739e-06
Position 135: 3.946396980266047e-06
Position 14491: 3.6406734348672615e-06
Position 471: 1.7592315333312777e-06
Position 938: 9.84484960226001e-07
Position 209: 9.27559570314058e-07
Position 897: 7.896397040436577e-07
Position 752: 6.795193679869161e-07
Position 726: 6.425897656506119e-07
Position 778: 6.258023460938346e-07
Position 311: 5.711514726120795e-07
Position 7538: 2.6686517243658674e-07
Position 7010: 2.2339100207932122e-07
Position 5668: 2.176078723227848e-07
Position 3715: 1.5641913762635091e-07
Position 580: 1.5052341332497165e-07
Position 4514: 1.382819487324849e-07
Position 787: 1.2144182734757948e-07
Position 5240: 9.516721675746617e-08
Position 5384: 8.669213188990439e-08
Position 2845: 8.568633815544175e-08
Position 2451: 8.475217347412086e-08
Position 950: 6.637088690436418e-08
Position 5046: 6.076108040534657e-08
Position 3519: 5.264470483836745e-08
Position 480: 4.823813123324024e-08
Position 4396: 4.6038368229918236e-08
Position 2267: 4.6030525726665775e-08
Position 833: 4.554752696363271e-08
Position 2768: 4.431674247111727e-08
