Gene = Ost4
index = 784
Annotated 5SS: [124 390]
Annotated 3SS: [ 251 1021]
SMsplice 5SS: [124 390]
SMsplice 3SS: [ 251 1346]
top_k =  1000
Partition function (log Z): -1.228948587185987

Sorted 5' Splice Sites (High to Low Probability):
Position 124: 0.9820405292119737
Position 390: 0.9765832624313898
Position 661: 0.020964495405955876
Position 1489: 0.020763226213664564
Position 434: 0.008672783295237239
Position 119: 0.006306094778570056
Position 1438: 0.004234292496859702
Position 68: 0.004234214122028126
Position 1201: 0.003800057295198826
Position 1153: 0.003447623776970981
Position 396: 0.002881783064320459
Position 86: 0.0022058961507487565
Position 769: 0.0018535510938226354
Position 548: 0.001366434934583562
Position 1520: 0.0009404397432652003
Position 340: 0.0007980813416196866
Position 702: 0.0007015718725757023
Position 630: 0.0004257177537980459
Position 1410: 0.0003842501968316759
Position 1055: 0.0003310825030859565
Position 82: 0.0003060535207452908
Position 1057: 0.00024290043064210698
Position 902: 0.0002262803111431372
Position 94: 0.00022193237415921892
Position 790: 0.00020980453578094
Position 369: 0.0001955331533019996
Position 405: 0.00015752278820266332
Position 474: 0.0001464380054835092
Position 99: 0.00013775246140713788
Position 176: 0.00012184358377591978
Position 9: 0.0001096337674332727
Position 56: 0.00010685039127852222
Position 300: 0.00010484496306811079
Position 533: 0.00010232699052480467
Position 1399: 9.801608798531216e-05
Position 764: 7.817660860550028e-05
Position 319: 6.241244606347595e-05
Position 653: 5.795782508015158e-05
Position 561: 5.58259749095308e-05
Position 90: 5.42298014096101e-05
Position 179: 4.082032225198998e-05
Position 1023: 3.4540324090378935e-05
Position 687: 3.4037553218798245e-05
Position 538: 2.9012631111457236e-05
Position 484: 2.6137462437975788e-05
Position 334: 2.498176686436327e-05
Position 213: 2.230156029806957e-05
Position 930: 2.1376302639531294e-05
Position 666: 1.6995727977934877e-05
Position 482: 1.5262339939581e-05
Position 1530: 1.4673737462254739e-05
Position 597: 1.4376929392417605e-05
Position 1347: 1.3328875725688248e-05
Position 522: 1.239484476189559e-05
Position 105: 1.189295476675627e-05
Position 737: 1.024349402625813e-05
Position 298: 8.85671967247778e-06
Position 144: 8.173680060961227e-06
Position 1002: 6.824558277040474e-06
Position 844: 6.374377776647717e-06
Position 24: 6.098181462908261e-06
Position 316: 5.9584967404678445e-06
Position 818: 5.683695603280701e-06
Position 431: 5.462347295839006e-06
Position 198: 4.819169982060338e-06
Position 531: 4.358835414726648e-06
Position 787: 3.6222035610415376e-06
Position 97: 3.227490841735687e-06
Position 31: 3.0425292172080763e-06
Position 1280: 2.819599801294264e-06
Position 265: 2.6985243131337966e-06
Position 1451: 2.391425291020181e-06
Position 835: 2.285156598002643e-06
Position 1728: 2.184476212863465e-06
Position 1036: 2.0744709272296157e-06
Position 217: 1.6537525421164227e-06
Position 1453: 1.6530519982533783e-06
Position 1283: 1.6300066208705152e-06
Position 904: 1.0300620355497556e-06
Position 1323: 9.221200577005835e-07
Position 34: 6.642357735627811e-07
Position 232: 4.540091742643772e-08
Position 244: 1.2057609900363777e-08
Position 889: 6.111482739950623e-09
Position 793: 2.980263360455619e-09
Position 1372: 2.382530785480019e-09
Position 1374: 1.943794913985626e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 251: 0.9878424000793374
Position 1346: 0.918942727343778
Position 1021: 0.0663893538710983
Position 561: 0.009829991556895436
Position 1100: 0.0085657757033753
Position 1567: 0.007881812382459602
Position 538: 0.00726750582580647
Position 463: 0.0054217763545304845
Position 1736: 0.005103303566396076
Position 629: 0.004656845929489921
Position 1467: 0.002768294538814505
Position 1538: 0.0024191888237391035
Position 1803: 0.002058350714611941
Position 1604: 0.0017132062591033923
Position 1891: 0.001611062788204103
Position 637: 0.0015132869831124896
Position 592: 0.0013447056449303518
Position 1361: 0.0012242999061132384
Position 1740: 0.0008763975134001051
Position 1029: 0.0008299711625938782
Position 1646: 0.0007669355738562757
Position 1810: 0.0007063944044899069
Position 389: 0.0005346083134577156
Position 1842: 0.00042289124756647145
Position 1153: 0.0003875188981796637
Position 826: 0.00035202422372271704
Position 1788: 0.0003118668764838824
Position 1372: 0.0003100141743479505
Position 270: 0.00030453631178646405
Position 1858: 0.0002783007012355831
Position 1898: 0.00026672020273427665
Position 1667: 0.0002331661227779483
Position 1569: 0.00021745384205396482
Position 474: 0.00021138494569279348
Position 1630: 0.00019907689358884665
Position 1640: 0.00017020601967842981
Position 1681: 0.0001697401203441386
Position 1692: 0.00015354955592312302
Position 1520: 0.00015260849681262187
Position 922: 0.00014047166069315058
Position 1622: 0.00012472444161574177
Position 1608: 0.00010940014783753617
Position 1671: 0.00010452793797886703
Position 1688: 9.514909387261952e-05
Position 954: 8.352150636316848e-05
Position 1390: 6.888790171350667e-05
Position 1845: 6.78680411647061e-05
Position 965: 6.596324275917789e-05
Position 1419: 5.791246941092983e-05
Position 232: 4.9294753066251155e-05
Position 1610: 4.2330678878737646e-05
Position 340: 4.176892688046284e-05
Position 832: 3.631476380743524e-05
Position 478: 3.461568380656744e-05
Position 1758: 3.4366265628750064e-05
Position 1833: 3.377769339545683e-05
Position 1309: 3.177069099640132e-05
Position 761: 3.1350534284410527e-05
Position 717: 3.033795765642543e-05
Position 198: 2.3475953275968784e-05
Position 1416: 2.2325876927815262e-05
Position 1812: 2.175207740968012e-05
