Gene = Resp18
index = 896
Annotated 5SS: [ 214 2803 4019 4248 4459]
Annotated 3SS: [2697 3885 4204 4368 6053]
SMsplice 5SS: [  87 2803 4019 4248 4459]
SMsplice 3SS: [2697 3885 4204 4368 6053]
top_k =  1000
Partition function (log Z): 1.5103534147490802

Sorted 5' Splice Sites (High to Low Probability):
Position 2803: 0.9736592070678787
Position 4459: 0.9132750982671592
Position 87: 0.8644405964005062
Position 4019: 0.7223154422132828
Position 4248: 0.5965347294895915
Position 4827: 0.2750515373786784
Position 214: 0.22105853382095164
Position 4014: 0.16557081045294397
Position 3143: 0.12741189627606825
Position 422: 0.06514575781416845
Position 4310: 0.04046127708833371
Position 4034: 0.03407592829939507
Position 4749: 0.030737430283573532
Position 4065: 0.01662885547317607
Position 4500: 0.01479752132343148
Position 2827: 0.01171995183005669
Position 3279: 0.01170969008812786
Position 2476: 0.01161749210459976
Position 3205: 0.011438683522814054
Position 2392: 0.005542848199057137
Position 3962: 0.005408406507339447
Position 4054: 0.005407288342683979
Position 4769: 0.00540604916693561
Position 232: 0.004866978637805918
Position 2178: 0.004365569606707899
Position 115: 0.004002447829171221
Position 3291: 0.003651885934579877
Position 156: 0.0036500245529373352
Position 5752: 0.0034044541576822725
Position 3602: 0.0031635619928185796
Position 2980: 0.0030787755612627947
Position 4535: 0.0030337556569009043
Position 684: 0.0027589330649869185
Position 4737: 0.002752944008039719
Position 238: 0.0027007340324802804
Position 2838: 0.002697016546557206
Position 5997: 0.0025189215135845424
Position 759: 0.002510174182276109
Position 3201: 0.0024347293379758123
Position 1805: 0.0018835612694334807
Position 4741: 0.0017823117603929693
Position 281: 0.0016630744605952129
Position 3990: 0.0015719989825097975
Position 2122: 0.0015329256334001343
Position 3933: 0.0014231960329871057
Position 1720: 0.001375285269230491
Position 1857: 0.0010403492249324642
Position 3449: 0.001015215409975683
Position 1930: 0.0007893128760578721
Position 320: 0.000772479140712325
Position 441: 0.0007155952005733051
Position 3701: 0.000680507795885561
Position 3574: 0.0006501373455104128
Position 3259: 0.000609113052985122
Position 4384: 0.0005865918721755715
Position 5883: 0.000582624973851063
Position 935: 0.0005696825750967714
Position 5499: 0.0005120784369418125
Position 4085: 0.00046948505951466604
Position 4762: 0.0004471247135063413
Position 3598: 0.00043555703273287434
Position 4293: 0.0004051623531771853
Position 5338: 0.00039229068769456503
Position 5387: 0.0003886893592919135
Position 4697: 0.0003716170388099039
Position 5122: 0.0003671788217462715
Position 3017: 0.0003530059985356305
Position 2562: 0.0003367723764153048
Position 2793: 0.00032607765904382453
Position 971: 0.0003226450515649237
Position 1199: 0.0003055083487582869
Position 350: 0.0003046203226857159
Position 3146: 0.000295833414695157
Position 895: 0.0002909457843027309
Position 3725: 0.0002762415080202788
Position 429: 0.0002625353994801438
Position 245: 0.0002490640275486148
Position 669: 0.00024383709616907382
Position 1070: 0.00023328470617204293
Position 504: 0.00022842383823258087
Position 4049: 0.00022102971686375393
Position 2511: 0.00021408834765764066
Position 856: 0.00018460410290434279
Position 4780: 0.00016069126588171326
Position 3120: 0.0001590861782220053
Position 383: 0.0001507615708717526
Position 2538: 0.00014619357094072062
Position 578: 0.00014107704005369447
Position 1939: 0.0001398513615854049
Position 181: 0.0001393617121894144
Position 2400: 0.0001353516220175996
Position 5857: 0.0001346678747193237
Position 5561: 0.00012539764702206976
Position 3098: 0.00012525588873224245
Position 582: 0.00012406015457269723
Position 3498: 0.0001226535573794828
Position 1273: 0.00010880991811942453
Position 4516: 0.00010741523035826193
Position 4980: 9.854843254348156e-05
Position 3459: 9.696292548192182e-05
Position 2287: 9.428682653657505e-05
Position 487: 8.960041324871782e-05
Position 392: 8.81181391773074e-05
Position 675: 8.419602481738649e-05
Position 3356: 7.878476758173211e-05
Position 14: 7.825767702770494e-05
Position 2832: 6.647656351464202e-05
Position 3060: 6.527146387559755e-05
Position 2993: 6.35168660502372e-05
Position 385: 6.228299945447975e-05
Position 3480: 6.042423875720556e-05
Position 3399: 5.335099359767769e-05
Position 4998: 4.684844525611306e-05
Position 3404: 4.510128211230879e-05
Position 1175: 4.139172273067901e-05
Position 91: 4.082521684686944e-05
Position 5660: 4.013415298820405e-05
Position 1617: 3.765954913880054e-05
Position 2857: 3.710907291758956e-05
Position 5348: 3.617312972476826e-05
Position 1815: 3.553250261656197e-05
Position 370: 3.3999572229936345e-05
Position 3642: 3.3663080439797455e-05
Position 1180: 3.3417540034114095e-05
Position 4101: 3.248988309701288e-05
Position 5488: 3.0293691205520564e-05
Position 3366: 2.87924012466915e-05
Position 178: 2.7144390999467998e-05
Position 2201: 2.71196250861105e-05
Position 5531: 2.6504334784256235e-05
Position 2701: 2.5904322100571914e-05
Position 1879: 2.4310940991975993e-05
Position 3011: 2.2950496372515582e-05
Position 1296: 2.1799627152002665e-05
Position 627: 2.0624813014895303e-05
Position 1302: 2.0107863141186538e-05
Position 2765: 1.551151770266006e-05
Position 3123: 1.2963059243206486e-05
Position 4031: 1.1588157584171538e-05
Position 3482: 1.1307748289914219e-05
Position 4414: 1.0270699310399852e-05
Position 4463: 8.961524635561761e-06
Position 4140: 7.902392600123316e-06
Position 2712: 6.204502499822433e-06
Position 3634: 5.972739665568419e-06
Position 3917: 5.302211034753132e-06
Position 4504: 3.097997855820034e-06
Position 4069: 1.97136851605609e-06
Position 3838: 1.7423747568182274e-06
Position 21: 1.018531783229755e-06
Position 52: 8.593354181396357e-07
Position 474: 1.0031243450266248e-07
Position 119: 9.725859040334215e-08
Position 655: 9.182533170715673e-08
Position 465: 6.266002408789473e-08
Position 550: 3.327418749246357e-08
Position 906: 2.408591422892186e-08
Position 645: 2.2188857138143025e-08
Position 1060: 1.8402565101777814e-08
Position 817: 1.4713300825051733e-08
Position 958: 1.3675574217918138e-08
Position 1050: 9.57290882342616e-09
Position 4502: 9.275219339256643e-09
Position 2547: 1.6880003605446196e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2697: 0.9771880052128936
Position 3885: 0.9536006294092028
Position 4368: 0.7734029599370363
Position 4204: 0.7478688712278937
Position 6053: 0.7005279247744561
Position 4589: 0.3098301877262073
Position 178: 0.17042352400878283
Position 3043: 0.08008776766882751
Position 4622: 0.06600137735113823
Position 2923: 0.05546189674087361
Position 4884: 0.04569548192436074
Position 4965: 0.04130909161796164
Position 4247: 0.02916288578840641
Position 4663: 0.02526202524156777
Position 4852: 0.022063490989271465
Position 5687: 0.015813591596351057
Position 2907: 0.01392722131949456
Position 5019: 0.011466311948423692
Position 5808: 0.009926320102681695
Position 2361: 0.008699278734313849
Position 4685: 0.007549007373103833
Position 5850: 0.007279032370006114
Position 4151: 0.007227271599572353
Position 3011: 0.006817750052709507
Position 5170: 0.006592067766643477
Position 2678: 0.0053158628252169765
Position 4414: 0.0047782888752566175
Position 4630: 0.0045081434410214755
Position 5643: 0.004057368093560359
Position 2015: 0.003828684186350885
Position 5711: 0.0036254584832611024
Position 3573: 0.003444643550397069
Position 5257: 0.0031798744440923866
Position 6162: 0.002964224013600658
Position 2232: 0.0029604700283792267
Position 4314: 0.0028555491167417068
Position 4207: 0.002504550674398919
Position 1709: 0.002480308888392217
Position 2242: 0.0024546608049282005
Position 3900: 0.002394785919588605
Position 4370: 0.0023758765961497687
Position 3186: 0.0023221745830418316
Position 295: 0.0023022615036615633
Position 5139: 0.002262355849069763
Position 4716: 0.002171005941766607
Position 2301: 0.0020050554024102695
Position 4914: 0.0018639994471039165
Position 3865: 0.001741895721564995
Position 5335: 0.0016821775405591942
Position 2107: 0.0016653404127353582
Position 4774: 0.001507119902850791
Position 6120: 0.0014691280744512521
Position 570: 0.0014568150757350057
Position 2742: 0.0013606099172109173
Position 4667: 0.0013573036583638
Position 5649: 0.0013141220866178937
Position 6021: 0.0012445992553174283
Position 4746: 0.0012358370116078996
Position 3355: 0.0011995872761407875
Position 2664: 0.001061968484996256
Position 6105: 0.0010479931497107985
Position 1634: 0.0010380284664468589
Position 2705: 0.0009452484604171933
Position 149: 0.0009422754300288965
Position 5743: 0.0009153059605456826
Position 4642: 0.0008861846008676686
Position 3932: 0.0008485178069828896
Position 1756: 0.0008442648167177724
Position 3435: 0.0008190528482469944
Position 4778: 0.0008129808705326636
Position 5906: 0.0007852580895498603
Position 2193: 0.0007777578962000739
Position 765: 0.000773412084902318
Position 4594: 0.0007286291957666752
Position 2789: 0.0007209732385332446
Position 2637: 0.0007122856573477591
Position 2957: 0.0006648047513797429
Position 3962: 0.0006610977159505385
Position 5056: 0.0006595596161963228
Position 3045: 0.0006536353023602541
Position 5232: 0.0006466299767425243
Position 3204: 0.0006306576505986541
Position 4211: 0.0005768392564392375
Position 4111: 0.0005164626196170287
Position 5487: 0.0005021683396707172
Position 4378: 0.0004994788125306194
Position 4280: 0.0004862869687775949
Position 4675: 0.00047828772194691857
Position 2059: 0.00046575632901851735
Position 4741: 0.00046446860862275446
Position 2765: 0.0004294799953244127
Position 390: 0.0004221211071201113
Position 325: 0.0004140244114905345
Position 2757: 0.0004001093824319503
Position 5066: 0.0003969056970206163
Position 1162: 0.0003840889282987254
Position 2121: 0.00035255628988530013
Position 1415: 0.00034194662668098194
Position 3274: 0.0003385935140249025
Position 4705: 0.00032774478247291435
Position 4175: 0.000316214065270526
Position 683: 0.0002975038843062436
Position 3403: 0.0002918841922447774
Position 5175: 0.0002667659125749862
Position 3256: 0.000266559826501439
Position 625: 0.0002467400609448159
Position 3050: 0.0002440862761541825
Position 5178: 0.00023653960244089464
Position 1023: 0.0002360339328279487
Position 5031: 0.00023409775335997695
Position 5777: 0.00023356542571551764
Position 2407: 0.00021115721160692812
Position 3973: 0.0002087667691996208
Position 5857: 0.00020757047038950466
Position 3909: 0.00019859595997954833
Position 4920: 0.00019008075885531436
Position 2030: 0.00017508989806435312
Position 655: 0.0001732083909649688
Position 4425: 0.00016725255487063517
Position 2650: 0.00016673425746017794
Position 1682: 0.0001654378313198653
Position 4534: 0.00015932342329735009
Position 4383: 0.00015913714072138176
Position 2011: 0.00015704645385518465
Position 1523: 0.00015190122571514527
Position 2726: 0.00014458089051068632
Position 186: 0.0001432024639848972
Position 3103: 0.00014229676261300815
Position 2249: 0.0001421013926144989
Position 2510: 0.00013820125168239656
Position 5984: 0.00012791744518416497
Position 4052: 0.00012159756299971963
Position 3060: 0.00011682687414443724
Position 4678: 0.00011256710473139892
Position 3547: 0.00010012314858146383
Position 280: 9.747157042698485e-05
Position 2979: 9.042510216836641e-05
Position 1437: 8.527475628535065e-05
Position 3327: 8.021167796349339e-05
Position 4391: 7.507766276086514e-05
Position 278: 7.377929276283428e-05
Position 1561: 7.250199909209706e-05
Position 4857: 7.199400200766908e-05
Position 5875: 6.79203765294506e-05
Position 3521: 6.736797348617961e-05
Position 3440: 6.667581776846436e-05
Position 3837: 5.928311961639944e-05
Position 356: 5.670177185352637e-05
Position 1135: 5.3378968004704764e-05
Position 803: 5.159404760173596e-05
Position 4971: 5.078554208537494e-05
Position 190: 4.686314364617791e-05
Position 218: 4.519628884659175e-05
