Gene = St5
index = 1035
Annotated 5SS: [   90 47141 60937 64173 72071 74828 75812 76756 77486 78214 78872 81854
 82514 86066 89534 89804 90922 91609 91885]
Annotated 3SS: [47035 59685 64035 71918 74611 75714 76710 77300 78103 78801 81775 82372
 85916 89355 89761 90809 91368 91797 92466]
SMsplice 5SS: [  850 13376 14593 43233 47141 47625 60937 64173 72071 75812 76756 77486
 78214 78872 81854 86066 89534 89804 90922 91609 91885]
SMsplice 3SS: [13280 14517 43104 47035 47413 60875 64035 71918 75714 76710 77311 78103
 78801 81775 85916 89355 89761 90809 91368 91797 92466]
top_k =  1000
Partition function (log Z): -45.171179578516174

Sorted 5' Splice Sites (High to Low Probability):
Position 13376: 0.8917389204237703
Position 14593: 0.8109886204844465
Position 850: 0.669819747672709
Position 90: 0.45786989776259907
Position 3387: 0.17606747355140306
Position 4131: 0.15096014726775678
Position 7863: 0.10829088205249866
Position 7180: 0.10606483402418987
Position 10659: 0.0969192063090094
Position 1282: 0.07186854177480002
Position 5829: 0.04800779578673431
Position 430: 0.03172037302517354
Position 8016: 0.029214213053211296
Position 4053: 0.029032957874176552
Position 19408: 0.020055372682935155
Position 9989: 0.0154758912175001
Position 739: 0.013129709390829043
Position 5886: 0.006314593714187904
Position 2285: 0.004681935479394932
Position 5891: 0.0043323164822233525
Position 7848: 0.004222987807691585
Position 5608: 0.0028084743061811373
Position 1687: 0.002615040044229716
Position 705: 0.0020581201160689835
Position 3449: 0.0018454597590825742
Position 1646: 0.001544391285247898
Position 1187: 0.0011720802658537852
Position 2036: 0.0010117031490305083
Position 3967: 0.00086848190725782
Position 7826: 0.0007223457563278917
Position 3062: 0.0007189203090640048
Position 536: 0.0005764877531350017
Position 7145: 0.000507210046792538
Position 181: 0.00046596741954269547
Position 3920: 0.00042821895829113174
Position 1551: 0.0003518367548484294
Position 7260: 0.0003418430709768844
Position 2268: 0.00031835926349935254
Position 2652: 0.0003157303579822814
Position 242: 0.0002396291759917358
Position 127: 0.00018649230800444415
Position 1111: 0.0001472952623183686
Position 631: 0.0001344399299404921
Position 591: 0.0001249146258018882
Position 63: 0.00010772059586294165
Position 303: 9.12307041918683e-05
Position 611: 6.829644440721929e-05
Position 7811: 6.585318718212459e-05
Position 202: 5.773013471348945e-05
Position 7815: 5.7594399502879506e-05
Position 796: 3.32072860055212e-05
Position 47: 1.489301540873389e-05
Position 568: 1.4120573207488817e-05
Position 613: 1.3782344821663955e-05
Position 1976: 1.1891813618291794e-05
Position 81: 8.54884090147965e-06
Position 32: 6.233494778279247e-06
Position 542: 5.914450694235596e-06
Position 794: 4.185755507038599e-06
Position 414: 2.794071587178891e-06
Position 374: 2.0552335532393324e-06
Position 340: 1.977759340405018e-06
Position 3641: 1.8702200756763007e-06
Position 106: 1.3917705550532606e-06
Position 2062: 8.030332236699813e-07
Position 136: 7.279117784496464e-07
Position 1251: 5.207267422564996e-07
Position 134: 4.756698088153203e-07
Position 1369: 2.1307094842197412e-07
Position 510: 1.5863641001901713e-07
Position 387: 1.53089879696606e-07
Position 1191: 1.460077827872094e-07
Position 512: 1.0717665788085826e-07
Position 481: 9.92918075960483e-08
Position 615: 8.894559190758066e-08
Position 1236: 8.161954967147959e-08
Position 1286: 6.3430555967245e-08
Position 1293: 6.175617127810586e-08
Position 1597: 4.052993246129475e-08
Position 1151: 1.648614960255671e-08
Position 1851: 1.1878482149643298e-08
Position 351: 3.30212230019437e-09
Position 1599: 2.8194175504261418e-09
Position 728: 2.7638760312016768e-09
Position 822: 2.218742650334738e-09
Position 1636: 1.1314147658153885e-09
Position 960: 8.518416352582336e-10
Position 377: 7.238455937793642e-10
Position 1201: 3.4010410825931157e-10
Position 1053: 1.0867735841808146e-10
Position 791: 2.793741527472957e-15
Position 810: 2.4327775132247353e-15
Position 757: 1.4659666309361119e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 13280: 0.9184718321910881
Position 14517: 0.8217660975120636
Position 3998: 0.14847088118555382
Position 20101: 0.1449256214258726
Position 3273: 0.11941661774004564
Position 7754: 0.11537734028801151
