Gene = Myd88
index = 727
Annotated 5SS: [ 410 1466 2036 2288 2707]
Annotated 3SS: [1330 1854 2195 2530 3141]
SMsplice 5SS: [ 410 1466 2036 2288 2707]
SMsplice 3SS: [1330 1854 2195 2530 3141]
top_k =  1000
Partition function (log Z): 3.162633005299866

Sorted 5' Splice Sites (High to Low Probability):
Position 2707: 0.9142890785278824
Position 2288: 0.9085172048848051
Position 1466: 0.9060735282769932
Position 410: 0.841590124484893
Position 2036: 0.5930617932999405
Position 2057: 0.29371540155473974
Position 744: 0.19419297338928965
Position 2061: 0.06349858570345693
Position 1355: 0.03686388929155137
Position 1208: 0.03439374677320897
Position 1023: 0.02453044937012695
Position 681: 0.02289981829530255
Position 252: 0.020577316489263364
Position 1393: 0.02020793477380419
Position 739: 0.017745598289003957
Position 993: 0.016350090632358937
Position 2434: 0.013441994779266235
Position 543: 0.01135414724099241
Position 3447: 0.008538406424205907
Position 114: 0.008537707229538768
Position 2591: 0.008532759366283454
Position 649: 0.006376488102230136
Position 493: 0.006329823321370517
Position 1983: 0.006221218045654881
Position 374: 0.005766082987808177
Position 970: 0.005758096523530238
Position 1961: 0.005179180886111185
Position 1966: 0.004762276418909125
Position 2640: 0.004156174658100441
Position 1492: 0.004130885490195159
Position 2711: 0.004017609721608844
Position 1501: 0.0036844270627669944
Position 2841: 0.0033771894551653018
Position 1964: 0.0028294812453096866
Position 2915: 0.0027445205308349076
Position 24: 0.0024739384403157576
Position 2006: 0.0024678703311127245
Position 166: 0.0023653210250153913
Position 2993: 0.002302062928446664
Position 1978: 0.00212023171351974
Position 1970: 0.001964699813381392
Position 1968: 0.0018947475374134586
Position 3483: 0.0017639616829937248
Position 299: 0.0016541256266175853
Position 2646: 0.0013897653100778025
Position 1724: 0.0012734510832609464
Position 2065: 0.0012345263820922583
Position 420: 0.0011638629542006177
Position 2898: 0.000992898544971769
Position 103: 0.0009687855506416679
Position 1239: 0.0007908207528155542
Position 148: 0.0006396470624965063
Position 1241: 0.0006309487576703173
Position 3228: 0.0006291438148739765
Position 160: 0.0006112444289012289
Position 2601: 0.0005729968028555447
Position 2133: 0.000538838554900755
Position 2861: 0.0005376667040928374
Position 3540: 0.0005066114447512222
Position 2040: 0.0004656541686574308
Position 1910: 0.00046335334818452245
Position 1168: 0.00040439049059808453
Position 2831: 0.00039728755882446117
Position 1773: 0.0003960034775052704
Position 2879: 0.00035059851781238415
Position 3779: 0.00034733971962729433
Position 1601: 0.00033681699124621487
Position 1412: 0.0003325603446419911
Position 333: 0.0003284136247412322
Position 1477: 0.0002994765264344802
Position 46: 0.00029727591037826014
Position 132: 0.00028833977183262465
Position 3874: 0.00026010382860769144
Position 399: 0.00025457479730102363
Position 535: 0.00023441655635564744
Position 2769: 0.00021506093617206496
Position 2086: 0.0002086004182551762
Position 2949: 0.00017985944479903494
Position 2715: 0.00017885160586889092
Position 978: 0.0001645114322899129
Position 657: 0.00016237891554893148
Position 1999: 0.00016194606806842977
Position 2816: 0.00015183843581592337
Position 2877: 0.0001494603226451154
Position 84: 0.00014918808752515625
Position 2280: 0.00013398345533713427
Position 2001: 0.00012379335929040632
Position 2265: 0.00011964172045389742
Position 549: 0.00011902598556028356
Position 2196: 0.0001183496971816662
Position 974: 0.00011675327909961218
Position 531: 0.0001117334427930963
Position 2794: 9.77727964491795e-05
Position 1245: 9.33266961066241e-05
Position 303: 9.315341735294445e-05
Position 2249: 8.407406796674632e-05
Position 1414: 8.043477982489809e-05
Position 2320: 6.0464147470623694e-05
Position 968: 5.974317058856711e-05
Position 366: 5.812312576540647e-05
Position 3066: 5.685582921883591e-05
Position 792: 5.573290645158175e-05
Position 1737: 5.48802914790587e-05
Position 476: 5.3593660316275596e-05
Position 3189: 5.350160190015948e-05
Position 764: 5.244661079806159e-05
Position 2418: 5.2348737322895245e-05
