Gene = Odaph
index = 778
Annotated 5SS: [84]
Annotated 3SS: [7169]
SMsplice 5SS: [84]
SMsplice 3SS: [7169]
top_k =  1000
Partition function (log Z): -8.244256847342355

Sorted 5' Splice Sites (High to Low Probability):
Position 84: 0.9487881960647655
Position 555: 0.6091591527501704
Position 2180: 0.085164126559698
Position 803: 0.07936796448138032
Position 3251: 0.07074876410592054
Position 7271: 0.04728649556742474
Position 6258: 0.04595678416014912
Position 3476: 0.03288365274275797
Position 5529: 0.010486512745899294
Position 1422: 0.010220409688811355
Position 61: 0.008881720293417134
Position 68: 0.008709905133384285
Position 2497: 0.008449545410427825
Position 6551: 0.008419044795471207
Position 1927: 0.00685302894294557
Position 807: 0.00649067102811536
Position 3892: 0.005499208688181991
Position 408: 0.004611565989135493
Position 1858: 0.004458412025310203
Position 817: 0.0035948169335603053
Position 781: 0.0034360042431252143
Position 4417: 0.003202408338730229
Position 3587: 0.0023396321002396602
Position 2070: 0.002199543267444357
Position 2077: 0.002184626210734088
Position 289: 0.00217699505800291
Position 150: 0.0021677350808483316
Position 53: 0.0021055530330619946
Position 3329: 0.0019628326577271456
Position 3342: 0.0016669017804605744
Position 415: 0.0014425650165659845
Position 1073: 0.001082595744159034
Position 896: 0.000898696523412793
Position 1847: 0.0008388528658364486
Position 5512: 0.000813288333754755
Position 4878: 0.0007996133979626661
Position 4461: 0.0007546846052379245
Position 6262: 0.000570119660630348
Position 1724: 0.000435769973681091
Position 117: 0.0003231075327760451
Position 109: 0.00025203253613091783
Position 113: 0.00023363206291200468
Position 278: 0.0002225841184706567
Position 1998: 0.00017555811970762308
Position 3193: 0.00015179844825677163
Position 396: 0.00011846430676863976
Position 212: 0.00011455823088450844
Position 1597: 9.06090607063275e-05
Position 46: 7.879458598927866e-05
Position 1826: 4.9057440054722975e-05
Position 5002: 4.06288540110064e-05
Position 1619: 3.894484816980003e-05
Position 2018: 2.862811782539778e-05
Position 90: 2.7939909485959862e-05
Position 399: 2.5932949035885822e-05
Position 38: 2.5899675085508207e-05
Position 65: 2.448968063354001e-05
Position 1668: 1.966441720558415e-05
Position 1376: 1.9350642594606276e-05
Position 1128: 1.69813222866011e-05
Position 234: 1.6523370745340028e-05
Position 210: 1.579516307697359e-05
Position 3081: 1.3899846638569436e-05
Position 1886: 1.1679900640021347e-05
Position 269: 1.1172775200532134e-05
Position 321: 8.879308893748898e-06
Position 162: 7.319848350272762e-06
Position 1454: 5.279448066282219e-06
Position 96: 4.574290266573592e-06
Position 111: 4.2019785923830385e-06
Position 261: 3.6817672831603082e-06
Position 432: 3.461502755008835e-06
Position 454: 2.671268280643264e-06
Position 438: 2.4992903598464004e-06
Position 496: 2.364388388146374e-06
Position 812: 2.1289023564184323e-06
Position 188: 1.8727419493742555e-06
Position 430: 1.7301659929598e-06
Position 538: 1.3020156071465062e-06
Position 179: 1.2625973192827615e-06
Position 324: 6.550893093948656e-07
Position 536: 4.69272946417236e-07
Position 697: 3.3207013462886817e-07
Position 502: 2.2377374559952087e-07
Position 1659: 1.748540240019426e-07
Position 775: 6.455637472632832e-08
Position 834: 4.128388047603922e-08
Position 1264: 5.68695458858668e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 7169: 0.5176711762456397
Position 475: 0.27995466568725436
Position 287: 0.25401756428017863
Position 667: 0.14028599359913882
Position 3367: 0.08226954978553955
Position 1810: 0.07276381390807363
Position 1781: 0.07084497689485991
Position 7135: 0.06466634526216543
Position 478: 0.05425761038513217
Position 6120: 0.04053962624580062
Position 2972: 0.03356258096405939
Position 7398: 0.026572764093832888
Position 932: 0.02246375582924186
Position 3250: 0.020482853199351402
Position 6980: 0.016308381456457143
Position 7381: 0.015682210329356485
Position 3064: 0.015300238748145996
Position 6161: 0.014843536330708037
Position 2131: 0.014479465339824218
Position 6789: 0.014169558344410901
Position 614: 0.014117900916379635
Position 5369: 0.013662203607123275
Position 449: 0.01211214329192979
Position 7437: 0.011258245573770892
Position 3152: 0.010857992539329826
Position 2374: 0.010005272241376692
Position 206: 0.009986082478370309
Position 7323: 0.009905612295939299
Position 5841: 0.009374090659111062
Position 1667: 0.007729065069899368
Position 1290: 0.007643658463034828
Position 3319: 0.007634627451831246
Position 6388: 0.00744657787548239
Position 5916: 0.00740572811977458
Position 4335: 0.0069704584173330645
Position 1927: 0.005655374555449867
Position 3159: 0.005611603699338774
Position 3782: 0.004974750067082835
Position 1722: 0.004594197685278328
Position 3102: 0.004506064987549125
Position 6096: 0.004448155695951776
Position 6321: 0.0038539463232879602
Position 1585: 0.003264467579847132
Position 4877: 0.0032328518372450412
Position 1747: 0.002868294675521091
Position 6158: 0.0028172204007738486
Position 1704: 0.0027351520884701564
Position 377: 0.002621273140881792
Position 7712: 0.0025435057610555664
Position 7811: 0.0025364214697387393
Position 3016: 0.0024928227801913217
Position 2037: 0.00244710491509815
Position 7092: 0.0021963812208747515
Position 4031: 0.0020677397425418907
Position 4706: 0.001942536544428347
Position 4810: 0.0019264563223965105
Position 2069: 0.0018838598796621048
Position 2085: 0.0017683817635513704
Position 5931: 0.001763712265198295
Position 1175: 0.0016865508844201374
Position 1027: 0.0016519612433615414
Position 6915: 0.0016311425456740404
Position 3181: 0.0016256027558994737
Position 6724: 0.001397124850543635
Position 2928: 0.0013874099249650217
Position 3303: 0.0013788202187853184
Position 2987: 0.001371366879065345
Position 389: 0.0012921060596493303
Position 3201: 0.0012851402505351212
Position 2146: 0.0012848032187708076
Position 2609: 0.001254654890733662
Position 874: 0.0012069968832887495
Position 2438: 0.0011891330922937217
Position 5399: 0.0011826562284288264
Position 5953: 0.0010253471629872112
Position 1249: 0.0009747985273831511
Position 2081: 0.000957220048841952
Position 2062: 0.0009266377695949506
Position 1948: 0.0009046415192420554
Position 1988: 0.000895611470874491
Position 800: 0.0008447365123981465
Position 5555: 0.0008372319181644771
Position 5991: 0.0008367502201931532
Position 2161: 0.0007947889360644867
Position 1261: 0.0007568511460174448
Position 5552: 0.000739166794394022
Position 4392: 0.0007176848932807858
Position 2968: 0.0007118620062875697
Position 3655: 0.0006436269771387707
Position 1506: 0.0006140187182099423
Position 3747: 0.0006131069861435608
Position 5694: 0.0006086413799679821
Position 1783: 0.0006069002294809239
Position 1863: 0.0005715997434555483
Position 335: 0.0005211743069638792
Position 4909: 0.0004899106142257619
Position 1787: 0.00046039062340029723
Position 3078: 0.00044433983842700423
Position 1545: 0.00036744264342855257
Position 1701: 0.00035848988491013934
Position 2105: 0.0003450860255213421
Position 4727: 0.00034290241636037556
Position 360: 0.0003332331806257287
Position 4956: 0.00032231292387029434
Position 2869: 0.00031537320654321046
Position 955: 0.0003055022973444419
Position 5042: 0.00029589506553472544
Position 5938: 0.00028447817149526304
Position 3280: 0.00027904421370839505
Position 697: 0.0002704102377633424
Position 3673: 0.000264196192285894
Position 430: 0.00023236994446551427
Position 2847: 0.00022085600910859098
Position 4586: 0.0002139599306933757
Position 709: 0.00019147670569747698
Position 2829: 0.0001654618892961518
Position 2550: 0.00016503037481398457
Position 3434: 0.00016446543419950164
Position 992: 0.00016411762238706975
Position 490: 0.00015933804450228608
Position 3652: 0.00015648164417992244
Position 1421: 0.00015548494958732458
Position 3445: 0.00015438786606735542
Position 2484: 0.0001502508895230573
Position 2418: 0.0001448257575804964
Position 2740: 0.00013665299127551896
Position 1034: 0.00013029465942275022
Position 1503: 0.00012217381880610023
Position 554: 0.00012116900646827751
Position 888: 0.00011323552831736317
Position 2446: 0.00011271111535622017
Position 1510: 0.00011106439794067433
Position 1292: 0.00010448632255412554
Position 2496: 0.00010087673587348239
Position 1016: 9.815628323287324e-05
Position 1043: 9.338837611272508e-05
Position 1822: 9.060880572508731e-05
Position 1067: 8.78878261152044e-05
Position 896: 8.627056072329923e-05
Position 227: 7.871641115641069e-05
Position 4338: 7.683934051376397e-05
Position 3858: 7.025207559846403e-05
Position 1113: 6.672799763563827e-05
Position 1453: 6.480881795364147e-05
Position 1188: 5.557529774881144e-05
Position 1196: 5.548805419575156e-05
Position 2875: 5.273727865402728e-05
Position 806: 5.0889873530306134e-05
Position 2265: 5.0613163135419024e-05
Position 2752: 4.4557805120288e-05
Position 337: 4.094611619071467e-05
Position 482: 4.06282124120517e-05
Position 354: 3.405746064578747e-05
Position 769: 2.6167403408276455e-05
Position 261: 2.375159405295387e-05
Position 1296: 2.288680964284576e-05
Position 879: 1.9184373611154355e-05
Position 248: 1.7222780797521346e-05
Position 267: 1.5348118722735804e-05
Position 423: 1.3878943927537203e-05
Position 1299: 9.07668551218439e-06
Position 496: 5.555684233575129e-06
Position 533: 4.999513047926563e-06
Position 149: 4.458286599321361e-06
Position 2397: 2.909822139691512e-06
Position 714: 2.253557188182916e-06
Position 139: 2.2093824899114323e-06
Position 1214: 1.739323582516189e-06
Position 1353: 9.18817839096912e-07
Position 1324: 8.675341231652913e-07
Position 1460: 8.525334157684201e-07
Position 347: 3.0630055716869497e-07
Position 1072: 2.4531944396239854e-07
Position 121: 2.447497934780998e-07
Position 1329: 1.3178161326922985e-07
Position 1393: 7.783617742027444e-08
Position 1343: 7.326589783163631e-08
Position 723: 3.967299888854424e-08
Position 677: 3.745476102839785e-08
Position 1131: 2.3777112508747487e-08
Position 1000: 1.7922926938708455e-08
Position 734: 1.533993030108749e-08
Position 730: 1.0497260205956016e-08
Position 740: 4.14628913500745e-09
Position 562: 3.6060834628105204e-09
Position 727: 3.3329507070923466e-09
Position 1448: 2.782706169079684e-09
Position 951: 1.910414863854065e-09
Position 817: 1.596307929090368e-09
Position 747: 1.0337394949751508e-10
