Gene = Pdzd9
index = 806
Annotated 5SS: [ 178 1964 7507]
Annotated 3SS: [1783 7316 9980]
SMsplice 5SS: [  178  7507 10071 10660]
SMsplice 3SS: [ 7316  9980 10464 10748]
top_k =  1000
Partition function (log Z): -7.057616169006966

Sorted 5' Splice Sites (High to Low Probability):
Position 7507: 0.9106373299947401
Position 10660: 0.8150930878611385
Position 178: 0.5520479980342609
Position 1964: 0.405799417894462
Position 8432: 0.3632460274111584
Position 10071: 0.33075572428284056
Position 357: 0.2918309030896297
Position 10363: 0.18472781279261877
Position 10080: 0.1576567258205534
Position 10137: 0.1540078784368108
Position 2990: 0.14817618359911083
Position 51: 0.07574607001935622
Position 10099: 0.06809809203421527
Position 10355: 0.06161318031425879
Position 4851: 0.041831256563637835
Position 2307: 0.030181751457054377
Position 201: 0.029975333090685435
Position 5318: 0.028409825579146814
Position 10381: 0.028051808689340194
Position 1816: 0.027784626719650315
Position 5813: 0.02714072766418256
Position 10831: 0.026447788831788006
Position 10655: 0.022538004964360963
Position 1179: 0.020468149117909708
Position 4267: 0.01812713866694633
Position 9373: 0.01747224960700795
Position 798: 0.015407607488087255
Position 3917: 0.014253478499255744
Position 10339: 0.014006939297542341
Position 1295: 0.013234685782027937
Position 2428: 0.012921468229778557
Position 3029: 0.012885171588666918
Position 5254: 0.010404162999173348
Position 10062: 0.009597472543269293
Position 5877: 0.009275568985984813
Position 3851: 0.008381513619771413
Position 1460: 0.007727072241155588
Position 4924: 0.007653740428675793
Position 7979: 0.00684616679844247
Position 4953: 0.006823038914846383
Position 90: 0.0058932298416958795
Position 4832: 0.005578607598271387
Position 967: 0.0053142371249755615
Position 1563: 0.00497086822071626
Position 3259: 0.004919746257756187
Position 10838: 0.0030130740008812167
Position 8865: 0.0028750198814160477
Position 64: 0.0025785718641495683
Position 83: 0.0022116370424936625
Position 597: 0.00196157194722676
Position 1109: 0.0019159285471790624
Position 266: 0.0019087436648912537
Position 751: 0.0018959430183309303
Position 638: 0.0018869569968323141
Position 4908: 0.0017773285794846713
Position 1035: 0.0017036061957486817
Position 619: 0.0015001571885282525
Position 518: 0.0014988613223126052
Position 1299: 0.001396525313272955
Position 819: 0.0013875519875445712
Position 347: 0.0011855924129240156
Position 10875: 0.0007172887190072309
Position 2661: 0.0006554432710314154
Position 361: 0.0006433532971454807
Position 1834: 0.0005065639657065289
Position 313: 0.0005040077994655809
Position 243: 0.0004718875559002843
Position 9466: 0.00041895636013773165
Position 10901: 0.00037035546408448064
Position 2348: 0.00034039145580731984
Position 2894: 0.00031827634974597625
Position 10867: 0.00027781793934973783
Position 41: 0.0002692721050230951
Position 3599: 0.00020850123411463766
Position 1549: 0.00020687816136949613
Position 502: 0.00020010824921007605
Position 3264: 0.00019956071404138946
Position 1699: 0.00016863511872776226
Position 10861: 0.000153682981912494
Position 255: 0.00014554331443928942
Position 272: 0.00013023835328801185
Position 213: 0.0001182744918773544
Position 480: 0.00011117209012785177
Position 1704: 0.00010026008765615967
Position 1737: 8.484868841963907e-05
Position 1943: 6.466158496719507e-05
Position 677: 4.0550066133906826e-05
Position 443: 3.778633670404452e-05
Position 285: 3.253522074643828e-05
Position 738: 3.162771766220541e-05
Position 775: 3.1344132471078835e-05
Position 1501: 2.3356528479873396e-05
Position 1535: 1.752148525310208e-05
Position 572: 1.3943466311171987e-05
Position 1367: 1.1697952055092794e-05
Position 646: 1.1379116545907643e-05
Position 1529: 1.1336961140484558e-05
Position 1456: 1.059426149575479e-05
Position 702: 8.818851406391055e-06
Position 402: 8.496811686646843e-06
Position 706: 8.29227401257106e-06
Position 10677: 5.271828193393203e-06
Position 1261: 4.704354269438669e-06
Position 1145: 4.202340995017299e-06
Position 1478: 3.653547090216777e-06
Position 876: 2.7257143879114598e-06
Position 642: 2.0885849003954175e-06
Position 320: 1.6376714197006858e-06
Position 500: 1.2788438618594038e-06
Position 289: 4.262227579394842e-07
Position 451: 3.6966552633048936e-07
Position 710: 3.6844708879527856e-07
Position 3: 1.9245366274904813e-07
Position 331: 3.700687581756684e-08
Position 832: 5.3441310175135156e-09
Position 964: 1.2188048962778666e-09
Position 522: 6.45013072631978e-10
Position 579: 3.996735923341296e-10
Position 570: 2.6356332883278525e-10
Position 601: 2.439730032631918e-10
Position 617: 1.2664272201171957e-11
Position 465: 9.723942366825021e-15
Position 454: 4.38607191314924e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 7316: 0.8002948687983714
Position 10464: 0.7411873482869459
Position 9980: 0.7376553009777116
Position 10748: 0.4196224612782446
Position 10724: 0.28614393364415425
Position 8229: 0.2528692690983317
Position 1783: 0.2316448379620481
Position 10502: 0.1984918235936669
Position 2759: 0.15285511234698437
Position 10126: 0.1367623614983458
Position 1657: 0.12741937203320755
Position 10309: 0.12191455983482452
Position 11020: 0.10694281652217041
Position 7403: 0.08157606352722052
Position 4753: 0.06437773046973785
Position 1622: 0.04073060319399501
Position 8331: 0.038007153502218324
Position 5706: 0.03512616333092689
Position 8297: 0.032734565376766216
Position 10549: 0.02804773482942166
Position 8114: 0.024177108988015387
Position 3762: 0.02205738292673746
Position 7381: 0.0194167334685325
Position 10929: 0.018636716479734538
Position 9292: 0.017891205967145683
Position 5231: 0.017783737681146862
Position 11481: 0.01718155245571231
Position 5150: 0.016681360799768136
Position 9948: 0.013479849306481623
Position 1908: 0.012438138985997767
Position 2176: 0.012361082528619316
Position 1031: 0.011602816497992894
Position 8360: 0.011220834976757462
Position 4159: 0.010103995360496899
Position 7453: 0.009551702618218609
Position 992: 0.009009964043753689
Position 1890: 0.008415428621456096
Position 2219: 0.008190857738592109
Position 10192: 0.007041884672937017
Position 11096: 0.0061502021147261735
Position 11427: 0.005865797555919402
Position 2192: 0.0057162951924534
Position 2340: 0.005672520989954114
Position 1366: 0.005415256090494417
Position 1823: 0.005281271610883327
Position 11049: 0.005275843856483677
Position 3099: 0.0051340381462484765
Position 2306: 0.004889177734686265
Position 4181: 0.004144528490415176
Position 8146: 0.004090501323524739
Position 1178: 0.0038689160961578534
Position 1809: 0.0038619481228092745
Position 4195: 0.0034727096569369
Position 4976: 0.003039742854411552
Position 8737: 0.0030341897038993855
Position 1097: 0.002673581238278674
Position 7657: 0.00263989021772699
Position 11258: 0.0025395771300615994
Position 1407: 0.0024238393823114426
Position 11182: 0.0023875483137431384
Position 446: 0.002329409803387888
Position 1803: 0.0021490950883211587
Position 1332: 0.0021448245432292064
Position 11547: 0.0021022698439873756
Position 10521: 0.0020624904348277317
Position 2851: 0.00200164981360161
Position 7885: 0.0019854589248651834
Position 9927: 0.0019333122670835295
Position 10952: 0.001928268073528037
Position 11321: 0.0017063783292969156
Position 11303: 0.001658445209368631
Position 2388: 0.0016497875938389231
Position 2599: 0.0016495940512193268
Position 2660: 0.001585706506985625
Position 1167: 0.0014768940906337191
Position 11455: 0.0014040018296508445
Position 2244: 0.0013567113686573109
Position 5562: 0.0013347836049036892
Position 2956: 0.0013328870139631328
Position 1277: 0.0013180694197440098
Position 331: 0.0012726506621838002
Position 2767: 0.0012260260580345059
Position 7775: 0.0011302761096387763
Position 11366: 0.0011008371909800021
Position 876: 0.0010945700978783584
Position 7914: 0.0010822915222699365
Position 2005: 0.0010612966830257403
Position 2140: 0.0010509334022715576
Position 2065: 0.0010485657803921981
Position 2732: 0.000978243249655734
Position 4772: 0.0008109422223197151
Position 8150: 0.0007691434350545528
Position 1930: 0.0007370631531858696
Position 10760: 0.0006634013633049418
Position 3736: 0.0006603251296019274
Position 462: 0.0006516556366274701
Position 11219: 0.000614106217113007
Position 896: 0.0005972275100510472
Position 1242: 0.0005686342315388729
Position 10894: 0.0005647067353590074
Position 10553: 0.0005516463941418969
Position 1383: 0.0005362237555175436
Position 10777: 0.0005243221775180862
Position 11272: 0.00045531801808340675
Position 1789: 0.00044513645923805834
Position 1842: 0.0004162425452525083
Position 10830: 0.0004157309590285541
Position 2106: 0.0004088655745873657
Position 255: 0.00036131173522365806
Position 3916: 0.0003466251086826402
Position 2518: 0.0003416992800620693
Position 9944: 0.0003163906658667089
Position 11500: 0.0003152875281586529
Position 10770: 0.0002614989280664998
Position 10524: 0.0002466594026602281
Position 1150: 0.0002149322230314852
Position 10774: 0.00021126444588033468
Position 10574: 0.00020679270854645563
Position 1589: 0.00019694777092427203
Position 725: 0.0001788287373510534
Position 1959: 0.00017881963240765403
Position 313: 0.00016827383302491888
Position 3497: 0.00015717538310665478
Position 11507: 0.0001520473019523989
Position 11184: 0.00015198548220733162
Position 295: 0.00015194436268404666
Position 797: 0.00015018159212681187
Position 1100: 0.00013666078519343318
Position 669: 0.00013434261332396388
Position 7797: 0.00013216176105242109
Position 10764: 0.00012891591581575766
Position 623: 0.00012794617001069987
Position 1182: 0.0001261429945974787
Position 774: 0.00012470363757157004
Position 1501: 0.00010756891516419535
Position 811: 8.773999086103723e-05
Position 1440: 8.1906135983363e-05
Position 11149: 7.764956207520517e-05
Position 1057: 7.755426026536163e-05
Position 2553: 7.270859123981388e-05
Position 11124: 7.140750925305784e-05
Position 11053: 6.954500045986676e-05
Position 10822: 5.72529065194384e-05
Position 855: 4.4693083885466147e-05
Position 1939: 4.3110667490234294e-05
Position 8575: 4.0672559840749435e-05
Position 1688: 3.9624405024053926e-05
Position 3386: 3.7029118823912394e-05
Position 11551: 3.538101542794952e-05
Position 193: 3.4977738317243945e-05
Position 761: 3.4379205829385746e-05
Position 465: 3.4195090332302416e-05
Position 8431: 3.135786571963364e-05
Position 931: 2.809394920973217e-05
Position 1913: 2.2719687070649713e-05
Position 651: 1.9873890777904314e-05
Position 1385: 1.8774125625546048e-05
Position 2361: 1.8099155317083177e-05
Position 755: 1.806235906121071e-05
Position 220: 1.687030818062192e-05
Position 169: 1.562609781237697e-05
Position 904: 1.439465191191871e-05
Position 3426: 1.4296732184070362e-05
Position 229: 1.347148527399103e-05
Position 4322: 1.324160852996922e-05
Position 1510: 9.956527130483209e-06
Position 7628: 9.464287468171943e-06
Position 7597: 8.647272780115057e-06
Position 259: 6.105416723577184e-06
Position 2042: 5.946235577833613e-06
Position 4445: 5.928149451350669e-06
Position 1246: 5.725061236990454e-06
Position 6541: 5.293277158270878e-06
Position 272: 5.255868946190424e-06
Position 338: 5.077910518019294e-06
Position 1139: 4.489944160238733e-06
Position 638: 4.103658821698893e-06
Position 1669: 2.551246984388629e-06
Position 1338: 2.123312445905695e-06
Position 1752: 1.865433882752416e-06
Position 951: 1.4871512162525022e-06
Position 1195: 1.4492737073649563e-06
Position 832: 1.1895721228044095e-06
Position 972: 2.7153417683849555e-07
Position 480: 1.606973304169832e-07
Position 957: 3.116489092675378e-09
Position 823: 2.9353472330329947e-09
Position 1039: 2.8714683854391836e-09
Position 642: 2.7400810719079896e-09
Position 1104: 2.4458007007700375e-09
Position 784: 2.1117967233389567e-09
Position 738: 2.094232313706599e-09
Position 155: 1.8633629824827e-09
Position 674: 1.5317841152468819e-09
Position 589: 1.4909393560695867e-09
Position 128: 1.4671000525857728e-09
