Gene = Psenen
index = 865
Annotated 5SS: [190 446 918]
Annotated 3SS: [ 302  812 1106]
SMsplice 5SS: [190 446 918]
SMsplice 3SS: [ 353  812 1106]
top_k =  1000
Partition function (log Z): -1.575501057814869

Sorted 5' Splice Sites (High to Low Probability):
Position 190: 0.9701346996400441
Position 446: 0.9434203919199379
Position 918: 0.5151222498761285
Position 474: 0.02512729958174939
Position 260: 0.02199143410832737
Position 465: 0.010012156243542902
Position 960: 0.008318513645873132
Position 1044: 0.0061053257463629705
Position 209: 0.0033897988488522696
Position 400: 0.001372932893544914
Position 435: 0.0012084020477388985
Position 754: 0.0011908122051308887
Position 70: 0.0008220449226545256
Position 455: 0.0008069670358211823
Position 967: 0.0005332456749804625
Position 841: 0.00044632939552034193
Position 1142: 0.00036017161950235567
Position 194: 0.00031319241617347595
Position 922: 0.00030871055548007076
Position 65: 0.0002675475457003005
Position 975: 0.00023043493937819964
Position 53: 0.00020772971000991336
Position 721: 0.0002075501198842446
Position 714: 0.0001999411528317756
Position 601: 0.0001545890098863066
Position 744: 0.0001331725098467326
Position 964: 8.25876847699572e-05
Position 417: 5.843700097954322e-05
Position 271: 5.219786197562554e-05
Position 972: 3.977207669212421e-05
Position 46: 3.502863516078878e-05
Position 1037: 3.185166963203294e-05
Position 794: 2.841663039689067e-05
Position 201: 1.4931821410067438e-05
Position 1048: 1.2491711816516543e-05
Position 1019: 9.241430873758353e-06
Position 239: 8.495354275769822e-06
Position 1124: 7.851281209394871e-06
Position 426: 6.156467997263598e-06
Position 859: 3.4177369103454215e-06
Position 296: 3.1782556948790797e-06
Position 562: 3.012776634388707e-06
Position 663: 2.667302559028062e-06
Position 5: 2.589289686753313e-06
Position 813: 2.3554861438749698e-06
Position 252: 2.3450657522789255e-06
Position 779: 2.137158372570779e-06
Position 26: 2.0769167858971334e-06
Position 1109: 1.9358619641403246e-06
Position 15: 1.773247010680198e-06
Position 24: 1.5967079672152363e-06
Position 1017: 1.3933069332082048e-06
Position 845: 1.2649414992799643e-06
Position 204: 1.0455121453323386e-06
Position 792: 1.010073734175294e-06
Position 874: 9.96665118854938e-07
Position 1269: 9.6161970412162e-07
Position 615: 4.6108686931613025e-07
Position 798: 3.7588884719704783e-07
Position 1093: 1.880505794822948e-07
Position 317: 1.2419863913656966e-07
Position 310: 1.200056347417595e-07
Position 532: 8.564633706544944e-08
Position 327: 1.3450580688961372e-08
Position 782: 3.3441656028030767e-09
Position 307: 9.345234139964115e-10
Position 331: 2.2899916508633462e-11
Position 823: 2.1553034783204618e-11
Position 340: 1.0784751956989158e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 353: 0.9103060428103137
Position 1106: 0.677983109529216
Position 812: 0.631817633425088
Position 1282: 0.09760618700694312
Position 361: 0.04023809877929521
Position 845: 0.03731950045035074
Position 302: 0.03359757968830276
Position 867: 0.02471600860307328
Position 1177: 0.01784109298762041
Position 1304: 0.016261628779270444
Position 1121: 0.008102947702758845
Position 1053: 0.00296237455622301
Position 701: 0.002495930506995835
Position 615: 0.0024511414965477283
Position 1361: 0.0016771929742697865
Position 1289: 0.0012912004246687684
Position 1316: 0.0011489695705201117
Position 274: 0.0007922145746842889
Position 555: 0.0006325718983269721
Position 628: 0.0005333836257337319
Position 377: 0.0004448971959656423
Position 887: 0.00030172921104637605
Position 1068: 0.0002618450640421545
Position 792: 0.0002193529249123694
Position 1063: 0.000211246331336279
Position 871: 0.0001581482802802881
Position 1009: 0.00014122883156342822
Position 869: 0.00011533504005299858
Position 1023: 0.00010380708834202967
