Gene = Ivl
index = 597
Annotated 5SS: [44]
Annotated 3SS: [955]
SMsplice 5SS: [186]
SMsplice 3SS: [955]
top_k =  1000
Partition function (log Z): -8.840825369891641

Sorted 5' Splice Sites (High to Low Probability):
Position 186: 0.6296268102317046
Position 44: 0.2227950818240514
Position 35: 0.11006005188997976
Position 1240: 0.039199562276388246
Position 402: 0.029555723026471904
Position 384: 0.010141737523989388
Position 890: 0.010014538440211627
Position 2135: 0.009303151156497531
Position 1111: 0.00854685696002748
Position 190: 0.006067909110057954
Position 852: 0.004803677804033446
Position 683: 0.0036336331454955547
Position 1196: 0.0035275955045649073
Position 881: 0.0030299667927758036
Position 1451: 0.0022159206763651853
Position 588: 0.0013624753601823864
Position 1042: 0.0012786138217057742
Position 451: 0.0008362882807465537
Position 524: 0.0008288929717054697
Position 610: 0.00044637277775816115
Position 296: 0.0004413550146156465
Position 267: 0.00033451208719558037
Position 389: 0.00033352630450801
Position 258: 0.00023057340996892602
Position 849: 0.00020842640344259427
Position 2213: 0.0001688419448356311
Position 809: 0.00011338020529576078
Position 50: 0.00010603637177677369
Position 2664: 8.604364701583521e-05
Position 2189: 6.50250966201279e-05
Position 1003: 6.261244641215925e-05
Position 1194: 5.704218999148711e-05
Position 829: 5.2523849115426414e-05
Position 1021: 4.2725222533908064e-05
Position 2327: 4.0010914777768344e-05
Position 211: 3.808047831920388e-05
Position 2726: 3.3367520898843835e-05
Position 721: 3.2674739302822214e-05
Position 2573: 2.7680513845436967e-05
Position 738: 2.6811836013541575e-05
Position 1171: 2.6533641101639364e-05
Position 78: 2.5824029657720834e-05
Position 581: 2.167315653879422e-05
Position 238: 1.7693019310270947e-06
Position 960: 1.4184322733723243e-06
Position 62: 1.3932227459573152e-06
Position 501: 1.2788772692889568e-06
Position 755: 9.90982170183282e-07
Position 130: 8.738027511396757e-07
Position 39: 8.602709254226754e-07
Position 192: 8.01177259265578e-07
Position 69: 5.853256958489919e-07
Position 48: 4.988786361471566e-07
Position 475: 4.83065438071206e-07
Position 307: 4.787016480108954e-07
Position 345: 4.5681230247146617e-07
Position 926: 4.514869835299156e-07
Position 860: 3.687443927605686e-07
Position 111: 2.487682329638853e-07
Position 113: 2.2298369837100104e-07
Position 517: 4.826525162605448e-08
Position 124: 4.4511025027850905e-08
Position 902: 3.032507390747233e-08
Position 490: 2.6890633332658397e-08
Position 1046: 1.341799839143607e-08
Position 981: 4.867136149278632e-09
Position 473: 2.4162707035853146e-10

Sorted 3' Splice Sites (High to Low Probability):
