Gene = Daw1
index = 320
Annotated 5SS: [   58 19585 20709 22528 23598 28225 31671 32943 37543 38420 46185 49588]
Annotated 3SS: [19511 20563 22468 23474 28124 31562 32835 37439 38304 46107 49424 50373]
SMsplice 5SS: [   58 19585 26595 31671 32943 37543 38420 46185 49588]
SMsplice 3SS: [19511 26492 31562 32835 37439 38304 46107 49424 50373]
top_k =  1000
Partition function (log Z): -29.2192127452434

Sorted 5' Splice Sites (High to Low Probability):
Position 58: 0.6883425482033925
Position 3507: 0.28160606718266484
Position 1000: 0.19748268786239162
Position 635: 0.17372556291060062
Position 178: 0.15180323792605904
Position 526: 0.11055232988008522
Position 1914: 0.07901969097844096
Position 4199: 0.0636597056711301
Position 5303: 0.0342046274516382
Position 5295: 0.027883903355785365
Position 5290: 0.0182844351192776
Position 2370: 0.011759383351204591
Position 5386: 0.010408418672262073
Position 591: 0.00796749428380638
Position 2099: 0.007153588624257546
Position 6126: 0.006987400436947563
Position 630: 0.005293740834804223
Position 3119: 0.0034611140455631305
Position 4287: 0.0030721270913450574
Position 7013: 0.0020553829022428786
Position 10: 0.00138056455914302
Position 2493: 0.001181889128064678
Position 1535: 0.0011662770184122262
Position 2621: 0.001161364264582038
Position 597: 0.0009966388372353338
Position 2751: 0.0008827924878544327
Position 4535: 0.0007915777332506898
Position 970: 0.0006944228219814182
Position 5412: 0.0005115001441461167
Position 103: 0.0005047267088664435
Position 2919: 0.0003744243546299138
Position 5087: 0.0003585647158298993
Position 588: 0.0003046237457275588
Position 3130: 0.00029938918548950175
Position 294: 0.0002928704470711841
Position 2986: 0.00028919704327422404
Position 161: 0.0002653491693391401
Position 147: 0.0002441744874794216
Position 781: 0.00022824738358367394
Position 155: 0.0001188325741550801
Position 1424: 0.00011722820529489793
Position 268: 0.00011717729821783922
Position 329: 0.000110422055102284
Position 75: 0.00010794064721720205
Position 1451: 8.380716198896882e-05
Position 252: 8.288334373580193e-05
Position 1345: 8.024558745186412e-05
Position 493: 7.170577376003947e-05
Position 243: 7.13777312271613e-05
Position 412: 6.994153999872075e-05
Position 181: 6.47216262662877e-05
Position 1461: 5.818404164983381e-05
Position 1200: 4.718151909806651e-05
Position 788: 4.403201986718798e-05
Position 1357: 3.076819360535367e-05
Position 808: 2.940968556414515e-05
Position 1640: 2.9143522833639865e-05
Position 648: 2.7479984744370908e-05
Position 1545: 2.1006430512880745e-05
Position 793: 1.8606961801562054e-05
Position 933: 1.8193857869556645e-05
Position 622: 1.7964361913584994e-05
Position 1862: 1.2801118317248294e-05
Position 860: 1.011225206504489e-05
Position 65: 8.736537546448667e-06
Position 538: 8.544648720741276e-06
Position 1004: 8.515993264248627e-06
Position 387: 7.727831241630477e-06
Position 398: 7.708283827481894e-06
Position 1479: 7.624082209122126e-06
Position 201: 5.4707259673839955e-06
Position 305: 2.403081761258027e-06
Position 233: 2.0936591922626405e-06
Position 552: 1.9911301770997847e-06
Position 658: 1.926152166401269e-06
Position 651: 1.8939477602617863e-06
Position 678: 1.648762096706443e-06
Position 519: 1.5315946278854103e-06
Position 195: 1.0122501681019498e-06
Position 339: 6.121480092947224e-07
Position 332: 5.22860111043311e-07
Position 357: 4.744336432750748e-07
Position 2175: 3.905135116339738e-07
Position 483: 2.1879976741646694e-07
Position 355: 1.0215175765584357e-07
Position 1207: 2.701005291863734e-08
Position 995: 1.0378071312148643e-08
Position 1046: 8.858789962031792e-09
Position 504: 1.4831409055366993e-09
Position 1128: 9.497181690981252e-10
Position 1120: 5.5573849389319e-10
Position 897: 1.140583743271845e-13
Position 858: 2.923783898973199e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 3343: 0.25890343770222146
Position 5193: 0.20761010168855665
Position 5897: 0.13014496927599148
Position 931: 0.10632926115743815
Position 483: 0.1001105916892977
Position 1753: 0.09012683234647285
Position 2620: 0.08694408602244776
Position 6895: 0.082748445762929
Position 6755: 0.07719872132173498
Position 4081: 0.06926354996363786
Position 6931: 0.053847220580676716
Position 398: 0.05245431750832762
Position 912: 0.04277741970106849
Position 10840: 0.03340454484883992
Position 3910: 0.030503537467557847
Position 3358: 0.028244676940310385
Position 7592: 0.02674217776961755
Position 5462: 0.02031195759746499
Position 9992: 0.016561683216838066
Position 4944: 0.014271905235634727
Position 3425: 0.013893116169769754
Position 1380: 0.013834373518956958
Position 2466: 0.013595581575036129
Position 5746: 0.01255570745694883
Position 1090: 0.01162859606686563
Position 1199: 0.011280722909856251
Position 5711: 0.011015248732469061
Position 294: 0.01082456257103196
Position 4894: 0.010260675335703939
Position 1954: 0.010075643382798547
Position 1704: 0.010049417506133229
Position 373: 0.00977903303214878
Position 2833: 0.009706328660928463
Position 9709: 0.009698591098331651
Position 3484: 0.009651895007889034
Position 10880: 0.009498054135313898
Position 2522: 0.009439296639641317
Position 2437: 0.008904780438912682
Position 525: 0.007477511674523341
Position 3990: 0.007297045151083954
Position 12324: 0.006620546252178109
Position 355: 0.006413032305125642
Position 4421: 0.0061804844464138815
Position 5133: 0.005797338736659117
Position 7508: 0.005792831486221917
Position 4472: 0.005189069003501583
Position 8244: 0.004973803885401201
Position 2292: 0.004793963150650101
Position 1235: 0.004777267720498418
Position 1029: 0.004769456225279226
Position 4616: 0.004621750127432155
Position 3935: 0.004391538982112926
Position 4026: 0.004006275323711534
Position 2703: 0.003919452875944151
Position 2251: 0.0038414043528864116
Position 3932: 0.003570048776513856
Position 496: 0.0034840578648009783
Position 5350: 0.0034300885875310776
Position 563: 0.003418086246741469
Position 1449: 0.0033482805783365526
Position 1634: 0.0030726333559651627
Position 493: 0.003033473911820992
Position 2224: 0.0030179469686047273
Position 4286: 0.0027855613765703996
Position 8287: 0.002659342849210297
Position 1294: 0.0023634267368258374
Position 4230: 0.002216695457049981
Position 3536: 0.0020303413403179073
Position 1362: 0.002009586739444062
Position 1196: 0.001935880504114187
Position 2572: 0.0018986730750020161
Position 375: 0.001783994000413695
Position 4851: 0.0017334394817966662
Position 5569: 0.0017120078120893235
Position 2867: 0.0016530912679587778
Position 5331: 0.0016329275661693724
Position 7150: 0.0015808213871245252
Position 3066: 0.001453714815571663
Position 4114: 0.0013699606877017412
Position 4198: 0.0013447482946401378
Position 4348: 0.0012799811151710683
Position 6306: 0.0012587912706466804
Position 3893: 0.0012040270466723035
Position 4087: 0.0010996662509852445
Position 5942: 0.0009994778186932698
Position 2355: 0.0009460817631701596
Position 3865: 0.0009146518468169587
Position 412: 0.00083941342986136
Position 2016: 0.0008183221206234407
Position 1608: 0.0008105078794030757
Position 5789: 0.000798417032101324
Position 2046: 0.0007885920104325844
Position 3015: 0.0007689354114926583
Position 3224: 0.0006896845883874991
Position 1639: 0.0005998782532424708
Position 4721: 0.0005882136770863579
Position 4195: 0.00055707625552351
Position 1499: 0.0005250316719027046
Position 735: 0.0004913183524628805
Position 418: 0.0004820821691748934
Position 1502: 0.0004676430207255063
Position 1900: 0.0004461438839027523
Position 2071: 0.00041093515224065614
Position 5749: 0.00039586764180185943
Position 566: 0.00036041002086245475
Position 628: 0.00035109531423538386
Position 177: 0.0003405749690363121
Position 2234: 0.0003396956431325558
Position 1814: 0.00033878197546643015
Position 5243: 0.0003290387160042887
Position 5168: 0.0002959247076965275
Position 2849: 0.00029009309060141694
Position 1866: 0.0002866666710355417
Position 779: 0.0002866334415205061
Position 243: 0.00025339648047347174
Position 4475: 0.000223079323060955
Position 808: 0.0002227265824927926
