Gene = Lipe
index = 637
Annotated 5SS: [ 1113 10593 13274 13531 13931 14338 15258 15560 18185]
Annotated 3SS: [10056 13182 13384 13744 14045 15029 15382 17753 18536]
SMsplice 5SS: [ 1113  3210  4577 10593 13274 13531 13931 15258 15560]
SMsplice 3SS: [ 3085  4416 10436 13182 13384 13744 15029 15470 18536]
top_k =  1000
Partition function (log Z): 5.492659851687218

Sorted 5' Splice Sites (High to Low Probability):
Position 13274: 0.978502212909915
Position 13531: 0.9620802560984956
Position 15560: 0.9361636277290375
Position 3210: 0.9129412576546608
Position 4577: 0.8565353687467414
Position 10593: 0.8346932311918228
Position 15258: 0.8253865692949927
Position 13931: 0.8188036949949931
Position 179: 0.6078026270155841
Position 1113: 0.5880487397751654
Position 8649: 0.3928370020261206
Position 10192: 0.3453767824309851
Position 15942: 0.3313575020202005
Position 7997: 0.2260314571309471
Position 12910: 0.22377218026594198
Position 12752: 0.21790045389197782
Position 7784: 0.17128082871602301
Position 14338: 0.11441588619482469
Position 1999: 0.09313617250480444
Position 1053: 0.0799696689283815
Position 14055: 0.07545222825727332
Position 15072: 0.05906405023448611
Position 7820: 0.05631371985746513
Position 13778: 0.05357982261598944
Position 1285: 0.04631570168919401
Position 743: 0.04110153218552462
Position 13094: 0.04081933673051166
Position 5950: 0.030567289632176916
Position 3218: 0.02876844449073821
Position 6464: 0.0262278923168536
Position 701: 0.023065634707608976
Position 4548: 0.022926350659324513
Position 5861: 0.022231778216268643
Position 10541: 0.021970969381397854
Position 5675: 0.02092365035654435
Position 13522: 0.01979172687069745
Position 12277: 0.019229194159427462
Position 2240: 0.016837352035013763
Position 4219: 0.015890435833806473
Position 6947: 0.015184137459285334
Position 4320: 0.015003142757138665
Position 12814: 0.014035645638560173
Position 8359: 0.013377660020006786
Position 6055: 0.01318645013655494
Position 9331: 0.013085309432539239
Position 375: 0.01041479944255492
Position 15289: 0.009854913903975943
Position 17654: 0.008506289033726846
Position 9713: 0.008487979813725172
Position 18185: 0.008364596682045146
Position 2731: 0.008281013737991075
Position 5852: 0.007560842087252329
Position 14139: 0.007427155347063745
Position 14862: 0.007077337091683846
Position 1356: 0.006720360443345866
Position 17435: 0.006586704296913823
Position 5148: 0.006433225071485472
Position 3994: 0.00591519099794818
Position 1952: 0.005553429945783645
Position 6931: 0.00547952460342492
Position 7911: 0.00516837403625029
Position 8953: 0.005056831764798738
Position 16554: 0.004546624603097089
Position 14349: 0.004491501121958745
Position 13679: 0.004483893214677302
Position 3595: 0.004221592996285772
Position 3024: 0.004064474908677572
Position 17999: 0.003702939626448138
