Gene = Mto1
index = 723
Annotated 5SS: [  303  1411  1628  4846  9115  9399  9840 12830 13484 16795 22584]
Annotated 3SS: [ 1210  1509  4555  9001  9207  9708 12624 13311 16675 22422 25581]
SMsplice 5SS: [  303  1411  9115  9399  9840 13484 16795 18671 22584]
SMsplice 3SS: [ 1210  9001  9207  9708 13343 16675 18457 22422 25581]
top_k =  1000
Partition function (log Z): 2.7932095137724278

Sorted 5' Splice Sites (High to Low Probability):
Position 9115: 0.9977961918881882
Position 16795: 0.977869071608423
Position 9399: 0.9382208261852703
Position 22584: 0.9198517324948765
Position 9840: 0.8690851262938782
Position 303: 0.7448936394322767
Position 1411: 0.6987449002950177
Position 18671: 0.6406905140023749
Position 12830: 0.6310833882257086
Position 13484: 0.5999497056089288
Position 997: 0.5122810298071808
Position 25342: 0.3190018432078744
Position 13001: 0.2721021459786661
Position 13387: 0.2573492994037911
Position 5141: 0.18927296043950143
Position 3892: 0.172545665585739
Position 3921: 0.16114795084596345
Position 4846: 0.15983214356620742
Position 22906: 0.13740969219176902
Position 11818: 0.10833598703245866
Position 5466: 0.10783977903228589
Position 1446: 0.10506349809418526
Position 1628: 0.08568174877174095
Position 1343: 0.07268338918121284
Position 19445: 0.06778304281031147
Position 51: 0.06584048980433917
Position 433: 0.06370095652977091
Position 14644: 0.06237279541390765
Position 15676: 0.05347261494519082
Position 520: 0.049396013252965824
Position 6162: 0.0407145565343099
Position 1316: 0.037523376066737474
Position 12229: 0.03573680998194353
Position 4714: 0.033729724612058226
Position 25456: 0.029302852655464562
Position 5200: 0.0242163489379268
Position 5977: 0.02352639573704983
Position 22889: 0.02223659528591681
Position 1433: 0.018950621879067403
Position 3247: 0.017536850164902962
Position 15336: 0.015976437925981038
Position 10661: 0.015616340383871781
Position 2337: 0.01416921315376545
Position 203: 0.012414512802339973
Position 11491: 0.011437685224795121
Position 5783: 0.009803305454100093
Position 57: 0.009479480386246419
Position 10458: 0.008808897632540946
Position 9533: 0.008176962909597994
Position 9427: 0.008169094390869235
Position 569: 0.006966641692418762
Position 17012: 0.006349802102091493
Position 12743: 0.006225279921104868
Position 24113: 0.0058080038210123015
Position 13032: 0.0053730270453048404
Position 22762: 0.005117370266688121
Position 956: 0.004936218434781616
Position 3680: 0.004325103613820522
Position 559: 0.004128687700121702
Position 959: 0.00392753294960846
Position 12975: 0.0036213703155761477
Position 3228: 0.003218698617752839
Position 381: 0.0031853405835527908
