Gene = E130311K13Rik
index = 354
Annotated 5SS: [ 216 2209 4139 9272]
Annotated 3SS: [ 2148  3990  9110 13733]
SMsplice 5SS: [ 533 2209 4139 9272]
SMsplice 3SS: [ 2148  3990  9110 13733]
top_k =  1000
Partition function (log Z): -7.984959813312388

Sorted 5' Splice Sites (High to Low Probability):
Position 4139: 0.9679784004987505
Position 2209: 0.8970794307116243
Position 533: 0.6008164172525943
Position 216: 0.32886411234117513
Position 2223: 0.07603797612561809
Position 3418: 0.06062526328636423
Position 10617: 0.05855672323805071
Position 1119: 0.05471149584262062
Position 2544: 0.03607335852395305
Position 5271: 0.03405600932245948
Position 3503: 0.023249149396182448
Position 1550: 0.02279079410758987
Position 13385: 0.022287178822635156
Position 6704: 0.02022059145531199
Position 9168: 0.018175643758496406
Position 4954: 0.01615728198382543
Position 1074: 0.012208462555073565
Position 234: 0.011209604003457878
Position 4143: 0.010338891229433569
Position 3510: 0.009039629504436602
Position 168: 0.008135231767241825
Position 165: 0.007543706025542327
Position 3556: 0.0072640489914237915
Position 562: 0.005621490872848531
Position 893: 0.0055015736378674915
Position 8496: 0.005273747475409616
Position 1966: 0.005108885251524488
Position 8071: 0.005078286613753088
Position 1526: 0.0047239815390453434
Position 3486: 0.004620997634038664
Position 3465: 0.004436817062786951
Position 9276: 0.003946034572501542
Position 3460: 0.0035734343644046648
Position 10294: 0.0035191634255973014
Position 366: 0.0033990581248344743
Position 3547: 0.003293734599391836
Position 9173: 0.003221440631929234
Position 1171: 0.0031250027467031346
Position 10491: 0.0030924918164654293
Position 1496: 0.0030421069683533777
Position 9742: 0.003021171548977631
Position 1536: 0.002944949126594315
Position 521: 0.0027265761363465795
Position 1047: 0.002338643642176333
Position 1836: 0.002247912885000109
Position 3438: 0.0021682588390116507
Position 979: 0.0020374123922658515
Position 177: 0.0020315429953721154
Position 3241: 0.0018741715352484111
Position 14064: 0.00178261239058634
Position 3196: 0.0016004793561998582
Position 3255: 0.0015447932006531792
Position 2050: 0.001415203054562557
Position 867: 0.001252076506208653
Position 3132: 0.0011286775942259137
Position 8435: 0.0010510621351259317
Position 861: 0.000981442908177742
Position 210: 0.00083984795545657
Position 3524: 0.00081410462098554
Position 8251: 0.0008117725014072685
Position 4948: 0.0007847324599825883
Position 363: 0.0007788970273673461
Position 864: 0.0007034117543485515
Position 870: 0.0006727488052954619
Position 1396: 0.0005949989592238204
Position 3431: 0.0005467979642986909
Position 128: 0.0005452100769801474
Position 1041: 0.0004938524986360873
Position 434: 0.0004936980429024804
