Gene = Cend1
index = 243
Annotated 5SS: [175]
Annotated 3SS: [1487]
SMsplice 5SS: [175]
SMsplice 3SS: [1015]
top_k =  1000
Partition function (log Z): -7.721633900699911

Sorted 5' Splice Sites (High to Low Probability):
Position 175: 0.6192772766070093
Position 217: 0.34169912592907126
Position 704: 0.13667540116963103
Position 362: 0.03267449733859846
Position 1634: 0.02744683823913873
Position 856: 0.004648976750556616
Position 536: 0.004607278794525793
Position 469: 0.004348443054915627
Position 1507: 0.003405947375977141
Position 1170: 0.0031005396342576623
Position 552: 0.001960919372787783
Position 611: 0.0017964432219534678
Position 2830: 0.0015747037600026047
Position 1225: 0.0014504309337955933
Position 915: 0.0013660764023975605
Position 1445: 0.0009884865043921446
Position 277: 0.000715496324580316
Position 1253: 0.0007131506521543439
Position 1131: 0.0006349058157734957
Position 511: 0.0006299201745695287
Position 709: 0.0005731792321631529
Position 101: 0.00040710680394727926
Position 619: 0.00031208557511003515
Position 2468: 0.00026899266811188143
Position 2050: 0.0002449869778342777
Position 294: 0.00019421536779220953
Position 201: 0.00019294471830870086
Position 937: 0.00017470283353862083
Position 1105: 0.00017401645585659928
Position 604: 0.00013834149165237137
Position 1211: 0.00012689978464573367
Position 2812: 0.00012375615241729928
Position 824: 0.00011468800697238613
Position 2103: 8.786221522526752e-05
Position 1941: 7.703484086665435e-05
Position 1088: 7.16257802241556e-05
Position 723: 5.727170563405453e-05
Position 1929: 5.6414260021141614e-05
Position 222: 4.5462571804419026e-05
Position 24: 3.730071324203918e-05
Position 44: 2.3850878330300215e-05
Position 4: 1.4338531119926914e-05
Position 444: 8.313867623305154e-06
Position 476: 6.1157486989054105e-06
Position 69: 5.862095044716232e-06
Position 513: 4.203914331059092e-06
Position 496: 3.7279721238206457e-06
Position 1059: 3.2398173878263306e-06
Position 366: 3.2279419591084832e-06
Position 241: 3.131881928517461e-06
Position 405: 2.448042071345043e-06
Position 1161: 2.175980907775612e-06
Position 257: 1.968082548363203e-06
Position 131: 1.9303677900183446e-06
Position 286: 1.094292848654713e-06
Position 1231: 1.0345252382920024e-06
Position 484: 8.355835360089386e-07
Position 534: 7.791736769529294e-07
Position 246: 6.796868201239804e-07
Position 391: 5.64553020812567e-07
Position 449: 3.1686727577390835e-07
Position 52: 2.8609587014379994e-07
Position 66: 2.763611323929361e-07
Position 416: 2.4865375416206075e-07
Position 123: 2.372393851869845e-07
Position 76: 2.2091286178644263e-07
Position 674: 1.6688146798419143e-07
Position 260: 1.1550402282977492e-07
Position 346: 9.139372002692041e-08
Position 1049: 6.020366144514538e-08
Position 817: 5.8925655100774415e-08
Position 629: 5.708967843430935e-08
Position 1405: 5.6912179531879114e-08
Position 545: 2.1410946623445947e-08
Position 741: 1.8318480001913365e-08
Position 660: 1.5421068060108206e-08
Position 763: 1.2672324627490302e-08
Position 593: 1.0313994117328063e-08
Position 804: 8.663379842725649e-09
Position 650: 6.698255883948018e-09
Position 289: 1.9653807632348157e-09
Position 403: 7.511511771637884e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1015: 0.4132494440937959
Position 1487: 0.1511963731989811
Position 766: 0.14743311477761226
Position 602: 0.13785783186102063
Position 2586: 0.035419410240659484
Position 1214: 0.03274454412780024
Position 2857: 0.02406631556946056
Position 2421: 0.023888817689180553
Position 965: 0.022525885879611192
Position 2021: 0.018414511138920023
Position 2638: 0.013889525199920504
Position 937: 0.011414635699723953
Position 1161: 0.009967790330887665
Position 534: 0.009910383225966785
Position 2598: 0.009459613395811696
Position 1967: 0.00943491021312778
Position 2923: 0.007543590437485467
Position 1067: 0.007404141404723897
Position 1535: 0.006333373408092189
Position 1812: 0.006009884069738717
Position 2811: 0.005630334927979851
Position 723: 0.005288984891953482
Position 429: 0.0046970240095564365
Position 2239: 0.004651306279846759
Position 2418: 0.004600541112143087
Position 447: 0.004192471445541836
Position 2490: 0.004014523082666588
Position 439: 0.0036780090145690125
Position 2381: 0.0032100803317206077
Position 771: 0.003172291192974655
Position 276: 0.003024544741026957
Position 320: 0.001999719001296907
Position 2790: 0.0019496450113966309
Position 1168: 0.0019449713514866043
Position 1566: 0.0016629315478060341
Position 2885: 0.0015234906959927486
Position 732: 0.0015163284979758053
Position 658: 0.0013381887938786312
Position 1771: 0.001296925675828856
Position 637: 0.0011858563536936953
Position 1724: 0.0011253373188924917
Position 254: 0.0011088666357997256
Position 1994: 0.0011050286213179915
Position 1546: 0.0009910688942650907
Position 1732: 0.000939329727717601
Position 257: 0.0009255092045550334
Position 1711: 0.0009170357876916639
Position 2900: 0.0009104316462792991
Position 2049: 0.000901953274963017
Position 2200: 0.0008833909798915815
Position 1504: 0.0008729735731815422
Position 1314: 0.0008581070191726011
Position 967: 0.0008553541427072055
Position 1699: 0.0008430856229629602
Position 2983: 0.0008294082007004747
Position 323: 0.0008192514733968425
Position 1422: 0.0008063213130986185
Position 683: 0.0007934606855581822
Position 2197: 0.0006939353302866688
Position 1757: 0.0006902750577949596
Position 2948: 0.0006835441806597061
Position 1573: 0.0006766347555466242
Position 2341: 0.0006358649834059627
Position 1871: 0.0006035974893458074
Position 2255: 0.0005909266290563805
Position 1281: 0.0005533011670392998
Position 583: 0.0004863826849288914
Position 2289: 0.00046393516012140535
Position 2466: 0.0004596364048615331
Position 2266: 0.00044750835978559205
Position 476: 0.00044707318877001555
Position 1642: 0.0004259996741923552
Position 1192: 0.0004103950744391014
Position 1649: 0.0003476629149163897
Position 454: 0.00034461420026043945
Position 687: 0.00034203310194636226
Position 260: 0.000318634082308007
Position 641: 0.0003158336758075596
Position 1370: 0.0003082954845606509
Position 1302: 0.0003078677434105615
Position 2643: 0.000307160231884841
Position 2684: 0.0003044072079240631
Position 628: 0.00026851435161559186
Position 1735: 0.0002669726135437686
Position 2861: 0.0002632356891125671
Position 2533: 0.00026294757813976835
Position 1708: 0.0002550748480667365
Position 468: 0.0002513761526354753
Position 1511: 0.0002448640252583346
Position 1660: 0.0002314160371093826
Position 1835: 0.0002302611557752965
Position 1047: 0.00021617034277943668
Position 655: 0.00020843145847219011
Position 2717: 0.00018913145252580469
Position 2874: 0.00018857967031229737
Position 1424: 0.00017312665139778522
Position 1603: 0.00017291093521293975
Position 836: 0.00015445439077805807
Position 1778: 0.0001452631133838021
Position 2078: 0.00013839524697915057
Position 2640: 0.0001355395643445914
Position 1928: 0.00013314861018769218
Position 2782: 0.0001231315438388595
Position 783: 0.0001192860792806358
Position 1428: 0.00011925186580204455
Position 745: 0.00011856905841371805
Position 674: 0.00011281327777304464
Position 610: 0.00010955642188546801
Position 804: 0.0001048426240535785
Position 337: 0.00010151009034565656
Position 1506: 9.852812332134354e-05
Position 864: 9.308894618091484e-05
Position 1142: 9.17117966350325e-05
Position 1670: 8.751110212509275e-05
Position 1685: 8.681097640292525e-05
Position 391: 8.49652887462944e-05
Position 1598: 8.13596177343568e-05
Position 2425: 8.108401921811913e-05
Position 386: 8.0512619734745e-05
Position 814: 6.693314737205993e-05
Position 110: 6.631124598123851e-05
Position 787: 6.442749785801375e-05
Position 1219: 6.381777295232055e-05
Position 1851: 6.039423165208457e-05
Position 339: 5.9784616773141114e-05
Position 1844: 5.902046258407507e-05
Position 1340: 5.308629024159832e-05
Position 1358: 5.052159031536451e-05
Position 566: 5.0137650563134326e-05
Position 1854: 4.719533284412645e-05
Position 1768: 4.594721787917764e-05
Position 1555: 4.2856472314492067e-05
Position 1038: 3.1766201256115316e-05
Position 1739: 3.157802235607697e-05
Position 585: 3.0671078624819774e-05
Position 298: 3.0448303059499846e-05
Position 644: 2.695297183851037e-05
Position 618: 2.390330203894807e-05
Position 1240: 2.3770647952078468e-05
Position 457: 2.224964123551443e-05
Position 1032: 1.8906402364820002e-05
Position 614: 1.7781998527055143e-05
Position 572: 1.6599605548216918e-05
Position 358: 1.532714077297715e-05
Position 342: 1.219720396452079e-05
Position 136: 1.149892563709778e-05
Position 694: 5.841820270096568e-06
Position 374: 4.580801514970948e-06
Position 1383: 3.942625172138385e-06
Position 353: 2.3504857394901803e-06
Position 1376: 2.092596264691069e-06
Position 66: 1.1793800424895856e-06
Position 366: 9.080710028806793e-07
Position 371: 7.656235238272137e-07
Position 1343: 6.45233631972575e-07
Position 346: 5.842628884370447e-07
Position 1321: 1.9274165188968214e-07
Position 1283: 1.3073402394638127e-07
Position 172: 6.077241796878463e-08
Position 207: 5.006296473952407e-08
Position 91: 2.6075513775146338e-08
Position 333: 2.2105274331750744e-08
Position 179: 1.489098228984396e-08
Position 186: 1.3781728906282336e-08
Position 147: 1.3629143889909995e-08
Position 220: 6.725253934304193e-09
Position 169: 3.3563531292759895e-09
Position 154: 1.047683202760498e-09
Position 216: 6.876785934794125e-10
Position 197: 6.848443161507174e-10
Position 160: 3.8356880953527993e-10
Position 151: 8.044023753197076e-12
