Gene = I830077J02Rik
index = 553
Annotated 5SS: [ 107 3931 4700 5518 5797]
Annotated 3SS: [3882 4641 5422 5746 6065]
SMsplice 5SS: [ 107 1438]
SMsplice 3SS: [1361 4641]
top_k =  1000
Partition function (log Z): -4.622736451629416

Sorted 5' Splice Sites (High to Low Probability):
Position 107: 0.9709058987249453
Position 1438: 0.6972809325059036
Position 4700: 0.3755480866517284
Position 5797: 0.3554433485585341
Position 793: 0.35100074782929364
Position 753: 0.2183468746557937
Position 1448: 0.16390767225679567
Position 4806: 0.14053961007880816
Position 3931: 0.12433644297687552
Position 5136: 0.09140434125563954
Position 5518: 0.08494304611627658
Position 3170: 0.07065710372937686
Position 5962: 0.06592563422980025
Position 2593: 0.06393549738688298
Position 2808: 0.053580773289457546
Position 3970: 0.045343597766890786
Position 1300: 0.0331658286814357
Position 5257: 0.02987551948715255
Position 478: 0.02932350305951459
Position 2495: 0.029103998413216054
Position 2222: 0.028602271335184986
Position 6595: 0.028375083638742818
Position 5552: 0.026337816965566904
Position 3258: 0.02390159491459122
Position 4721: 0.02170491517298659
Position 5679: 0.020613067004309135
Position 254: 0.019096736699857616
Position 828: 0.015186830703172999
Position 2745: 0.012047020830096304
Position 8007: 0.007026323506171556
Position 4551: 0.006558017252015128
Position 3699: 0.0064242202424140546
Position 5747: 0.006068455480674799
Position 2655: 0.0052844424010318304
Position 3214: 0.004657880416203857
Position 4147: 0.00428595310230161
Position 2216: 0.004146208608693122
Position 5850: 0.0033238203766158486
Position 651: 0.0028067729053541184
Position 360: 0.0022789900112124687
Position 2274: 0.0019075777996245397
Position 977: 0.0018684459019356029
Position 3752: 0.0018264736755068446
Position 5951: 0.001434612410949521
Position 5853: 0.0010249217066967567
Position 2694: 0.000853915940556257
Position 959: 0.000791600018328444
Position 6095: 0.0006821574401839342
Position 523: 0.0005497954666702765
Position 82: 0.00045696187961544686
Position 2409: 0.0004429522974062656
Position 3005: 0.0004069923597623205
Position 3961: 0.0003670342118982629
Position 362: 0.0002647145188194746
Position 5653: 0.0002564207554131018
Position 1236: 0.0002398896770206914
Position 245: 0.00020898502577593
Position 2575: 0.0002027414517685159
Position 4135: 0.00019597895310834033
Position 1255: 0.00017000619394698282
Position 1985: 0.00016751983640839717
Position 700: 0.00016253891749596952
Position 1870: 0.00013102878141686524
Position 982: 0.00011142122813458599
Position 1696: 9.555875436415285e-05
Position 3461: 8.15085460811839e-05
Position 198: 8.092194547699324e-05
Position 1600: 7.228365645236722e-05
Position 364: 6.949180352742207e-05
Position 366: 6.056231171556705e-05
Position 368: 5.787649521535038e-05
Position 1052: 5.662029427954455e-05
Position 637: 5.207949130782223e-05
Position 370: 4.42829824084745e-05
Position 832: 3.9725189503719564e-05
Position 757: 3.359110380442042e-05
Position 372: 3.2375447726940186e-05
Position 374: 2.570461845759001e-05
Position 801: 1.9562526652640477e-05
Position 1334: 1.950368176564728e-05
Position 258: 1.869496517299628e-05
Position 877: 1.7512162321819903e-05
Position 1657: 1.6620300602025822e-05
Position 482: 1.534156547215798e-05
Position 780: 1.528834250294073e-05
Position 376: 1.4310518079795597e-05
Position 166: 1.4267734196476086e-05
Position 470: 1.4189011728342595e-05
Position 1344: 1.4103559592771447e-05
Position 93: 1.1382504544586988e-05
Position 378: 1.1203735674324334e-05
Position 1312: 1.1193046221405949e-05
Position 336: 9.29458514003698e-06
Position 6: 8.284296438364995e-06
Position 292: 7.802575741321015e-06
Position 66: 4.720619693855484e-06
Position 171: 4.6179362349890645e-06
Position 1314: 4.20622425418945e-06
Position 186: 2.825445320029632e-06
Position 54: 2.532521972102206e-06
Position 1679: 2.3940482276709534e-06
Position 515: 2.2393781079773566e-06
Position 252: 1.6636420582068746e-06
Position 392: 1.4829007768922724e-06
Position 1970: 1.2235923501336442e-06
Position 473: 1.166709573814856e-06
Position 568: 1.1053044065488224e-06
Position 416: 9.465199457740153e-07
Position 209: 7.869567485896149e-07
Position 558: 6.917602418288661e-07
Position 380: 6.133992880832987e-07
Position 382: 5.238902468143632e-07
Position 5844: 4.850189703003625e-07
Position 387: 2.8205944722586677e-07
Position 15: 2.480095530018576e-07
Position 385: 2.1184974833708716e-07
Position 189: 1.6354358107937658e-07
Position 547: 1.5411292448202166e-07
Position 527: 1.455316998054106e-07
Position 537: 1.402875994521416e-07
Position 542: 1.3677451830486897e-07
Position 228: 1.0673487114724792e-07
Position 390: 1.4720691954722004e-08
Position 810: 1.2221308015325898e-08
Position 226: 6.179146421136905e-09
Position 965: 2.989738601481163e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4641: 0.7422488721913214
Position 1361: 0.6239854598992062
Position 6065: 0.3250221189353772
Position 5746: 0.32179956242081775
Position 556: 0.2501918363631022
Position 5601: 0.24496159257209352
Position 552: 0.1722759501602707
Position 692: 0.1357730898033824
Position 3882: 0.12202099295488927
Position 1413: 0.12019081014684478
Position 5422: 0.10348017933462492
Position 3056: 0.08478441714798843
Position 7907: 0.06797656659799109
Position 5108: 0.06067121856894244
Position 7767: 0.04898499865762513
Position 2526: 0.047323697268349486
Position 1157: 0.046187754470144796
Position 2326: 0.04477789345117139
Position 7669: 0.04410903731324316
Position 1391: 0.040633546550821756
Position 5105: 0.0383019891239343
Position 7642: 0.036980368195426494
Position 3791: 0.030799236592206854
Position 1212: 0.03066538077391584
Position 6493: 0.029535502523274592
Position 2485: 0.02625034239089257
Position 2563: 0.025265088373256774
Position 7373: 0.023469739661106652
Position 6188: 0.023102108711350416
Position 4934: 0.0186933130190815
Position 3751: 0.017243825373669575
Position 4904: 0.016815419735470998
Position 2021: 0.016233530670088887
Position 1366: 0.016060685214768868
Position 8135: 0.01160937551375139
Position 171: 0.01158347103351006
Position 2441: 0.0115285505549602
Position 236: 0.010839583879200986
Position 2158: 0.01027228913999124
Position 7823: 0.00998718979583224
Position 2060: 0.009969641385299526
Position 8028: 0.009387698194535127
Position 6083: 0.008835426502577558
Position 6617: 0.007976813056093237
Position 4414: 0.007489972108729237
Position 708: 0.0074681266154365536
Position 3599: 0.00655132581826726
Position 271: 0.005934083404671182
Position 593: 0.005916179262193534
Position 5870: 0.005863100171890603
Position 4771: 0.00537276353594571
Position 668: 0.005331944275889772
Position 3843: 0.0051588689741605435
Position 2896: 0.005118877334852002
Position 1236: 0.00498461071702346
Position 6450: 0.0048911742272408475
Position 2993: 0.004818949456889859
Position 8277: 0.004578489301599913
Position 6415: 0.003678993409938781
Position 2494: 0.003573667324762572
Position 5653: 0.0035312099601720885
Position 6379: 0.0034874428244887163
Position 1419: 0.003216752301315832
Position 2359: 0.0032081097359194146
Position 1136: 0.0031550214537353254
Position 3157: 0.0030351333271502008
Position 1289: 0.002990277702045361
Position 2652: 0.0029740658679673383
Position 4574: 0.002911132824160554
Position 3652: 0.0028376745110174533
Position 7406: 0.0026704039402217676
Position 1174: 0.0025947442034849498
Position 4521: 0.0022874166219127925
Position 2686: 0.0018810740557391147
Position 2716: 0.0016924299835391686
Position 207: 0.001634001362398979
Position 451: 0.0016307797626656736
Position 4842: 0.001533192867055069
Position 5504: 0.0012254218280837352
Position 5818: 0.0011998195304951215
Position 2744: 0.001170272532774148
Position 3112: 0.0011641294203184346
Position 4659: 0.0011317848526942564
Position 2724: 0.0011166816853633184
Position 1040: 0.0010003559267676497
Position 646: 0.000990922801292438
Position 744: 0.0009350778005441808
Position 936: 0.0009102696011916197
Position 1188: 0.0008585705045879386
Position 7607: 0.000779122484007652
Position 823: 0.000760326763047093
Position 4069: 0.0007268602203136742
Position 7314: 0.0006824444802805715
Position 1299: 0.0006705838817395892
Position 7530: 0.0006310137219802334
Position 416: 0.0006005137482071169
Position 3692: 0.0005930945702007476
Position 1860: 0.0005654488211146599
Position 3464: 0.0005622015252690339
Position 612: 0.0005185654080652535
Position 1750: 0.0004906883165692657
Position 2942: 0.0004891177663273891
Position 2964: 0.0004653582548916159
Position 6594: 0.00040618465864683165
Position 713: 0.00038693957773433454
Position 3558: 0.0003747462388794252
Position 360: 0.00035208136455610467
Position 6581: 0.0003345182242064802
Position 1532: 0.00033275283894332075
Position 6021: 0.00026675436983108325
Position 3850: 0.00024227620144689102
Position 6001: 0.00024110461649145247
Position 3094: 0.0002077750055354954
Position 1553: 0.000205683656883567
Position 877: 0.00019592804855007935
Position 614: 0.00018134223410219786
Position 792: 0.0001776014953047566
Position 2693: 0.0001765652516514766
Position 3403: 0.00017608372342126677
Position 3442: 0.00017449321532431904
Position 252: 0.00016499068750677493
Position 5085: 0.00014979160077398853
Position 2395: 0.00014379941551510711
Position 648: 0.00013174865141545288
Position 3213: 0.00012418454328399586
Position 3126: 0.0001205961579166848
Position 2449: 0.00010877985819844805
Position 867: 8.923143639679267e-05
Position 2246: 8.612792095627307e-05
Position 5545: 5.963436716253567e-05
Position 880: 5.8373470697427715e-05
Position 753: 5.3215528138262735e-05
Position 258: 4.607030671230338e-05
Position 1251: 4.415049082471502e-05
Position 2195: 2.7775162976517123e-05
Position 3493: 2.605601438046771e-05
Position 2128: 2.301793525173514e-05
Position 2632: 2.1194964898087273e-05
Position 2842: 1.863154517743212e-05
Position 920: 1.8543301907328563e-05
Position 2898: 1.498879292808767e-05
Position 776: 1.4935921235594243e-05
Position 1194: 1.2723913346781578e-05
Position 468: 1.1011220044068456e-05
Position 956: 7.787125708022327e-06
Position 890: 7.0899058065231315e-06
Position 285: 4.872871707598202e-06
Position 1306: 4.746907592897218e-06
Position 499: 4.076155745772929e-06
Position 460: 3.870336910282145e-06
Position 1918: 2.0734270721043103e-06
Position 3674: 2.0594505781083423e-06
Position 3885: 1.5689217863180263e-06
Position 1537: 1.4316227818801542e-06
Position 1600: 1.1702281265036117e-06
Position 1869: 1.113377825334514e-06
