Gene = Bcs1l
index = 177
Annotated 5SS: [ 188 1579 1800 2160 2435 2830 3407]
Annotated 3SS: [1185 1659 1964 2370 2659 3288 3521]
SMsplice 5SS: [  94 1800 2160 2830 3407]
SMsplice 3SS: [1659 1964 2659 3288 3521]
top_k =  1000
Partition function (log Z): -1.8833014640764278

Sorted 5' Splice Sites (High to Low Probability):
Position 3407: 0.9373910899034025
Position 1800: 0.8927214271257192
Position 2830: 0.7483781308477462
Position 2160: 0.6709787957119245
Position 1579: 0.5629014615688472
Position 2564: 0.300509917099063
Position 1325: 0.2551971004522305
Position 94: 0.23126783277670215
Position 188: 0.21824732953795048
Position 2435: 0.1442036246231146
Position 749: 0.14198671235160443
Position 259: 0.1378232911178506
Position 305: 0.06286301300697869
Position 551: 0.060109825134973593
Position 527: 0.04851797601499463
Position 827: 0.04123379996598365
Position 230: 0.027388547057578833
Position 2198: 0.026827363058330857
Position 1335: 0.025956996290197477
Position 687: 0.02510001680421505
Position 3007: 0.023449260907747536
Position 1900: 0.022570685772401903
Position 500: 0.020443389803382776
Position 668: 0.015301803128888201
Position 1596: 0.00909896418462802
Position 2899: 0.007921490308140098
Position 3700: 0.007439456629226969
Position 531: 0.006475132795253391
Position 2225: 0.0063706052833793336
Position 2339: 0.005533320565031885
Position 3615: 0.005306716402252033
Position 1775: 0.005185614168953974
Position 1837: 0.003482268145489276
Position 3768: 0.003136081201082023
Position 486: 0.0031294848243466726
Position 16: 0.0027242884604121815
Position 1329: 0.002055088138000415
Position 251: 0.0019660480546942883
Position 2146: 0.0017348406742385201
Position 1010: 0.0017196014537346788
Position 3456: 0.0015245611623412815
Position 650: 0.001427002322030097
Position 3949: 0.001355718502011988
Position 2571: 0.0013250128723203518
Position 756: 0.0013142642876273383
Position 2893: 0.0012714472650842733
Position 696: 0.001131056108920164
Position 137: 0.0010142790849597052
Position 2809: 0.0010070870776253157
Position 3894: 0.0009450374526468447
Position 2091: 0.0008968850203579499
Position 3567: 0.0007520911368343028
Position 492: 0.0007033324974587311
Position 1893: 0.0006290389344920444
Position 579: 0.0006142390994934555
Position 937: 0.0006037172142142611
Position 2058: 0.0005087520364441811
Position 592: 0.0003971997734900107
Position 2301: 0.0003940379912680519
Position 792: 0.0003828172198419337
Position 127: 0.00035020775171332923
Position 100: 0.00034129730407176306
Position 1829: 0.00033588595702664794
Position 1540: 0.00025042876933825344
Position 639: 0.00023962377266158319
Position 290: 0.00023567993101637413
Position 307: 0.00022767855154208724
Position 1709: 0.00021009636913549138
Position 957: 0.00020212197662325596
Position 2463: 0.00017015271106484998
Position 441: 0.0001697836891403089
Position 52: 0.00013268676185451632
Position 239: 0.000130951423861022
Position 1682: 0.00011686246089341102
Position 625: 0.00011353424053322143
Position 1047: 0.0001115199759692297
Position 1094: 0.00010450206444644446
Position 2034: 7.866891713018996e-05
Position 352: 7.579595397517045e-05
Position 565: 6.857995155818687e-05
Position 3664: 5.520078726998086e-05
Position 1660: 5.2432305796614514e-05
Position 3689: 5.1211203336354707e-05
Position 2413: 4.988720397794051e-05
Position 2325: 4.7445966303032244e-05
Position 672: 4.4742828057764365e-05
Position 292: 3.962369705469922e-05
Position 14: 3.3853115354280086e-05
Position 2186: 3.0329062045208703e-05
Position 117: 2.519274214145628e-05
Position 3452: 2.2354071538538378e-05
Position 261: 2.1268963956066906e-05
Position 2190: 2.0484810799061814e-05
Position 107: 2.0039960531975592e-05
Position 30: 1.9916493775355355e-05
Position 655: 1.8845713722566765e-05
Position 166: 1.812358128923763e-05
Position 545: 1.4758873209423407e-05
Position 3227: 1.2972381890108943e-05
Position 1107: 1.2560988499704239e-05
Position 3720: 1.1564539443742156e-05
Position 2143: 9.021599933770645e-06
Position 109: 5.584682079503792e-06
Position 74: 5.081326669673392e-06
Position 276: 4.901668448950343e-06
Position 3606: 4.8463663246977215e-06
Position 330: 4.5295269011569184e-06
Position 282: 4.013583640827919e-06
Position 2909: 2.6990728305660154e-06
Position 98: 2.5921658621746433e-06
Position 131: 1.7114951003231694e-06
Position 2075: 4.566626047132122e-07
Position 2008: 3.494022680401216e-07
Position 2790: 3.2042265867260733e-07
Position 129: 3.1319776344622125e-07
Position 2775: 2.162832727283961e-07
Position 2883: 1.8860077905724884e-07
Position 2754: 1.6208514330669152e-07
Position 2343: 7.699970735873216e-08
Position 3161: 5.507107486032204e-08
Position 3132: 5.3477451583363804e-08
Position 3082: 5.0212222159795477e-08
Position 345: 9.619494616903565e-09
Position 1331: 9.390269295922312e-09
Position 534: 1.205064946023505e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 3521: 0.9830817711237764
Position 1659: 0.8941707224719009
Position 3288: 0.8508057845365473
Position 2659: 0.718932906697528
Position 1964: 0.5087416200653337
Position 1185: 0.22509817452979566
Position 2370: 0.20453704147986004
Position 1470: 0.199374155495925
Position 2273: 0.19296276922251265
Position 1217: 0.10926040595581994
Position 1452: 0.10254444939268335
Position 1258: 0.0598342810987929
Position 1513: 0.055253175116156565
Position 1984: 0.05275272820869893
Position 568: 0.03762072639141805
Position 1990: 0.03547496888136729
Position 1987: 0.029271429048193937
Position 2078: 0.029148522623858773
Position 1863: 0.028154440742255024
Position 3108: 0.024380142981100937
Position 3328: 0.02407852765855159
Position 339: 0.02087665061302672
Position 2892: 0.02041833722645338
Position 2015: 0.020336648717590868
Position 2605: 0.020231411815419445
Position 2342: 0.019461915959259283
Position 3357: 0.018242567377013637
Position 1361: 0.015479140551178801
Position 2469: 0.015468236134963613
Position 3127: 0.015266703893904783
Position 4085: 0.01449437487184049
Position 1292: 0.014331482876051169
Position 2383: 0.012276143154896921
Position 1328: 0.01138986591128283
Position 1483: 0.010447294299118717
Position 2704: 0.008407863902660183
Position 3006: 0.008325154819903618
