Gene = Elof1
index = 373
Annotated 5SS: [  63 3365]
Annotated 3SS: [3228 3492]
SMsplice 5SS: [  63 2985 3365]
SMsplice 3SS: [2942 3228 3492]
top_k =  1000
Partition function (log Z): -4.2794822371156815

Sorted 5' Splice Sites (High to Low Probability):
Position 3365: 0.9499202888273518
Position 63: 0.7363315512093201
Position 2985: 0.627470323012402
Position 328: 0.37165569338080423
Position 2478: 0.14543031349425922
Position 236: 0.09412552826178322
Position 3726: 0.09008641850584033
Position 524: 0.07268386953335944
Position 3028: 0.06926683820585146
Position 407: 0.05754759476454325
Position 1430: 0.0478869054796528
Position 320: 0.04322065040300356
Position 3730: 0.038771789137101886
Position 3176: 0.0340721900022114
Position 1529: 0.01787442743932422
Position 518: 0.01394962555852234
Position 948: 0.010625678317773205
Position 1690: 0.008410519219493342
Position 3382: 0.008056754115216733
Position 3369: 0.007009621419046539
Position 1407: 0.006701347452536134
Position 57: 0.006554308537361429
Position 3834: 0.005953681144477183
Position 1479: 0.005939196622860909
Position 421: 0.003562820605273469
Position 1126: 0.003464649171593415
Position 387: 0.0024005332209847026
Position 2327: 0.002030483028478355
Position 2982: 0.001922047363270773
Position 3100: 0.0017585417334874081
Position 2506: 0.0011723291511904464
Position 3633: 0.001080210208416936
Position 3357: 0.000841772305135604
Position 3347: 0.0008054387922332042
Position 2389: 0.0007636632775266569
Position 283: 0.0007507081964275378
Position 26: 0.0007246217888822945
Position 3352: 0.0006978683104085083
Position 1918: 0.0006150269723427227
Position 277: 0.000591655673994359
Position 69: 0.000583129494921485
Position 2281: 0.0005649182961451382
Position 954: 0.0005614515407412467
Position 2114: 0.0004908117675044535
Position 2295: 0.00046512711802598587
Position 3045: 0.00040658894823562657
Position 3111: 0.00036388657681537027
Position 3625: 0.00031759409948952267
Position 1801: 0.0002943026919327844
Position 11: 0.0002679285127329898
Position 3015: 0.00023620724990719238
Position 1152: 0.0002187999840123502
Position 2989: 0.00019626480968829707
Position 3060: 0.00017079547735269465
Position 3075: 0.00017015258039876748
Position 3062: 0.00016262327013057696
Position 17: 0.00011581913383779218
Position 3586: 0.0001077592102520248
Position 3373: 9.696539011042621e-05
Position 2371: 8.658284372470477e-05
Position 3568: 8.261680800176914e-05
Position 2141: 8.079141119959661e-05
Position 135: 7.31396226867281e-05
Position 1955: 6.0984969394405274e-05
Position 306: 5.872368043678678e-05
Position 74: 5.8632695156690875e-05
Position 3584: 5.67108981041519e-05
Position 3761: 5.557300415139473e-05
Position 747: 3.7874804779289356e-05
Position 3317: 3.48390800541594e-05
Position 3734: 2.452860351241478e-05
Position 1433: 2.0479521465135587e-05
Position 450: 1.5765464842707172e-05
Position 174: 1.3381677170891985e-05
Position 378: 1.1537470636229417e-05
Position 398: 1.0569741332126974e-05
Position 250: 8.910813068487477e-06
Position 1244: 5.251674165359592e-06
Position 3375: 4.43117972340493e-06
Position 1752: 4.273979968141019e-06
Position 1568: 3.994490433145306e-06
Position 552: 3.515972726299291e-06
Position 67: 2.6688263188004306e-06
Position 89: 1.1774353446006012e-06
Position 751: 5.756113030706894e-07
Position 390: 5.415570536132328e-07
Position 544: 4.112592379486194e-07
Position 1866: 1.5173050172376116e-07
Position 425: 1.2317685009242649e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3492: 0.7988488100843095
Position 3228: 0.763858745796403
Position 2942: 0.4757988763935228
Position 203: 0.3011275323514371
Position 3246: 0.2139776915487898
Position 2892: 0.1956221054263174
Position 3895: 0.1511282232726854
Position 2064: 0.06640378775681187
Position 1345: 0.05721326457612385
Position 263: 0.052216844592064895
Position 3539: 0.03952870724925296
Position 2312: 0.035380134692402095
Position 131: 0.027908581379100506
Position 2268: 0.024939895803670033
Position 1314: 0.020273585596085688
Position 3058: 0.018429763483725926
Position 2856: 0.018353477461410684
Position 3967: 0.01819223318342225
Position 3932: 0.015297310363144632
Position 4110: 0.015262278608657639
Position 3091: 0.013433707741271868
Position 2946: 0.01245438628831377
Position 3870: 0.011281629917531288
Position 4018: 0.009938702169504704
Position 2217: 0.009145890436987365
Position 3443: 0.009075493684850845
Position 439: 0.0087869886954463
Position 466: 0.007944314665267148
Position 2254: 0.006643895452330895
Position 4000: 0.006589148597611177
Position 856: 0.00636807516607259
Position 1429: 0.006342837782464472
Position 2442: 0.005208543079752786
Position 3800: 0.005141649688541336
Position 2910: 0.005105001004718267
Position 3714: 0.004739981187728341
Position 3655: 0.004456706978191901
Position 3430: 0.004252085308744601
Position 3572: 0.004136192540989144
Position 313: 0.003701531108101369
Position 3833: 0.0033241590376019694
