Gene = Snapin
index = 996
Annotated 5SS: [202 486 880]
Annotated 3SS: [ 438  760 1439]
SMsplice 5SS: [202 486 880]
SMsplice 3SS: [ 438  760 1439]
top_k =  1000
Partition function (log Z): -1.169015522601605

Sorted 5' Splice Sites (High to Low Probability):
Position 880: 0.9882119654267735
Position 486: 0.751868152995776
Position 202: 0.6383473489339325
Position 197: 0.14498357142284377
Position 647: 0.04326307024142272
Position 1569: 0.024356885514163894
Position 330: 0.02003010889911042
Position 1595: 0.01801011232098929
Position 308: 0.013072350582068274
Position 1561: 0.009408399451185576
Position 349: 0.00749154437145013
Position 490: 0.004978972266003882
Position 167: 0.004779642132069918
Position 676: 0.004725701448348713
Position 188: 0.004130740255144575
Position 214: 0.0032950846131117803
Position 549: 0.0030693894754310514
Position 2016: 0.002963335813252875
Position 1787: 0.002895969200697097
Position 1334: 0.002842585249914601
Position 1552: 0.0021671493980441677
Position 1687: 0.002128828941698011
Position 853: 0.0019028602805320725
Position 2567: 0.0018650591870038684
Position 2139: 0.0016548217688976432
Position 343: 0.0007652069743636283
Position 1620: 0.0006631182530500015
Position 1321: 0.0005633565304452774
Position 2556: 0.0005401315268713306
Position 1525: 0.0005299796223859955
Position 247: 0.0003753918061714008
Position 1244: 0.0003188507688381888
Position 653: 0.00027510684960808934
Position 539: 0.00027215272123420545
Position 2757: 0.00023919058901152756
Position 844: 0.0001947000364100881
Position 1512: 0.00018749514464694097
Position 649: 0.00014323500429420986
Position 1626: 0.00012732221347446952
Position 449: 0.00011609046840479627
Position 896: 9.550842282720118e-05
Position 1665: 8.757929368625394e-05
Position 1361: 8.202245340222158e-05
Position 72: 8.104267403197496e-05
Position 955: 6.506065974760352e-05
Position 363: 6.330563094250287e-05
Position 151: 6.316909098673444e-05
Position 930: 5.757051910080163e-05
Position 2290: 4.220906044729802e-05
Position 2752: 3.866836853943586e-05
Position 1653: 3.853342960470063e-05
Position 2166: 3.301210151316774e-05
Position 790: 2.9449344818750148e-05
Position 297: 2.4343355462570657e-05
Position 1454: 2.2180881269505048e-05
Position 4: 2.1730294158318713e-05
Position 1305: 2.147879705857301e-05
Position 561: 2.1049464269126295e-05
Position 52: 1.6150104342409458e-05
Position 735: 1.286095406496786e-05
Position 43: 1.2492883212473252e-05
Position 85: 1.2485104747907366e-05
Position 847: 1.1518507338702733e-05
Position 396: 1.096994364731203e-05
Position 1912: 1.0333827124934708e-05
Position 1759: 6.828908574552977e-06
Position 814: 5.793046444537666e-06
Position 387: 5.509035925976615e-06
Position 104: 5.333533659227367e-06
Position 1181: 4.642342376973029e-06
Position 11: 4.247904404555347e-06
Position 357: 4.021062669174976e-06
Position 83: 2.9045434206060595e-06
Position 412: 2.8186540031246908e-06
Position 378: 2.2698890546670617e-06
Position 567: 1.44280382999359e-06
Position 1590: 9.167794592299691e-07
Position 1764: 5.75356026132219e-07
Position 1086: 4.928333207022484e-07
Position 1959: 4.249138654128e-07
Position 402: 3.80279345678793e-07
Position 425: 3.25044133693834e-07
Position 1967: 3.0976070079174397e-07
Position 1232: 2.8294124406310817e-07
Position 1110: 2.131781757610364e-07
Position 415: 2.102958129154649e-07
Position 1728: 1.722794968030022e-07
Position 927: 1.3319785697077044e-07
Position 1389: 1.1131999592941024e-07
Position 1115: 9.759043524317503e-08
Position 1113: 8.763439321938938e-08
Position 1074: 7.006432673640509e-08
Position 1791: 6.497866971301409e-08
Position 1215: 2.6837351701671387e-08
Position 739: 2.092676643400535e-08
Position 1221: 1.0265339587514445e-08
Position 920: 9.864744839906496e-09
Position 939: 9.538341678427203e-09
Position 942: 8.992499045768165e-09
Position 1467: 1.091876417171426e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1439: 0.9542061417421777
Position 760: 0.9523215833192961
Position 438: 0.38476366624096014
Position 418: 0.1366129202277648
Position 402: 0.07445746697070296
Position 2058: 0.02729573306073779
Position 625: 0.023704380394742267
Position 712: 0.01893598612305138
Position 2261: 0.017448346747463015
Position 2693: 0.016934674222173034
Position 548: 0.015461864757586808
Position 588: 0.01528887965200262
Position 1215: 0.011120821340207738
Position 2856: 0.009107106295529261
