Gene = Tollip
index = 1131
Annotated 5SS: [  212  9748 10504 11786 12981]
Annotated 3SS: [ 9597 10320 11632 12889 17905]
SMsplice 5SS: [  212  4924  9748 10504 11786 12147 12981]
SMsplice 3SS: [ 4826  9597 10320 11632 12059 12889 17905]
top_k =  1000
Partition function (log Z): 6.078427798840253

Sorted 5' Splice Sites (High to Low Probability):
Position 212: 0.9998195968091905
Position 12981: 0.9394788627623821
Position 9748: 0.9179949550980456
Position 10504: 0.917465594257139
Position 11786: 0.8914989343202426
Position 4924: 0.646460038942905
Position 12147: 0.5803570382838692
Position 3793: 0.44004813709367535
Position 7384: 0.41612482821458835
Position 10122: 0.38527658252959923
Position 5791: 0.3834624309024848
Position 8039: 0.2720999379956535
Position 8018: 0.2523815835664425
Position 17027: 0.19352350537484458
Position 13990: 0.1895521622561874
Position 11523: 0.1884704310395584
Position 17000: 0.1457582634426165
Position 13715: 0.11716894782551499
Position 15238: 0.11406751054333193
Position 17051: 0.10294839277063704
Position 10239: 0.10026462353886059
Position 7939: 0.07764280430558824
Position 11545: 0.07406999229152203
Position 8420: 0.07193005103650484
Position 11719: 0.06557105176343907
Position 10469: 0.04934828170546805
Position 15966: 0.04764097964963597
Position 12999: 0.0400546281023709
Position 17687: 0.039264956137904816
Position 18037: 0.036112783633043995
Position 9525: 0.031251506391398266
Position 10198: 0.027718008944110247
Position 8237: 0.026595756548481952
Position 4786: 0.02602488417419791
Position 14219: 0.02592966627184374
Position 16995: 0.02552791451142127
Position 9718: 0.024185222352923225
Position 12181: 0.022555556464803537
Position 9742: 0.01954425126129477
Position 9713: 0.01818842829411605
Position 704: 0.01762748618552173
Position 7076: 0.01730652276507117
Position 672: 0.01628166669487432
Position 13184: 0.015571853978105782
Position 10181: 0.015406186547458593
Position 15857: 0.015355276862326342
Position 13706: 0.014948550066335286
Position 798: 0.014773578035226187
Position 2898: 0.013962376042747887
Position 12060: 0.012891047314061972
Position 11065: 0.011377064797937717
Position 4905: 0.00979827970482075
Position 7689: 0.009389318792631048
Position 9982: 0.008822770676638706
Position 7406: 0.008332634893144404
Position 12429: 0.007883322519341809
Position 3325: 0.006884094602668479
Position 2612: 0.006858320823162153
Position 9482: 0.006641028570320007
Position 6237: 0.006322774478013725
Position 12629: 0.006027969949300986
Position 10091: 0.005861889944664271
Position 7221: 0.005554550190902815
Position 10112: 0.0054299451368684205
Position 1659: 0.0052854151025321
Position 17071: 0.005244264205696405
Position 3443: 0.0050134945347433
Position 11142: 0.004266531953876068
Position 4045: 0.004053175362404179
Position 5585: 0.0037002496076894553
Position 12720: 0.00363197805518995
Position 7622: 0.003367808572650352
Position 873: 0.0032733835537692045
Position 10800: 0.0032429205820231877
Position 2656: 0.0030857612079447745
Position 17126: 0.0024985195397946905
Position 11427: 0.002453278976518794
Position 14574: 0.0023775012953189917
Position 11822: 0.0023138866783382864
Position 8149: 0.002194758221181458
Position 11705: 0.0021548753140258167
Position 7514: 0.0021103034018832845
Position 7504: 0.0019215309501728877
Position 2049: 0.00191594742852269
Position 6992: 0.0018009721224903122
Position 10816: 0.00177307470621339
Position 1735: 0.001561808279891652
Position 3349: 0.0014919429397037237
Position 1899: 0.0014554084104515593
Position 11421: 0.0014517920056934203
Position 3833: 0.0013748656034982922
Position 1280: 0.0011785968943544883
Position 3066: 0.0011553992941416209
Position 11292: 0.0011120323514064471
Position 11440: 0.0010804921379504928
Position 13019: 0.0010795223925219785
Position 5518: 0.0010364011653096752
Position 5743: 0.0010178461747843712
Position 2993: 0.0009513440441690066
Position 10283: 0.0008991123421507192
Position 3489: 0.0008652308201528076
Position 15774: 0.0008439074401158079
Position 16184: 0.0008297490838852339
Position 7343: 0.0008165552047360162
Position 2322: 0.0007942031204314153
Position 11716: 0.0007923924439183144
Position 9709: 0.0007716968765629819
Position 9947: 0.000741345762488343
Position 10941: 0.0007323875772146815
Position 777: 0.000703842228563375
Position 13179: 0.0006713030831261526
Position 3115: 0.0006606696938266782
Position 9696: 0.0006533351470994367
Position 4039: 0.0006099738245833886
Position 3329: 0.0005973653461853323
Position 1233: 0.0005794545788871584
Position 11202: 0.0005708466568497668
Position 1637: 0.0005509555857141858
Position 4440: 0.000510143502398757
Position 2010: 0.0004917407698395313
Position 2973: 0.0004825504951300196
Position 3030: 0.00047175471596735236
Position 16684: 0.0004545155434066398
Position 11384: 0.0004492748431632734
Position 11183: 0.0004471565400652373
Position 1923: 0.0004159952184078798
Position 1728: 0.00040313214772050207
Position 11488: 0.0003905722881586351
Position 7631: 0.00035822872082541627
Position 3844: 0.00035065956712284236
Position 9776: 0.00034522494816917093
Position 11410: 0.00033894354507961726
