Gene = Insc
index = 580
Annotated 5SS: [   241  23267  45532  46533  48328  58827  65963  83440  89166  96424
  99407 100763]
Annotated 3SS: [ 23165  45185  46479  48203  58712  65836  83267  88986  96356  99250
 100685 104049]
SMsplice 5SS: [   241    567  21349  23267  41995  45308  46533  48328  58827  65963
  83440  89166  96046  96424  99407 100763 103394]
SMsplice 3SS: [   462  21146  23165  41819  45185  46418  48203  58712  65836  83267
  88986  95933  96356  99250 100685 103297 104049]
top_k =  1000
Partition function (log Z): -50.93900627563137

Sorted 5' Splice Sites (High to Low Probability):
Position 567: 0.7497218257402054
Position 241: 0.6295618852663429
Position 10949: 0.29385049987495954
Position 3123: 0.25380551335964585
Position 3269: 0.2166874364110864
Position 6948: 0.19328419565710417
Position 2672: 0.16845468257359714
Position 245: 0.058286814640233615
Position 4284: 0.05826716308065169
Position 574: 0.05777861392546759
Position 4159: 0.04737945754210168
Position 3245: 0.04694162469205957
Position 56: 0.030255857509409068
Position 7411: 0.027592495622133034
Position 182: 0.02287694532444309
Position 333: 0.022724169868627454
Position 369: 0.021272147758397593
Position 4187: 0.019694339265001685
Position 4374: 0.01947362724206167
Position 476: 0.013946086029785814
Position 349: 0.012743564881084427
Position 359: 0.012561940354188499
Position 11743: 0.010541423215512262
Position 1573: 0.009880185167946375
Position 8141: 0.007562723657238039
Position 12515: 0.007308104239259452
Position 779: 0.006815364156288142
Position 581: 0.006583420700847322
Position 925: 0.0047324453577201105
Position 2360: 0.004620976679085542
Position 1629: 0.0043212040605609394
Position 1900: 0.001789372745090443
Position 1602: 0.0011222919755216059
Position 787: 0.00078654346901479
Position 1280: 0.0005413805456546674
Position 2232: 0.0005341806613638765
Position 85: 0.0004123312902843828
Position 1830: 0.0004021641562858962
Position 463: 0.00036232215270298913
Position 93: 0.00031185756557197865
Position 363: 0.0002605452578521441
Position 375: 0.0002245405580569991
Position 1423: 0.00020717781112518247
Position 230: 0.0001999096124647682
Position 2848: 0.0001901448305580916
Position 343: 0.00017812148788819658
Position 355: 0.0001334655137456626
Position 311: 0.00012604408719367157
Position 1295: 6.327210107473811e-05
Position 335: 5.463815619682596e-05
Position 170: 5.318712408081389e-05
Position 1472: 5.305993068049321e-05
Position 903: 4.555410140125982e-05
Position 3460: 4.375042388182174e-05
Position 389: 3.4122655414090035e-05
Position 225: 2.6813478582559984e-05
Position 431: 2.539163049726348e-05
Position 314: 2.161713129969308e-05
Position 128: 1.1371432814416478e-05
Position 379: 6.035757152090177e-06
Position 1418: 5.262376672548697e-06
Position 549: 5.09481464627324e-06
Position 1399: 4.686228908123942e-06
Position 373: 3.9974449403823736e-06
Position 674: 3.767820204506667e-06
Position 433: 3.383614363487523e-06
Position 341: 3.174945352991637e-06
Position 625: 3.0768269087675153e-06
Position 347: 2.8917850624178026e-06
Position 2062: 2.8820114691392976e-06
Position 746: 2.8304652510955844e-06
Position 1104: 2.4946454917984465e-06
Position 1101: 2.4652262036836212e-06
Position 1536: 1.3980455803925154e-06
Position 26: 1.2040274442454346e-06
Position 123: 8.784627379703315e-07
Position 398: 8.337117249519805e-07
Position 46: 7.792337352693127e-07
Position 1365: 6.061366517485375e-07
Position 435: 4.95108812124859e-07
Position 437: 4.619048718714024e-07
Position 1489: 3.3561540504086494e-07
Position 423: 2.6553137460635725e-07
Position 1391: 2.4837565325634395e-07
Position 406: 2.223193084824467e-07
Position 584: 1.9596484900699922e-07
Position 439: 1.6828787606012494e-07
Position 3159: 1.4930906422422518e-07
Position 1767: 1.1727821352398204e-07
Position 3101: 1.1184086915056712e-07
Position 3225: 1.1004408314003608e-07
Position 1208: 4.2378538462131035e-08
Position 1241: 3.706112988708312e-08
Position 1076: 3.38413425724896e-08
Position 441: 2.570858658124962e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 462: 0.42970144321841713
Position 10700: 0.40423740354064996
Position 3018: 0.33416381824173347
Position 6830: 0.24284941448804243
Position 11624: 0.10429474155209434
Position 2537: 0.09647450472104097
Position 2948: 0.08353111873512645
Position 475: 0.07678631993432418
Position 7103: 0.07243991491517104
Position 12186: 0.07096012076476962
Position 14353: 0.06693449761029148
Position 324: 0.06185751895925129
Position 4179: 0.06088280413447427
Position 3122: 0.0597369802154463
Position 451: 0.059666477357010146
Position 4049: 0.05661349325240133
