Gene = Sccpdh
index = 949
Annotated 5SS: [  336  2486  8262  9961 10720 11506 12400 13343 13498 16107 17568]
Annotated 3SS: [ 2372  8180  9830 10669 11374 12281 13222 13440 15994 17485 18361]
SMsplice 5SS: [   70  2486  8262 11506 12400 13343 16107 17568]
SMsplice 3SS: [ 2372  8180 11374 12281 13222 15994 17485 18361]
top_k =  1000
Partition function (log Z): -1.1814060183866109

Sorted 5' Splice Sites (High to Low Probability):
Position 16107: 0.9856042776963135
Position 2486: 0.8827139193159114
Position 8262: 0.8487776211722532
Position 12400: 0.8308727983997198
Position 13343: 0.8089011323596528
Position 11506: 0.6317867172964785
Position 17568: 0.5433284315153906
Position 11199: 0.37018917810757157
Position 9961: 0.3356315703424827
Position 70: 0.3229464201276582
Position 336: 0.27822183833178016
Position 13154: 0.2525907555123725
Position 224: 0.20529896947064338
Position 13498: 0.20511985048563194
Position 10720: 0.16955587537571773
Position 17596: 0.12727387788622394
Position 14858: 0.11824771118599331
Position 13917: 0.11207431939272673
Position 15787: 0.09289695293307386
Position 12430: 0.09272473056580512
Position 781: 0.08590391080218944
Position 10556: 0.07238314324242744
Position 208: 0.06601456033040838
Position 11217: 0.06270361794733786
Position 9975: 0.037291248864304
Position 13347: 0.03537375714528897
Position 13755: 0.028625871375302172
Position 14888: 0.02756357490926408
Position 12745: 0.027390298739154884
Position 13601: 0.022674853322844586
Position 9244: 0.022546771720689893
Position 12779: 0.01908196409249215
Position 12613: 0.015279307876906224
Position 17572: 0.013326272753138961
Position 17041: 0.013033095820994548
Position 6388: 0.011970708134813922
Position 282: 0.011906624089115421
Position 16459: 0.011896637497255036
Position 358: 0.011437142370521715
Position 17207: 0.01072976038492927
Position 14659: 0.010653930733540281
Position 3773: 0.010555770482390352
Position 11192: 0.01016973770626481
Position 11487: 0.010073123261684365
Position 17758: 0.009612670009011627
Position 2023: 0.009534094269253614
Position 308: 0.009080278993735971
Position 18552: 0.008595202628264208
Position 8746: 0.007943533485750456
Position 16837: 0.0076201716072695595
Position 7119: 0.006960077544440257
Position 11295: 0.006941787317515228
Position 2027: 0.006888732453983113
Position 14453: 0.00675782824849858
Position 9971: 0.005930654765833805
