Gene = Rec114
index = 892
Annotated 5SS: [  173 29544 75727 81386 83803]
Annotated 3SS: [29453 75642 81187 83715 88452]
SMsplice 5SS: [  173 13813 29544 48257 55530 55739 72192 75805 81386 83803]
SMsplice 3SS: [13726 29453 48102 55413 55616 72070 75642 81214 83715 88452]
top_k =  1000
Partition function (log Z): -43.54971620964026

Sorted 5' Splice Sites (High to Low Probability):
Position 173: 0.9845357199521836
Position 3503: 0.47173733215869873
Position 1288: 0.12904587307644597
Position 1590: 0.05866380378556293
Position 10208: 0.048738709439957714
Position 6416: 0.03505147946040377
Position 5083: 0.030609827483834593
Position 2607: 0.028835700913290768
Position 3558: 0.028612873450835116
Position 1061: 0.02842495891988821
Position 2640: 0.01852654177209002
Position 3494: 0.015458505977513587
Position 1545: 0.01386498563356229
Position 9760: 0.011632161368714778
Position 3055: 0.01047689427676501
Position 321: 0.00878918418308623
Position 1574: 0.008015379556335503
Position 3833: 0.0071860539172694865
Position 1240: 0.006755893271800307
Position 1361: 0.006156474546479867
Position 2591: 0.006138387249454617
Position 510: 0.005875321096655206
Position 10076: 0.004772231441079502
Position 1347: 0.0026460388026811376
Position 7006: 0.00217299346954757
Position 1091: 0.0020624559738945144
Position 1098: 0.00184393193083747
Position 2334: 0.0017731419381127203
Position 1635: 0.0015992175921480279
Position 364: 0.0014650197135200546
Position 6264: 0.0013319320068220111
Position 4407: 0.0012686722276577325
Position 969: 0.0008436137607074422
Position 1493: 0.0008153381662623531
Position 1321: 0.0007905831956856095
Position 1532: 0.0007855957025050984
Position 1036: 0.000783954794525118
Position 1479: 0.0007590305836872103
Position 2310: 0.000676273661602128
Position 1448: 0.0006253840311517382
Position 4891: 0.0005752053332821889
Position 3543: 0.0005608096041081239
Position 116: 0.0005074126950635763
Position 471: 0.0004688856711976099
Position 2576: 0.0003701491480729868
Position 2512: 0.0003449214820799251
Position 93: 0.000333790882167271
Position 1296: 0.00032732866541369896
Position 4301: 0.00031984392905587167
Position 308: 0.00018726928531199256
Position 3215: 0.00018581870434532125
Position 1463: 0.00016772289478569362
Position 2548: 0.0001534119911217885
Position 121: 0.00014042702874902087
Position 314: 0.00012737656068525225
Position 4066: 0.00010466775121855323
Position 1477: 0.00010290127037499111
Position 2440: 9.82520109278773e-05
Position 468: 9.576786488765834e-05
Position 1041: 9.530725262924397e-05
Position 4025: 9.045695988703268e-05
Position 1693: 8.158007825183809e-05
Position 711: 8.093578610898494e-05
Position 2758: 7.685346543145564e-05
Position 2330: 4.587194279061225e-05
Position 431: 4.082690313910769e-05
Position 65: 2.98006486670197e-05
Position 4306: 2.1029116688117757e-05
Position 1065: 1.189442598919878e-05
Position 461: 1.1537784204987097e-05
