Gene = Rita1
index = 903
Annotated 5SS: [ 316  610 1212]
Annotated 3SS: [ 514  859 2626]
SMsplice 5SS: [ 316 1212]
SMsplice 3SS: [ 859 2445]
top_k =  1000
Partition function (log Z): -4.779262388384856

Sorted 5' Splice Sites (High to Low Probability):
Position 1212: 0.7155460738310764
Position 316: 0.6350042658042472
Position 201: 0.3172665548118943
Position 610: 0.1803959804039259
Position 3237: 0.13338062420164304
Position 1148: 0.11771646737395852
Position 643: 0.09383070120524373
Position 189: 0.038929310959392664
Position 1467: 0.029509524185818446
Position 2524: 0.023573617789009793
Position 1217: 0.017455999720700582
Position 988: 0.010073926755271396
Position 2563: 0.008714590440629711
Position 2520: 0.006348309502880228
Position 47: 0.006010206556040679
Position 715: 0.004121947729264542
Position 1369: 0.003747966908551693
Position 1841: 0.003330839292431169
Position 1088: 0.0028363240969472075
Position 3116: 0.0026282342847607307
Position 1616: 0.0025174872705430074
Position 1503: 0.002041175704453478
Position 1009: 0.0014256221686557375
Position 2507: 0.0014254061676740907
Position 971: 0.00109569876108614
Position 382: 0.0007533000526801972
Position 909: 0.0006881749845407028
Position 1078: 0.0004373975595695979
Position 3168: 0.00042006475782957936
Position 1421: 0.0003849252810984878
Position 293: 0.00030642225912831943
Position 582: 0.0002570509849485733
Position 1499: 0.00022573663348660885
Position 732: 0.0001990417036245878
Position 633: 0.00019419522899829006
Position 268: 0.0001714964820854618
Position 603: 0.00016493229976759436
Position 10: 0.00015805652745934913
Position 102: 0.00015187186105166731
Position 921: 0.00012089134092401984
Position 3049: 0.00011531622034753004
Position 2568: 0.00011379972467245326
Position 1611: 0.00010016747301087086
Position 2495: 9.640550310984358e-05
Position 699: 7.654908018341218e-05
Position 335: 7.193114425613074e-05
Position 257: 7.161964634559248e-05
Position 877: 6.212212702721917e-05
Position 2835: 6.081361900755093e-05
Position 647: 5.749596522588575e-05
Position 438: 5.564719287842062e-05
Position 753: 3.7544465457059036e-05
Position 575: 3.491780412797158e-05
Position 17: 3.3340413576291773e-05
Position 57: 2.8417442415006986e-05
Position 563: 2.196709129119545e-05
Position 83: 1.8953821173719e-05
Position 445: 1.8846778235306953e-05
Position 735: 1.5363191175197267e-05
Position 26: 1.39486404145286e-05
Position 717: 1.3103464972052805e-05
Position 424: 1.0114810892299192e-05
Position 166: 9.216963213253627e-06
Position 205: 7.413771466346398e-06
Position 881: 4.7876936720351305e-06
Position 413: 3.854844009205853e-06
Position 678: 3.834039609904394e-06
Position 55: 3.60795319135585e-06
Position 1896: 3.1414504784409667e-06
Position 1966: 2.6752803690446677e-06
Position 1911: 2.610658724425879e-06
Position 2196: 2.5910747620329523e-06
Position 1633: 2.5122790228945278e-06
Position 2114: 2.461760195334166e-06
Position 63: 2.278252944422592e-06
Position 1605: 2.0677402626639293e-06
Position 1904: 1.9574552456309553e-06
Position 1865: 1.947971184085851e-06
Position 1579: 1.8880970299582677e-06
Position 1492: 1.8510887441233254e-06
Position 1644: 1.7637385195797917e-06
Position 1671: 1.6898388042086518e-06
Position 373: 1.5888187897698132e-06
Position 568: 1.3202755327642298e-06
Position 680: 1.2850276725113379e-06
