Gene = Alkal1
index = 110
Annotated 5SS: [  297 29409 30303 31899]
Annotated 3SS: [29354 30221 31821 35051]
SMsplice 5SS: [  297 16893 18038 30303]
SMsplice 3SS: [16780 17830 30221 35051]
top_k =  1000
Partition function (log Z): -19.868680324409677

Sorted 5' Splice Sites (High to Low Probability):
Position 297: 0.9966238772427146
Position 2427: 0.4661490347137055
Position 838: 0.2611927803817301
Position 4954: 0.17890550036605735
Position 4704: 0.07949797403429576
Position 7857: 0.07450921216122765
Position 3425: 0.038568004507861985
Position 10817: 0.025318654284624244
Position 4035: 0.020878233150349194
Position 1561: 0.018790741335576417
Position 1643: 0.012831183956840977
Position 2027: 0.01282430788397843
Position 3579: 0.0079134350258051
Position 4895: 0.00790597777925392
Position 1352: 0.005985875192877238
Position 3119: 0.00518597915839032
Position 8584: 0.004833402694145618
Position 620: 0.004396655062384129
Position 4116: 0.0038938517293880255
Position 8356: 0.0027088314173979015
Position 3009: 0.002157448868788707
Position 953: 0.002005909669213155
Position 4461: 0.001911020917655524
Position 1692: 0.0010199798026205979
Position 974: 0.0010076930700428663
Position 2266: 0.0007725937206475211
Position 1812: 0.0005658863501159483
Position 4567: 0.0004572873504344604
Position 1961: 0.0004451879079807024
Position 7200: 0.00044433944363250945
Position 1993: 0.00031121170165559554
Position 925: 0.0002319187359815672
Position 3150: 0.0002295302893627949
Position 968: 0.00022877084859136386
Position 306: 0.00020035445492600003
Position 4511: 0.0001876396412638096
Position 3470: 0.0001736632803817628
Position 448: 0.00015540008090616448
Position 668: 9.353818963647774e-05
Position 2766: 7.854180785373227e-05
Position 140: 5.878669340716421e-05
Position 3704: 5.260916222343561e-05
Position 3881: 4.856189420400019e-05
Position 4008: 4.790430018548153e-05
Position 2842: 4.181004321824307e-05
Position 1730: 3.8276986857177246e-05
Position 1757: 3.7671342891543134e-05
Position 759: 3.4996838608969446e-05
Position 385: 3.1236109234526024e-05
Position 542: 2.8555914289566697e-05
Position 640: 2.4099090236458064e-05
Position 1624: 2.3264335024127557e-05
Position 221: 1.5897711069738142e-05
Position 800: 1.5594139762581855e-05
Position 142: 1.5006935229480378e-05
Position 1546: 1.2818698141304707e-05
Position 115: 1.2394899838214939e-05
Position 1877: 1.0259637910397727e-05
Position 1864: 9.640722139662615e-06
Position 658: 6.440060170839014e-06
Position 2521: 5.363495257771938e-06
Position 172: 4.498793121564537e-06
Position 2858: 3.815856491447384e-06
Position 397: 3.7859230252582324e-06
Position 64: 3.1616503633906264e-06
Position 13: 2.8583381913820457e-06
Position 467: 2.1449495463660075e-06
Position 897: 2.1281499872131924e-06
Position 698: 1.949595709228744e-06
Position 407: 1.8609201092222367e-06
Position 219: 1.8545409416692329e-06
Position 847: 1.641558643640272e-06
Position 624: 1.60917393371033e-06
Position 1000: 1.2860165723827067e-06
Position 334: 1.1737182692984145e-06
Position 535: 1.0595162049298642e-06
Position 472: 8.605948299312436e-07
Position 895: 7.368800826972748e-07
Position 366: 7.303242596141047e-07
Position 254: 6.702268809740617e-07
Position 1285: 5.953784499554061e-07
Position 583: 5.798438046388864e-07
Position 36: 5.289017043879962e-07
Position 927: 5.28833034632867e-07
Position 1583: 5.238708293418828e-07
Position 795: 4.797415368124736e-07
Position 491: 3.141224792884434e-07
Position 47: 2.3256853582822268e-07
Position 1319: 1.634148176491701e-07
Position 2288: 8.965042279530175e-08
Position 2190: 6.894284512652952e-08
Position 2199: 1.1759992375907577e-08
Position 1054: 1.0636645009431567e-08
Position 569: 2.7121911508560772e-09
Position 1113: 3.0385652717627727e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2256: 0.22000799544551694
Position 602: 0.18738540832690107
Position 17830: 0.18008364108594885
Position 7739: 0.12184506788684707
Position 11198: 0.11813520178107374
Position 4625: 0.11479226036762416
Position 8494: 0.09617816216122466
Position 4742: 0.08929810225873115
Position 12403: 0.08546505659618106
Position 759: 0.062256928833354375
Position 2365: 0.06152674058972826
Position 6461: 0.059471046309887
Position 10730: 0.05757921766050834
Position 2314: 0.050147485016276305
Position 2058: 0.049397744850565056
Position 4877: 0.03390828056933119
Position 8773: 0.030423870184979638
Position 4850: 0.029738506516586126
Position 1960: 0.024303183004568837
Position 4393: 0.023520418632794103
Position 6444: 0.022587090538751922
Position 3934: 0.021136886784037683
Position 7625: 0.019878041951896977
Position 8924: 0.017366242800497766
Position 8222: 0.016363995712233848
Position 6510: 0.015778233750511277
Position 2334: 0.01408983408528116
Position 1520: 0.01384493473600393
Position 2672: 0.013464885226572802
Position 2187: 0.013013830768022887
Position 3041: 0.012747999867438525
Position 692: 0.012306923652095098
Position 4530: 0.012304227557119879
Position 3365: 0.012228690153199601
Position 1433: 0.011231820734317386
Position 4577: 0.011005950990960172
Position 1455: 0.010899480725623535
Position 7951: 0.009429515604001055
Position 2312: 0.009289718492283466
Position 4802: 0.009173156880089767
Position 2083: 0.008202404540613908
Position 2782: 0.0077097868331040655
Position 2371: 0.007484163462391949
Position 9785: 0.007279581721968813
Position 4777: 0.007192386575962993
Position 6617: 0.007113122573886384
Position 2133: 0.007105266590238589
Position 4745: 0.006661070272764979
Position 3953: 0.006133522098939901
Position 3335: 0.006092655546679343
Position 7258: 0.00589502454246499
Position 3389: 0.0054939261987853785
Position 8836: 0.005464592736741636
Position 4831: 0.005021710570693786
Position 8018: 0.005016944075175543
Position 6960: 0.004999127962645299
Position 4799: 0.004832504107358755
Position 11315: 0.004682409301376023
Position 633: 0.004646417666130856
Position 2310: 0.004618182145414245
Position 3425: 0.004585708121699592
Position 8333: 0.004475587510432716
Position 11098: 0.0043867851836881955
Position 3229: 0.004349820865956227
Position 6943: 0.004327852572756135
Position 1247: 0.0042648942188089805
Position 10845: 0.004225703710357125
Position 9408: 0.0041158582847673035
Position 696: 0.004076298069669298
Position 3281: 0.004061977888553121
Position 710: 0.003931144671339895
Position 3642: 0.0037565263364463274
Position 3306: 0.0036985167768885142
Position 2899: 0.0035432301901840795
Position 2308: 0.003510479472803864
Position 5016: 0.0034702968896876316
Position 9823: 0.003100744631743037
Position 5753: 0.0030495495606456613
Position 2421: 0.0029236252015958698
Position 2150: 0.0028731302652620287
Position 8587: 0.00285554097042302
Position 472: 0.0027396780948370707
Position 1642: 0.00269474508944881
Position 10232: 0.0025566251028706563
Position 6390: 0.0024276227384044903
Position 2388: 0.0023728697544043898
Position 2265: 0.002224639635704503
Position 11874: 0.002205393013496706
Position 3455: 0.0021259451555752113
Position 800: 0.0020676123132900262
Position 3256: 0.0019508383971228206
Position 4200: 0.0018017282209883468
Position 8399: 0.0015206891417290274
Position 10849: 0.001477329172506945
Position 2204: 0.0013942301743281639
Position 8134: 0.0013830349882728386
Position 5869: 0.0013566239440295676
Position 2184: 0.0013426555260644985
Position 6299: 0.0013277218990038445
Position 4982: 0.0013040772777298299
Position 1244: 0.0012993522660381762
Position 6192: 0.001283814511702922
Position 5088: 0.0012351398331508054
Position 2412: 0.0012308749152264591
Position 7702: 0.001224666812924044
