Gene = Palb2
index = 791
Annotated 5SS: [  227  3273  4024  5898  8690  9310 11893 15677 18638 19697 21002 22265]
Annotated 3SS: [ 3212  3929  4502  8018  9237 11730 15590 18475 19579 20913 22115 25217]
SMsplice 5SS: [  227  3273  7648  7868  8553  9310 11893 19697 21002 22265]
SMsplice 3SS: [ 3212  7584  7738  8372  9237 11730 19579 20913 22115 25217]
top_k =  1000
Partition function (log Z): 2.048363637307131

Sorted 5' Splice Sites (High to Low Probability):
Position 227: 0.9821738202173481
Position 21002: 0.9504177882420087
Position 3273: 0.9356223065087589
Position 19697: 0.9080621698526217
Position 11893: 0.9057097562445688
Position 8553: 0.865996852432425
Position 9310: 0.8444735883048671
Position 22265: 0.7868663899513535
Position 7648: 0.6154829607903965
Position 7868: 0.5877814087332643
Position 4809: 0.45051517282560094
Position 3442: 0.3722803743136522
Position 7987: 0.33707599586301906
Position 10627: 0.31991794692452985
Position 8118: 0.27980184242297795
Position 18638: 0.26181592107249585
Position 7681: 0.25937878005842224
Position 437: 0.2257297223643265
Position 4240: 0.22260372840955978
Position 4024: 0.18974829734454224
Position 15677: 0.17472834891008665
Position 23562: 0.1574494419491483
Position 11272: 0.15471811583803421
Position 4862: 0.11960923735015155
Position 23478: 0.10346064714941723
Position 19716: 0.08250898215189628
Position 23664: 0.07201053498478284
Position 6076: 0.06605271133706331
Position 10139: 0.040415790266963375
Position 22705: 0.04005891992014563
Position 10104: 0.036906479763778505
Position 24520: 0.036789462657236274
Position 8406: 0.03531757332125961
Position 6483: 0.03500768018166822
Position 7893: 0.03085490756172632
Position 8690: 0.027748443494822726
Position 4653: 0.026946202806557542
Position 4416: 0.026863050204372515
Position 10202: 0.024197544965305535
Position 7825: 0.023232013392235216
Position 3425: 0.022760678351653137
Position 5898: 0.019413457477380425
Position 3063: 0.01832918067278454
Position 21284: 0.0179438077780964
Position 945: 0.017802631029453824
Position 9585: 0.016179931676086813
Position 5696: 0.014673601478176037
Position 23550: 0.013211808046879584
Position 3542: 0.013171312527798613
Position 21523: 0.01296609379662504
Position 2599: 0.01270902911626281
Position 9889: 0.012403003846895713
Position 2798: 0.012345949977677432
Position 25364: 0.012112585573789268
Position 25100: 0.009070890677050759
Position 9161: 0.008060276007492026
Position 9717: 0.00799814233545668
Position 1362: 0.007400770981361137
Position 21961: 0.007083148799850978
Position 247: 0.006712729065890877
Position 8224: 0.006627241817681189
Position 699: 0.006071639709235992
Position 6041: 0.005973377534390851
Position 605: 0.005854397649924508
Position 22293: 0.0058520956925776045
Position 24073: 0.005793900254768879
Position 58: 0.005542160385962759
Position 419: 0.0055091034346990185
Position 22221: 0.005340159262801378
Position 22194: 0.005259700775250162
Position 2056: 0.005100847588078065
Position 878: 0.004988054485274073
Position 10097: 0.004267450438077057
Position 10062: 0.004220186696353394
Position 7908: 0.004123823759728985
Position 23890: 0.0040342872735212145
Position 5481: 0.003820383777731736
Position 24500: 0.0035341797089832342
Position 8095: 0.0033871279551015766
Position 1190: 0.003380780147497414
Position 22298: 0.002834776676064687
Position 23884: 0.0026901746368590525
Position 235: 0.0025482305913510756
Position 24679: 0.002523555190587634
Position 4614: 0.0023073241606288227
Position 3632: 0.0020450692678413893
Position 3862: 0.0019426895594018621
Position 3739: 0.0019023039724764142
Position 3025: 0.0018373730917249085
Position 8229: 0.001819034264166641
Position 3469: 0.00175022666544651
Position 21219: 0.001687529673814444
Position 3516: 0.001497621300310302
Position 3302: 0.0014253490781917667
Position 356: 0.001410569398707006
Position 3877: 0.0013837356136004557
Position 421: 0.0013727593373925875
Position 4428: 0.0011153684114113768
Position 1613: 0.0010854678677445504
Position 3689: 0.000968827700497245
Position 4389: 0.0009480381109690582
Position 23545: 0.0009167461965549794
Position 24716: 0.0009049237448965511
Position 7967: 0.0009037352217164948
Position 533: 0.0008636920656332765
Position 7879: 0.0008361006032538702
Position 3982: 0.0008308702147195588
Position 24348: 0.0007263691695983425
Position 8493: 0.0006590909436514224
Position 2140: 0.0006138341289293419
Position 3325: 0.0005369106598141326
Position 8580: 0.0005291194030813913
Position 288: 0.0005165019220759574
Position 9067: 0.0004945521355330804
Position 2515: 0.0004824464677888956
Position 4432: 0.0004677831607030994
Position 3620: 0.0004546040018373854
Position 2418: 0.00045136788440778566
Position 7942: 0.0004271820516896938
Position 3152: 0.00038916034109466536
Position 8817: 0.0003782081331257381
Position 9849: 0.00036282660094370806
Position 1736: 0.0003523805566809929
Position 1932: 0.0003490765685703184
Position 9291: 0.00034531114371144384
Position 3565: 0.0003426262045015865
Position 67: 0.00033851043436947375
Position 9087: 0.0003374974623018852
Position 3836: 0.00030088017995187394
Position 2661: 0.00029474829484057557
Position 2954: 0.0002869373429375194
Position 23566: 0.0002811232615624625
Position 993: 0.00027592662105629007
Position 3287: 0.0002579476529847233
Position 23482: 0.00023348865545603508
Position 52: 0.00022976736209920703
Position 4053: 0.00022495479497167483
Position 3277: 0.00022049287215762073
Position 25359: 0.00020549955617161171
Position 541: 0.00019179583100984934
Position 8612: 0.00018411987486067512
Position 565: 0.0001651793688918006
Position 22660: 0.00016034429772195555
Position 9177: 0.00015655330585183036
Position 22134: 0.00015510787967918182
Position 31: 0.00013369754336912517
