Gene = Sh3bp2
index = 974
Annotated 5SS: [   56 25855 26994 29729 30167 31134 31518 33804 34607 34899 35262 35817]
Annotated 3SS: [25714 26890 29610 30095 31044 31448 33154 34497 34842 35179 35756 36512]
SMsplice 5SS: [   56  4690 13697 23951 25855 26994 29740 30167 31134 31518 33351 33804
 34607 34899 35262]
SMsplice 3SS: [ 4598 13625 23894 25714 26890 29610 30095 31044 31401 33154 33713 34497
 34842 35179 36512]
top_k =  1000
Partition function (log Z): -19.346655282712323

Sorted 5' Splice Sites (High to Low Probability):
Position 4690: 0.902017168932983
Position 56: 0.8591881014883924
Position 6853: 0.439458171058274
Position 13697: 0.4268271799089686
Position 11119: 0.404587456513247
Position 3850: 0.40036765058422263
Position 2841: 0.26427708296793784
Position 10551: 0.2065714762247263
Position 4952: 0.19849696567952077
Position 10449: 0.11566205423730588
Position 157: 0.11165891050232377
Position 6244: 0.09217922244427582
Position 910: 0.07253913271715005
Position 4920: 0.05023149415133808
Position 1079: 0.04443839732242331
Position 6916: 0.039246370580083526
Position 5154: 0.03733327227707475
Position 1047: 0.03457587781398011
Position 3915: 0.03341093211762689
Position 1480: 0.032993414876674454
Position 5352: 0.025918262106243928
Position 4964: 0.01708089195281074
Position 2858: 0.01605329132209159
Position 892: 0.015354427153385758
Position 7127: 0.0137666003326021
Position 16146: 0.012187204998687425
Position 483: 0.012033378168369043
Position 4715: 0.011164850690320983
Position 3154: 0.01082991400497218
Position 4073: 0.009417092998934869
Position 2702: 0.009179774990195476
Position 7048: 0.008976467858652266
Position 10234: 0.008678208988954987
Position 152: 0.007033657281627115
Position 5836: 0.006484754886392383
Position 11358: 0.0056935001706354856
Position 831: 0.005447383872295246
Position 1674: 0.005126197349933888
Position 2942: 0.0043493811205522455
Position 6235: 0.0039518638091898825
Position 11574: 0.0034968448741886293
Position 7138: 0.003316813018216869
Position 965: 0.0029331052328655256
Position 7019: 0.002492666856637218
Position 7134: 0.0022179071820461376
Position 3938: 0.0013092457777809394
Position 1921: 0.0011568992995523973
Position 414: 0.0010056048866911328
Position 3510: 0.0006531551957971583
Position 698: 0.0005789943406370714
Position 1567: 0.00040228837565322765
Position 676: 0.0003495911526986032
Position 2401: 0.0003485515021205588
Position 2442: 0.00029878744927830907
Position 5897: 0.00027481953231005485
Position 2380: 0.00023995182502838837
Position 450: 0.00021712211090176811
Position 129: 0.00018516218628435952
Position 2372: 0.00016893913687817346
Position 5362: 0.00014402971232722287
Position 438: 0.00013095973381648974
Position 142: 0.00010978623502378076
Position 369: 0.00010835961095834385
Position 2141: 8.507951088295618e-05
Position 2204: 8.02017846932747e-05
Position 2209: 7.689088160658857e-05
Position 1713: 7.378510694195174e-05
