Gene = Coa4
index = 279
Annotated 5SS: [93]
Annotated 3SS: [1971]
SMsplice 5SS: [93]
SMsplice 3SS: [1971]
top_k =  1000
Partition function (log Z): -6.8851560491961585

Sorted 5' Splice Sites (High to Low Probability):
Position 93: 0.8195649211783771
Position 497: 0.12568824955307611
Position 1876: 0.12434577026607435
Position 166: 0.1026595347229821
Position 2074: 0.03156680993240476
Position 1660: 0.008999141755048257
Position 759: 0.008150419795226304
Position 850: 0.006302258210095811
Position 1155: 0.006014517988831755
Position 2024: 0.0038943026745908056
Position 1499: 0.00195959788899331
Position 2172: 0.0016219693374800342
Position 1792: 0.001618907195574542
Position 773: 0.0015370366725081365
Position 775: 0.0010563565076533185
Position 1850: 0.0010508138280149175
Position 130: 0.0009909536126152104
Position 190: 0.0009837331821028095
Position 1098: 0.0008393287826993835
Position 2419: 0.0008272004926647713
Position 2110: 0.0008208909167764556
Position 1558: 0.0007643253085691226
Position 2153: 0.0006717501951856789
Position 2319: 0.00044335024409732565
Position 747: 0.0004297482296428997
Position 145: 0.00042386592078815215
Position 362: 0.000401101252876517
Position 2082: 0.0003990752938799128
Position 1225: 0.00039523827080393804
Position 320: 0.00038505253185270737
Position 502: 0.0003471859692771139
Position 1304: 0.00033211816127865396
Position 717: 0.0003087085330550956
Position 942: 0.00028841143874384624
Position 1894: 0.0002649827489643404
Position 1190: 0.00026141955158476954
Position 911: 0.00021805866757139544
Position 914: 0.00021592671760822183
Position 1113: 0.0002152646774765226
Position 845: 0.0002126513155916451
Position 1206: 0.00020684707004867424
Position 389: 0.00019910728200808322
Position 1578: 0.00018796438009591253
Position 806: 0.00018093675614002573
Position 391: 0.00016772412168222995
Position 831: 0.00014959750891355622
Position 387: 0.0001392068612548936
Position 393: 0.00011767087377991714
Position 862: 0.00011109488381687136
Position 2990: 0.00010362769845742941
Position 353: 9.84953626187115e-05
Position 395: 9.114354642512627e-05
Position 1942: 8.314162065449271e-05
Position 902: 7.461973413025532e-05
Position 1631: 7.12188785827102e-05
Position 2267: 7.104922605714283e-05
Position 706: 6.753928235698442e-05
Position 304: 6.45561986289138e-05
Position 397: 6.453724042001901e-05
Position 452: 6.150952516374995e-05
Position 1110: 5.593181230233292e-05
Position 2178: 5.243315583865545e-05
Position 2102: 4.8801174064237954e-05
Position 399: 4.483967898671432e-05
Position 401: 4.079586551952958e-05
Position 491: 4.006227356177613e-05
Position 403: 3.893312469041767e-05
Position 1532: 3.8921697548059816e-05
Position 1797: 3.398971164576181e-05
Position 1092: 3.348032965711668e-05
Position 405: 2.961409514542285e-05
Position 1356: 2.5950424523294434e-05
Position 663: 2.2748863923566383e-05
Position 898: 2.208351558662788e-05
Position 1580: 2.1567099619624536e-05
Position 645: 2.127758362346981e-05
Position 654: 2.078547020832269e-05
Position 1095: 1.7501697607864965e-05
Position 1150: 1.7077206842088063e-05
Position 407: 1.623842643149304e-05
Position 796: 1.3863551763802373e-05
Position 1908: 1.3822196199542702e-05
Position 1284: 1.3728454096170212e-05
Position 665: 1.3664215943928861e-05
Position 2385: 1.2810629376372537e-05
Position 925: 1.2715461774888888e-05
Position 1787: 1.2557376222190337e-05
Position 245: 1.2384194963827245e-05
Position 516: 1.2105532734040826e-05
Position 532: 1.1752644636193242e-05
Position 1569: 1.124377576982051e-05
Position 886: 1.115189993266444e-05
Position 1545: 9.225471146692082e-06
Position 987: 6.757260009107733e-06
Position 417: 1.2849826547601733e-06
Position 214: 1.2704651634549506e-06
Position 409: 9.654482387781744e-07
Position 411: 8.251501303929929e-07
Position 339: 4.4656523074955594e-07
Position 26: 4.212004088790817e-07
Position 413: 3.983018735354808e-07
Position 51: 2.82995629153021e-07
Position 978: 2.684599785525838e-07
Position 2140: 2.5366398037018156e-07
Position 966: 2.166183017748205e-07
Position 527: 1.8376260217680321e-07
Position 561: 1.7176735771054577e-07
Position 281: 1.0236513452890274e-07
Position 483: 4.779277463183334e-08
Position 2630: 2.7452120074799248e-08
Position 415: 9.516721065095983e-09
Position 426: 7.996214859162843e-09
Position 2398: 2.356322502132178e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1971: 0.9186448135165888
Position 1775: 0.07822930991448347
Position 654: 0.052007698923724664
Position 1791: 0.037760868047318354
Position 301: 0.03399250550970983
Position 2797: 0.015146913550323564
Position 1012: 0.012243051169280912
Position 1384: 0.01150155454982024
Position 1659: 0.009543851321432541
Position 275: 0.009487531754337504
Position 2580: 0.007355785976810098
Position 1514: 0.005716727631178079
Position 1663: 0.004772718949723133
Position 3193: 0.004554050246849882
Position 228: 0.004102849983508167
Position 451: 0.003997907548961718
Position 2499: 0.0038831381241118614
Position 2547: 0.0036407490046091286
Position 2801: 0.0033908780250785286
Position 2267: 0.003272691338816312
Position 2943: 0.0031207763734442864
Position 494: 0.0022858158951652315
Position 1994: 0.0022516328257599053
Position 1491: 0.0019396615983493027
Position 2886: 0.0019194760982366049
Position 1359: 0.0018220676720642596
Position 2102: 0.0017735386230044354
Position 1721: 0.0017561926531165467
Position 1919: 0.0016394735892576607
Position 2003: 0.0010299954566463604
Position 2745: 0.0009363305550331623
Position 2361: 0.0008243241374654368
Position 895: 0.0008201698697137999
Position 1545: 0.0007978260602899574
Position 3012: 0.00076153796926188
Position 2990: 0.0007065340384773668
Position 1037: 0.0007048852530460956
Position 1724: 0.0006812149885032946
Position 3149: 0.0006252379233121695
Position 304: 0.0006009827895417621
Position 2709: 0.0005620075458185327
Position 2087: 0.0005539592022542131
Position 1473: 0.0005350123275425535
Position 786: 0.0005211945393847923
Position 1822: 0.0004833310866649012
Position 1458: 0.00047171049876529303
Position 3110: 0.00046914546786765474
Position 231: 0.0004310451406445657
Position 1057: 0.0004098135761011625
Position 2349: 0.00040928216430949035
Position 3164: 0.0003230365641597324
Position 561: 0.0002963210000859974
Position 1859: 0.0002778748561630772
Position 1578: 0.00027501282040440504
Position 2029: 0.00023429265002419342
Position 2922: 0.00021802235132683886
Position 2212: 0.00019904530412387475
Position 2128: 0.00019820892081381624
Position 1397: 0.00019735118580463038
Position 1688: 0.00018767299108857352
Position 2423: 0.00017507844980072846
Position 742: 0.00016803668627090836
Position 249: 0.00014384085000272942
Position 1206: 0.00013905968427279242
Position 2970: 0.0001380664016441638
Position 3026: 0.0001378242174039428
Position 1981: 0.00013192779528849172
Position 459: 0.00012628946551575498
Position 1601: 0.0001166898361602989
Position 1740: 0.0001161636015247104
Position 311: 0.00010011208241757197
Position 257: 9.94776886217907e-05
Position 3050: 9.107679901070154e-05
Position 339: 7.331006333592692e-05
