Gene = A630095N17Rik
index = 79
Annotated 5SS: [ 116 8797]
Annotated 3SS: [ 8659 11516]
SMsplice 5SS: [ 116 8797]
SMsplice 3SS: [ 8659 11516]
top_k =  1000
Partition function (log Z): -9.205952567110122

Sorted 5' Splice Sites (High to Low Probability):
Position 116: 0.9887745641788745
Position 8797: 0.3669307739625142
Position 8893: 0.33381994407621135
Position 9172: 0.14044123626690885
Position 6775: 0.12694557706406948
Position 6652: 0.11723002879050194
Position 824: 0.11521553052318957
Position 1662: 0.10855338346377108
Position 8468: 0.06605259221751818
Position 6656: 0.0536771574876197
Position 9437: 0.05191156004242016
Position 6238: 0.03143969326567122
Position 4080: 0.030626902070607066
Position 6924: 0.02284475856884216
Position 7381: 0.019576276815128767
Position 1212: 0.01955246680060416
Position 7552: 0.016268192633596627
Position 7345: 0.015324248658269772
Position 7929: 0.014452347228428825
Position 11168: 0.013968316302312584
Position 3860: 0.013647572314905038
Position 10788: 0.010354989144038653
Position 4253: 0.0083877417455907
Position 6800: 0.007291351093097355
Position 2386: 0.006924715640194824
Position 7103: 0.006292567431160902
Position 8765: 0.006218029220794484
Position 9466: 0.0058654465708798086
Position 8713: 0.004140719595698858
Position 1451: 0.0037328235922140136
Position 6720: 0.0035518730865971506
Position 11190: 0.0034656495906585966
Position 437: 0.0028515810706897663
Position 1326: 0.0027227887281015433
Position 7004: 0.0026836330396270928
Position 7872: 0.0024975836890773866
Position 7720: 0.0024577514791643555
Position 1043: 0.002049293938031992
Position 7831: 0.0018022550734392993
Position 7702: 0.0013105546756710831
Position 524: 0.00124724158621513
Position 6633: 0.0010514374251025468
Position 497: 0.001021850852992989
Position 10097: 0.0009446081020298572
Position 9700: 0.0008726454927891283
Position 11329: 0.0008274538618164224
Position 960: 0.0007869844268663665
Position 10800: 0.0007147540236030983
Position 998: 0.000673475444727959
Position 5296: 0.00043288649869696903
Position 74: 0.0004201711630799957
Position 3834: 0.0003091381621162605
Position 4257: 0.000308867363594231
Position 3308: 0.00029711870423803483
Position 4933: 0.00015214748386527436
Position 1121: 0.00014662825676774326
Position 479: 0.00013567932361736038
Position 1196: 9.830962548201515e-05
Position 1313: 7.416048364084204e-05
Position 791: 6.541545824198948e-05
Position 1493: 6.414819190354372e-05
Position 1273: 6.198125983998688e-05
Position 360: 5.3475583394442285e-05
Position 1449: 3.5166676592675795e-05
Position 1277: 2.989654824846433e-05
Position 273: 2.8396159541317475e-05
Position 1396: 2.825770747928357e-05
Position 303: 2.348364025290528e-05
Position 166: 2.345841852647642e-05
Position 1079: 2.223660833750935e-05
Position 507: 2.0808543857310103e-05
Position 101: 1.5936358083683884e-05
Position 3576: 1.574489631903607e-05
Position 139: 1.5639265883819716e-05
Position 2321: 1.4999615270084686e-05
Position 3590: 1.3345393118131372e-05
Position 2732: 1.2707998629938739e-05
Position 1589: 1.0269899525742952e-05
Position 2863: 1.0047959386076347e-05
Position 1244: 9.104734475289576e-06
Position 141: 6.349147440082455e-06
Position 1788: 4.399375963559455e-06
Position 175: 4.083381620483843e-06
Position 198: 2.0688100395522893e-06
Position 2349: 1.7909994611565795e-06
Position 908: 1.6670428321524056e-06
Position 2306: 1.5954807221256435e-06
Position 130: 1.4235940529446053e-06
Position 195: 1.3111665196431428e-06
Position 2736: 1.1480416035391247e-06
Position 287: 1.0471863587082398e-06
Position 307: 1.0209210818211813e-06
Position 557: 1.0085548880218552e-06
Position 769: 9.289153786108136e-07
Position 368: 7.555650498727777e-07
Position 456: 6.756600092231264e-07
Position 231: 6.748600067259815e-07
Position 884: 6.346038328319463e-07
Position 615: 5.906335728679042e-07
Position 401: 4.6473634297019173e-07
Position 600: 4.2783550814002075e-07
Position 744: 4.09764907203109e-07
Position 890: 1.9761286182743735e-07
Position 3: 1.929072319309219e-07
Position 545: 1.8914749407676865e-07
Position 472: 1.8911402858675196e-07
Position 580: 1.6761556385183802e-07
Position 1022: 1.547355482489724e-07
Position 277: 1.4811703674290213e-07
Position 943: 7.944198612377818e-08
Position 377: 6.341967149303122e-08
Position 305: 4.933930736299966e-08
Position 1227: 4.917865317027969e-08
