Gene = Retreg2
index = 897
Annotated 5SS: [ 343  690 1168 1654 1921 2318 2568 3030]
Annotated 3SS: [ 582 1136 1517 1835 2173 2472 2893 3643]
SMsplice 5SS: [ 343  690 1654 1921 2318 3030 3934]
SMsplice 3SS: [ 582 1517 1835 2173 2893 3643 4044]
top_k =  1000
Partition function (log Z): 3.1397505069325278

Sorted 5' Splice Sites (High to Low Probability):
Position 1654: 0.9393213354204247
Position 2318: 0.9215608710084802
Position 3030: 0.9073755820606867
Position 690: 0.8984501001878907
Position 1921: 0.8285562991354238
Position 343: 0.750969748988847
Position 3934: 0.48202436715245833
Position 2568: 0.44623966120738057
Position 96: 0.26480858176999816
Position 1168: 0.1400461340565808
Position 1357: 0.055026217271515424
Position 4228: 0.04677867763841405
Position 1419: 0.04189008319218165
Position 1300: 0.03402272209019488
Position 3321: 0.029276538450876705
Position 3668: 0.026855963062937152
Position 159: 0.021642739630031743
Position 74: 0.021335798048519927
Position 459: 0.017593650644384652
Position 491: 0.014873248774976148
Position 3746: 0.014757628813522087
Position 3344: 0.013573208670602951
Position 2573: 0.010956961544447311
Position 2619: 0.010238442323283534
Position 3328: 0.007378687461796288
Position 1433: 0.005291098581695974
Position 4258: 0.005206667351489645
Position 792: 0.005035583367531344
Position 885: 0.004158390860365253
Position 2052: 0.0029046945946949528
Position 716: 0.0025181926927953326
Position 444: 0.0023819088264315775
Position 4442: 0.00218829923626319
Position 2380: 0.0017738900926434157
Position 1272: 0.001716772588139901
Position 2637: 0.0014108589391637525
Position 2008: 0.0012961221589010614
Position 3941: 0.0012808786709217288
Position 311: 0.0011792860340437226
Position 2180: 0.0010174599879075321
Position 959: 0.0008915400761293363
Position 4808: 0.0008314733523654017
Position 3844: 0.0007944166530197565
Position 406: 0.0007861605202403793
Position 284: 0.0007692025289348058
Position 90: 0.0006911790491295424
Position 257: 0.0006624025819240529
Position 2368: 0.0005856812433638278
Position 963: 0.0005682943386804146
Position 2987: 0.0005339364469784448
Position 2134: 0.00048275729793026596
Position 2098: 0.00043701901029778717
Position 3566: 0.0004280619262973286
Position 2530: 0.0004112641233628538
Position 1208: 0.00039709511330157416
Position 1324: 0.0003883734634564601
Position 3384: 0.00038060462844176953
Position 111: 0.0003689702811917704
Position 3315: 0.00034557312409547636
Position 1369: 0.00031179305061483403
Position 4186: 0.0003106981934526864
Position 1962: 0.0003106958516742549
Position 2614: 0.00030531100188844253
Position 4107: 0.00028724949965038503
Position 1899: 0.0002579041721570338
Position 2627: 0.00024119041974561133
Position 3902: 0.00021436607908183905
Position 4233: 0.00020129396800230983
Position 1364: 0.0001941135093266368
Position 583: 0.00018300122843178506
Position 2565: 0.00015656738236479264
Position 1720: 0.0001439430192397542
Position 3325: 0.0001432538107998367
Position 1977: 0.00014189026921981426
Position 2546: 0.00013008702674482324
Position 475: 0.00011728694784166586
Position 1925: 0.00011658359539847749
Position 2170: 0.00011545762345577683
Position 2818: 0.00011523352607439402
Position 2979: 0.00011312706834560385
Position 1957: 0.0001078282414324876
Position 4668: 0.00010401081723904638
Position 1917: 0.00010078419834909304
Position 2153: 9.746014425104898e-05
Position 428: 7.58303434486431e-05
Position 483: 7.267460251867521e-05
