Gene = Ate1
index = 147
Annotated 5SS: [   225   3476   5819   8770  10574  12099  14887  37898  52325  55450
 101133]
Annotated 3SS: [  3411   5755   8665  10321  11880  14757  37864  52142  55349 101011
 124843]
SMsplice 5SS: [   225   3476   5819   8770  10574  12099  43990  52325  55450  70208
  73282  79302  80940  87922 101133 114296 123786]
SMsplice 3SS: [  3300   5755   8665  10321  11880  43891  52142  55349  70083  73175
  79202  80845  87821 101011 114207 123510 124843]
top_k =  1000
Partition function (log Z): -52.22407281722573

Sorted 5' Splice Sites (High to Low Probability):
Position 8770: 0.9751002594303056
Position 3476: 0.8354387185325637
Position 225: 0.8233268269878666
Position 10574: 0.6710020100024963
Position 5819: 0.6289450063429508
Position 12099: 0.5265628758971179
Position 14887: 0.5087705593428121
Position 9756: 0.47055453486601023
Position 11995: 0.4154761918912521
Position 8970: 0.31299564316216316
Position 15859: 0.21998163565400933
Position 4966: 0.21598593717520514
Position 937: 0.1602781763664675
Position 11654: 0.13964650101660878
Position 8966: 0.13549877213676426
Position 450: 0.13367561071446943
Position 10361: 0.09989100132360813
Position 5128: 0.08848838714434772
Position 13664: 0.07978395280488182
Position 15160: 0.07209512186282031
Position 8955: 0.06584888724413934
Position 7470: 0.06571612801129585
Position 2085: 0.06234478328560943
Position 8002: 0.054846171321618065
Position 14368: 0.053650392362660886
Position 20359: 0.047212733170188405
Position 14878: 0.045592622877202
Position 3067: 0.04486634142144803
Position 9105: 0.04096697635745415
Position 5168: 0.0400685660879005
Position 14339: 0.03725974305914089
Position 1798: 0.033645320712794295
Position 1510: 0.029829474523966157
Position 1934: 0.027245765980377958
Position 10529: 0.026931627597873663
Position 2569: 0.026882328919669275
Position 9684: 0.020013884152904855
Position 790: 0.019862462240455424
Position 3933: 0.019244002411113115
Position 264: 0.016223874162540775
Position 6670: 0.01605541127597953
Position 6978: 0.014279013173131896
Position 5278: 0.01341159652722136
Position 14519: 0.01322677070992126
Position 9789: 0.012997549721478955
Position 2955: 0.012970593702441526
Position 5667: 0.012372232244261708
Position 9026: 0.011892563563145499
Position 10679: 0.011054446408266552
Position 18377: 0.011006212444062684
Position 5598: 0.009866724397068073
Position 2888: 0.009489146541216882
Position 5684: 0.009287516168284753
Position 841: 0.009146573358199569
Position 11191: 0.009137910557916315
Position 2499: 0.007352255522071328
Position 2433: 0.007292407012060239
Position 2062: 0.00674068050877999
Position 3947: 0.005920603769034175
Position 67: 0.005870400630390282
Position 6103: 0.005733579934003323
Position 17857: 0.00516830536935866
Position 5046: 0.005142776751702367
Position 8764: 0.004738269301106958
Position 10579: 0.004631682614468278
Position 7887: 0.004531415581360227
Position 500: 0.004493182004528499
Position 10415: 0.004158477131212548
Position 2599: 0.003813393572784344
Position 9305: 0.0031941912626641585
Position 3481: 0.0028441534774790163
Position 4057: 0.002635321908138228
Position 10463: 0.0024809063854744243
Position 16248: 0.0022832751656232542
Position 10395: 0.002282699637182151
Position 17876: 0.0021523973221805447
Position 1786: 0.0020749076791042246
Position 12092: 0.0018994789878548355
Position 11151: 0.0017789985351090113
Position 10619: 0.001766715876368112
Position 9281: 0.0016651689605054181
