Gene = Nkpd1
index = 752
Annotated 5SS: [ 129  984 2414 4228]
Annotated 3SS: [ 864 1963 4095 5132]
SMsplice 5SS: [ 129  984 4228]
SMsplice 3SS: [ 864 4095 5132]
top_k =  1000
Partition function (log Z): 2.0194075644391747

Sorted 5' Splice Sites (High to Low Probability):
Position 984: 0.9973911496251664
Position 129: 0.958928304710885
Position 4228: 0.6224596576290139
Position 4170: 0.21694255638881238
Position 6180: 0.18283708483213446
Position 6101: 0.11969624867411599
Position 4477: 0.08978101173909461
Position 5326: 0.08974985853598316
Position 5291: 0.065747812028308
Position 5985: 0.046997038365160004
Position 4419: 0.043541866860738326
Position 4232: 0.04231908964076167
Position 133: 0.03925552503230961
Position 5204: 0.038720786336988396
Position 2414: 0.0259040636889885
Position 1213: 0.0209400638381983
Position 2776: 0.01889144135835793
Position 5718: 0.015022540467732156
Position 1306: 0.013177106907605407
Position 5756: 0.012682332464393877
Position 2785: 0.012131851866781387
Position 2798: 0.011780427366168286
Position 2183: 0.011426201107023795
Position 3186: 0.011114251807856617
Position 1508: 0.010371970994850346
Position 5360: 0.009910985383364613
Position 3950: 0.008277735052867333
Position 795: 0.006959256530841622
Position 3695: 0.006458363712351669
Position 4251: 0.006366329599737065
Position 5160: 0.006267419293453401
Position 3207: 0.004758075384999496
Position 2925: 0.003731538668456455
Position 4255: 0.0030722140746289885
Position 402: 0.0030654220564267243
Position 5219: 0.0029299765272776876
Position 2902: 0.002834949583461848
Position 3553: 0.002774512900853659
Position 2718: 0.0027314566047452714
Position 6316: 0.002517189273604824
Position 3720: 0.002364977107092007
Position 1522: 0.0021545827308460243
Position 6264: 0.001978298061761578
Position 418: 0.0019478588586760422
Position 2281: 0.001510725622763809
Position 2188: 0.0015090168448756223
Position 5373: 0.00141928361337272
Position 1006: 0.0012733021877479244
Position 1973: 0.0012645843727855685
Position 1029: 0.0011980781375208812
Position 5840: 0.0010887671460283325
Position 3538: 0.0009590858905454668
Position 2825: 0.0008991788504669356
Position 1491: 0.0008290086800532287
Position 279: 0.0007646849754530491
Position 2069: 0.0007446861761961111
Position 215: 0.0006945971624061435
Position 3452: 0.0006328886447654868
Position 1343: 0.0005741411775740374
Position 3956: 0.0005668547408792041
Position 1430: 0.0005513617553483982
Position 1980: 0.0005476524501924977
Position 465: 0.0005470620903063878
Position 4830: 0.0005165155512431313
Position 5199: 0.0005036885512122392
Position 2088: 0.000496795119539832
Position 2912: 0.00046096389637699227
Position 4362: 0.0004348005778693943
Position 670: 0.0004196180470001129
Position 4784: 0.0004114162378219171
Position 2208: 0.0004071503286264567
Position 3011: 0.000402037104642452
Position 3512: 0.00026574612818697083
Position 3624: 0.0002607937818788225
Position 4461: 0.00024181081098324374
Position 455: 0.00021885076839614896
Position 4211: 0.00021056916043533998
Position 165: 0.0001995844583894438
Position 319: 0.0001774541718716682
Position 4413: 0.00016620874558117286
Position 1223: 0.00016086000072234032
Position 5535: 0.00015244464087058027
Position 1164: 0.00014927086484531235
Position 739: 0.00014459549204115364
Position 5236: 0.00013694334908932393
Position 1468: 0.00012322597551788313
Position 2917: 0.0001221468729113842
Position 422: 0.00011682999770680185
Position 2081: 0.0001115616691809532
Position 2090: 0.00010558568989870491
Position 349: 9.641333817120569e-05
Position 426: 9.513082391112169e-05
Position 503: 8.252232376631651e-05
Position 2615: 8.206134896213118e-05
Position 3747: 7.412554572444476e-05
Position 430: 7.250043543632392e-05
Position 703: 7.157082785148208e-05
Position 788: 6.668677050058147e-05
Position 434: 5.2030738773617485e-05
Position 370: 5.106700384256604e-05
Position 4372: 4.1299081582478124e-05
Position 4401: 4.073501560060414e-05
Position 775: 2.8131526243433872e-05
Position 4174: 2.6503340024029844e-05
Position 1482: 2.5349071400988282e-05
Position 1478: 2.425399547160198e-05
Position 5027: 2.35201176060729e-05
Position 594: 2.08578827821872e-05
Position 4523: 1.7875870027385423e-05
Position 4198: 1.7502735592146534e-05
Position 517: 1.7405468285723675e-05
Position 4431: 1.3444849102521047e-05
Position 4152: 1.1857487301901684e-05
Position 5183: 1.0269161115613058e-05
Position 4274: 9.482576924042055e-06
Position 1993: 9.419957305558915e-06
Position 727: 8.354262252559597e-06
Position 475: 8.02623627484302e-06
Position 2446: 6.629136622149244e-06
Position 264: 6.5800175388872556e-06
Position 1788: 6.248953986474793e-06
Position 2025: 6.206368529680326e-06
Position 2543: 5.6565031098655865e-06
Position 5243: 5.30034967354329e-06
Position 555: 4.882187099256308e-06
Position 438: 4.750746871495842e-06
Position 967: 4.525247330906771e-06
Position 2528: 4.503428928620611e-06
Position 1532: 4.129477946128059e-06
Position 1170: 3.892067993968707e-06
Position 4281: 3.740516351694704e-06
Position 563: 3.736815856293155e-06
Position 1557: 3.710718368316279e-06
Position 526: 3.65822363693756e-06
Position 1362: 3.369263060884815e-06
Position 2534: 1.7064178821418799e-06
Position 2584: 1.2752265716405304e-06
Position 5245: 1.2019574298774124e-06
Position 2260: 1.19183239664725e-06
Position 203: 1.1757569932317001e-06
Position 5233: 1.046779890803918e-06
Position 473: 9.729840474660008e-07
Position 4505: 9.014107901865536e-07
Position 1676: 8.618077462425956e-07
Position 2505: 7.970452946693728e-07
Position 2563: 7.850078425958908e-07
