Gene = Ppp1r13l
index = 845
Annotated 5SS: [  101  7407  7644  9089  9272  9442 10431 12169 14166 14403 14676 16472]
Annotated 3SS: [ 7325  7500  8577  9172  9349  9988 11707 14033 14268 14508 16271 16750]
SMsplice 5SS: [  101  7407  7644  8875  9272  9442 14166 14403 14676]
SMsplice 3SS: [ 7325  7500  8763  9172  9349 14033 14268 14508 16271]
top_k =  1000
Partition function (log Z): 23.143749343412395

Sorted 5' Splice Sites (High to Low Probability):
Position 14403: 0.9974534402349277
Position 101: 0.9908074655011125
Position 7644: 0.9536020845802871
Position 14166: 0.9530906566461745
Position 8875: 0.9285486002459601
Position 9442: 0.8802585123732595
Position 9272: 0.8679941188400777
Position 14676: 0.8321154251277326
Position 7407: 0.7952849597567724
Position 10431: 0.7654897096967078
Position 9089: 0.7247941359866462
Position 1074: 0.4284162209029622
Position 12169: 0.2613116033347672
Position 3530: 0.14976623082888568
Position 16472: 0.14468633495882904
Position 9286: 0.12778663276511323
Position 16073: 0.09282691311402143
Position 14695: 0.09203614619903015
Position 5835: 0.08472737025229393
Position 6339: 0.06195871012431053
Position 4369: 0.056269768498840564
Position 1114: 0.0528594516222447
Position 14726: 0.03868715077276933
Position 7441: 0.035732994879116874
Position 16372: 0.029938743000128543
Position 814: 0.029532164786997078
Position 14195: 0.02934336954182676
Position 10028: 0.02918035849650371
Position 10203: 0.028849575353421517
Position 9453: 0.021772325777763973
Position 15949: 0.021122984853703144
Position 8586: 0.02033919381827474
Position 4618: 0.015678063886225505
Position 14626: 0.014300279638911043
Position 14157: 0.012335847902549034
Position 6627: 0.012328035083084225
Position 2334: 0.012294326963296772
Position 6193: 0.011456016368427295
Position 14702: 0.011087929116547131
Position 7423: 0.010425404655226737
Position 8840: 0.009451145279974468
Position 11881: 0.008634246240432679
Position 1384: 0.008447342308289984
Position 13596: 0.00839859541995508
Position 13826: 0.00827008550400777
Position 7765: 0.008235943458983354
Position 15131: 0.0073415732316749185
Position 6216: 0.006943327791459826
Position 11420: 0.006783031502882592
Position 15642: 0.006780136239907921
Position 11803: 0.006711605456140081
Position 10464: 0.00550568418845933
