Gene = Ly96
index = 652
Annotated 5SS: [  187  3341 12491 17793]
Annotated 3SS: [ 3250 12361 17739 21005]
SMsplice 5SS: [  187  3341 11049 12278 12491 20070]
SMsplice 3SS: [ 3250 10892 12122 12361 19957 20241]
top_k =  1000
Partition function (log Z): -7.985116456354534

Sorted 5' Splice Sites (High to Low Probability):
Position 12491: 0.9920125567343938
Position 3341: 0.8428612682921707
Position 187: 0.7571917332458846
Position 12278: 0.6768681036678144
Position 11049: 0.6726154918123076
Position 20070: 0.6548331745628181
Position 3907: 0.5082063589533217
Position 20323: 0.35806631755753826
Position 17793: 0.3255963346373102
Position 3685: 0.24727834441656873
Position 16507: 0.19617087025466773
Position 16095: 0.15617385224123484
Position 339: 0.1203518820714202
Position 8407: 0.10940150058232223
Position 1780: 0.10313142643961706
Position 16073: 0.09918403634609915
Position 287: 0.08057644450349583
Position 15489: 0.07775373078728293
Position 2561: 0.031022061607366133
Position 56: 0.02717648885792016
Position 2337: 0.025395665541402025
Position 3715: 0.019749007765568385
Position 20121: 0.016563619312622124
Position 3088: 0.015700713064085794
Position 301: 0.01353213589111162
Position 2391: 0.011013495031697698
Position 308: 0.005517601621641243
Position 467: 0.005294081422280522
Position 1431: 0.004332180039657205
Position 2074: 0.0035913099452267298
Position 16292: 0.00314790336200569
Position 2093: 0.00304505770257749
Position 1349: 0.002980804219728481
Position 1538: 0.0028286982096681033
Position 17518: 0.002702499195217392
Position 6783: 0.002691624526567574
Position 553: 0.002512112815648546
Position 14544: 0.0024802018627318183
Position 1840: 0.0023164472498436025
Position 2464: 0.0020499780923529166
Position 16607: 0.0019900148657864204
Position 237: 0.0019128788560971912
Position 14152: 0.0018296129514202902
Position 13435: 0.0018061788591246526
Position 14697: 0.0017563760747201925
Position 12962: 0.0017132028397410964
Position 16081: 0.0016739849445495077
Position 4037: 0.001360805867580545
Position 3753: 0.0013558913769167202
Position 3156: 0.0010900336793209903
Position 5501: 0.0010704408911865436
Position 5472: 0.000988538284681467
Position 15003: 0.0007491771222527246
Position 14661: 0.0007409273120533192
Position 1409: 0.0007271552261648577
Position 15504: 0.0006629595856705544
Position 3122: 0.0005862951071362262
Position 4277: 0.0005813786164053234
Position 1461: 0.0005447091214363049
Position 5458: 0.00042348849593872864
Position 17150: 0.0004212673432594563
Position 946: 0.0003969990269224853
Position 17067: 0.00039293340711719297
Position 20636: 0.0003834082578830762
Position 3021: 0.0003786758797819262
Position 4295: 0.0003781958164889485
Position 3605: 0.00033942863485840767
Position 3712: 0.0003285837007623136
Position 1299: 0.0003120548802219333
Position 703: 0.0002790054223114318
Position 5818: 0.00027622131576236997
Position 28: 0.00022835208288258065
Position 8199: 0.00020345955517011592
Position 558: 0.00019211439961400192
Position 3757: 0.0001878982121188428
Position 2468: 0.00016078525352783543
Position 314: 0.00013594612600656655
Position 1246: 0.00013409552285663498
Position 2224: 0.00012826176750418974
Position 77: 0.0001194406029182483
Position 2305: 0.0001091112889763473
Position 1398: 8.58425025539378e-05
Position 2565: 8.45239626045104e-05
Position 1987: 7.887469156016715e-05
Position 561: 7.883543652590619e-05
Position 495: 7.222909091940051e-05
Position 3415: 6.627837733440319e-05
Position 49: 6.056595904968686e-05
Position 3345: 4.968008178989072e-05
Position 36: 4.854498440981019e-05
Position 23: 4.305339349327354e-05
Position 11: 9.142288865046039e-06
Position 191: 8.554370799925566e-06
Position 178: 7.488515002465719e-06
Position 385: 5.737624852891532e-06
Position 140: 3.033318670553312e-06
Position 303: 2.9538618934305845e-06
Position 143: 2.0890668056819816e-06
Position 767: 1.6231444836795085e-06
Position 517: 1.36053016079066e-06
Position 747: 1.2405497335964886e-06
Position 621: 1.170481742158398e-06
Position 685: 1.086708012298523e-06
Position 460: 9.710824709866041e-07
Position 1170: 8.15966897753741e-07
Position 543: 5.92254022903946e-07
Position 585: 5.81479629861014e-07
Position 434: 5.060418255852559e-07
Position 619: 4.789048280301873e-07
Position 184: 3.28725773312338e-07
Position 820: 3.249362352099773e-07
Position 1186: 2.945041877544188e-07
Position 577: 2.1617890521393807e-07
Position 477: 1.1585396529028324e-07
Position 909: 8.737059010174744e-08
Position 574: 6.448953390909858e-08
Position 1264: 4.936559289512413e-08
Position 856: 4.043830985148478e-08
Position 1213: 3.351505685324078e-08
Position 483: 2.9340063964204858e-08
Position 709: 2.198300984202659e-09
Position 420: 8.419729321644623e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 3250: 0.8274840149178617
Position 19957: 0.7178832989171289
Position 20241: 0.6794908157492515
Position 10892: 0.6726154918123075
Position 12122: 0.588005233805829
Position 12361: 0.5546894902313609
Position 3817: 0.47821425987652166
Position 17739: 0.36912250020898457
Position 12401: 0.3505105979974374
Position 21005: 0.2530489468571235
Position 16421: 0.1988914971885283
Position 3526: 0.19634832881437636
Position 15866: 0.18981624843565384
Position 8359: 0.09723493964992407
Position 20583: 0.08643929288209545
Position 3569: 0.07365051451556608
Position 15960: 0.06150555050806472
Position 20850: 0.061242168490740816
Position 1709: 0.05354207089803408
Position 15306: 0.05261298433327937
Position 12364: 0.05235266124871417
Position 12215: 0.04766869100335306
Position 20200: 0.04510817268877036
Position 11942: 0.04447010261336905
Position 1327: 0.041759776570043046
Position 2205: 0.03303292350379778
Position 12415: 0.03128861839453898
Position 21027: 0.026850721876066522
Position 21016: 0.026714206684287964
Position 15466: 0.021637326718847168
Position 178: 0.013051490497420019
Position 20001: 0.012052359860009267
Position 3018: 0.009620082201515886
Position 2453: 0.00956897057434859
Position 2421: 0.009311631390208724
