Gene = Pgam5
index = 812
Annotated 5SS: [ 236 2801 3977 4148 4376]
Annotated 3SS: [2621 3850 4058 4244 9449]
SMsplice 5SS: [ 236 3977 4148 4376]
SMsplice 3SS: [3850 4058 4241 9449]
top_k =  1000
Partition function (log Z): -1.7611013679631695

Sorted 5' Splice Sites (High to Low Probability):
Position 4376: 0.9584317396510483
Position 3977: 0.9293051405888398
Position 236: 0.9233032548443325
Position 4148: 0.7627068502482625
Position 2801: 0.6396588769139218
Position 2974: 0.37309440869170934
Position 2962: 0.12262903755105567
Position 8854: 0.07632628505158755
Position 7946: 0.06696040266568618
Position 6593: 0.06469504636576828
Position 3801: 0.06098198013098397
Position 698: 0.049563683712857076
Position 251: 0.04066890455235176
Position 1113: 0.03592691551933221
Position 7749: 0.03543586646171069
Position 1330: 0.035363030516470544
Position 6947: 0.03444239867258083
Position 2814: 0.033654734779322716
Position 654: 0.029682312361526988
Position 9517: 0.02370126801876285
Position 4095: 0.02212336635249225
Position 5629: 0.016840155547544988
Position 9594: 0.012606605886732269
Position 129: 0.011238931727760111
Position 4849: 0.010485500099723455
Position 9145: 0.009542452361735579
Position 3851: 0.008693553950985098
Position 3182: 0.00851347924240304
Position 6317: 0.008370695523372019
Position 2966: 0.007699365792561277
Position 3742: 0.0071214846630410404
Position 4372: 0.006817194005385811
Position 8708: 0.006059839420329694
Position 9567: 0.005374437649046443
Position 8764: 0.005226369275186295
Position 4521: 0.00489128372948314
Position 572: 0.004688766532250537
Position 483: 0.004472781740270566
Position 9473: 0.0041951363787246475
Position 9533: 0.00403846791300618
Position 2826: 0.0038890744495213314
Position 2516: 0.0038871383838376644
Position 1818: 0.0030946721915840747
Position 3835: 0.002892347961086799
Position 3151: 0.0026929227309507816
Position 8639: 0.002654072202372553
Position 9953: 0.0026468156907528363
Position 334: 0.0024940861023611833
Position 999: 0.0023299115006584635
Position 302: 0.0017744289277810022
Position 31: 0.001652033261015326
Position 3158: 0.001640173411059397
Position 5117: 0.0016314318528644906
Position 8459: 0.0016048991168691599
Position 9811: 0.0014440158629488897
Position 3747: 0.0013644802836626968
Position 1087: 0.001302374403765872
Position 4771: 0.001295560721211526
Position 3172: 0.0012442318255537273
Position 663: 0.0012414358002149966
Position 8933: 0.0012151744006434714
Position 145: 0.0012021336243666404
Position 4404: 0.001028717917239412
Position 2751: 0.0009394742644239179
Position 4434: 0.0009308237996418753
Position 2397: 0.0008819741451736203
Position 9383: 0.0006696057690877399
