Gene = Bbc3
index = 169
Annotated 5SS: [ 246 2799 4202]
Annotated 3SS: [2509 4010 7501]
SMsplice 5SS: [ 149 2799 4202]
SMsplice 3SS: [2637 4010 7501]
top_k =  1000
Partition function (log Z): -5.191610320394263

Sorted 5' Splice Sites (High to Low Probability):
Position 4202: 0.9600463219267313
Position 2799: 0.9055324582947943
Position 149: 0.404079985815212
Position 246: 0.3872556521008691
Position 313: 0.150957150252394
Position 923: 0.06452911282731037
Position 2017: 0.06314709926930794
Position 7395: 0.06054510552882636
Position 1851: 0.043729271644467674
Position 1992: 0.04158871360540307
Position 5777: 0.039013940519024924
Position 3867: 0.03677502611018298
Position 3558: 0.030216083892628455
Position 3670: 0.02435586876271592
Position 7369: 0.00955954400617994
Position 2098: 0.009484874599009936
Position 4224: 0.009401625580246384
Position 250: 0.0084145002124611
Position 455: 0.007898936558770189
Position 3680: 0.007898820456277393
Position 3183: 0.0073644232582818275
Position 6010: 0.007044494856784044
Position 3654: 0.00628702775857674
Position 475: 0.006147776086974179
Position 3258: 0.005287958198788361
Position 5567: 0.00527601079545323
Position 79: 0.0049094212905429055
Position 7080: 0.004764697836853443
Position 1771: 0.0042180137710106
Position 4189: 0.00403587632404179
Position 3847: 0.0034246314263913784
Position 7619: 0.0033964469770808524
Position 3635: 0.003381626121002413
Position 5057: 0.003248470575935762
Position 2131: 0.0029611676447744307
Position 7148: 0.0029386366606461403
Position 2627: 0.00283986111755485
Position 4825: 0.0027508263151422466
Position 7294: 0.002380212459133006
Position 341: 0.0023687816681681865
Position 123: 0.0022780139225627868
Position 1122: 0.0016935116267487536
Position 526: 0.0015317477368899841
Position 5110: 0.0013778346903914529
Position 4477: 0.0012943506082428394
Position 2330: 0.0012270122414749578
Position 3665: 0.0010983977851682439
Position 6024: 0.0010806445209385574
Position 3519: 0.001064186158620817
Position 2023: 0.0009970020526224015
Position 963: 0.0008583400997505024
Position 950: 0.0006791486708067243
Position 975: 0.0006085156748764152
Position 6995: 0.0005879730564766717
Position 321: 0.0005603876009579086
Position 1891: 0.000540409350947457
Position 3048: 0.0005359721012576593
Position 3831: 0.0004402208511617785
Position 1310: 0.0003895217950821194
Position 874: 0.00038261260148749577
Position 5515: 0.0003592388429787868
Position 3778: 0.00033724840292359955
Position 7077: 0.0003302698644877651
Position 1156: 0.00031429496401257605
Position 3608: 0.00030342241225770185
Position 1367: 0.00028047529550519787
Position 6185: 0.0002636393947517502
Position 4745: 0.00026180502691404623
Position 830: 0.00025447627243409103
Position 1158: 0.0002428366461095402
Position 2064: 0.00024215450660355857
Position 1077: 0.0002243097275009871
Position 4739: 0.00021645140582764424
Position 3137: 0.00020461945365036113
Position 2451: 0.00018699126001978314
Position 1828: 0.0001844739899793387
Position 1839: 0.00017750307697036964
Position 2034: 0.00015659128162551813
Position 2865: 0.00014306516437770814
Position 3509: 0.00014026720173157805
Position 3723: 0.00013523692900321686
Position 3699: 0.0001303103248936592
Position 3286: 0.0001232446358116504
Position 3624: 0.00011214194422115998
Position 5387: 0.00010204763782205886
Position 1596: 9.449737540243939e-05
Position 3548: 9.392533452029294e-05
Position 114: 8.18356928457076e-05
Position 843: 7.716982653425829e-05
Position 1059: 6.699217281259221e-05
Position 955: 6.514689812365625e-05
Position 1729: 5.620710425480444e-05
Position 6328: 4.950245133555794e-05
Position 2418: 4.570367112483564e-05
Position 6255: 4.2652528924912865e-05
Position 466: 3.6505138565673574e-05
Position 595: 3.5107464923913036e-05
Position 2006: 2.8095256660020586e-05
Position 712: 2.5992159066720077e-05
Position 1799: 2.3474035757798025e-05
Position 1169: 2.2274090589984194e-05
Position 589: 1.964373332779972e-05
Position 2074: 1.9227179568796607e-05
Position 1565: 1.871556467227906e-05
Position 1741: 1.7364831274607226e-05
Position 495: 1.6801834858918932e-05
Position 898: 1.5211008587624949e-05
Position 564: 1.513467269094796e-05
Position 1810: 1.506631941249691e-05
Position 1793: 1.043808144852904e-05
Position 2936: 5.214529996037039e-06
Position 5161: 4.174376624131826e-06
Position 5401: 3.8023617786744003e-06
Position 2803: 2.8751847919725497e-06
Position 2980: 2.480100818001237e-06
Position 2971: 2.330207884880372e-06
Position 519: 2.2430609922950408e-06
Position 4112: 1.7432697870011254e-06
Position 364: 1.5032013145984067e-06
Position 573: 1.5001547995377915e-06
Position 3497: 1.1180448198483058e-06
Position 2992: 1.0055975688077465e-06
Position 231: 7.69484699026622e-07
