Gene = Sertm1
index = 970
Annotated 5SS: [151 781]
Annotated 3SS: [  615 16049]
SMsplice 5SS: [  985 11372 17626]
SMsplice 3SS: [11330 17531 18104]
top_k =  1000
Partition function (log Z): -11.77501242162606

Sorted 5' Splice Sites (High to Low Probability):
Position 11372: 0.8240442302638109
Position 781: 0.5590816733231868
Position 5918: 0.5555933479277603
Position 151: 0.4040480458305977
Position 985: 0.39316209020214293
Position 1943: 0.3261312906950453
Position 17626: 0.2808348150108245
Position 16558: 0.17815417634421474
Position 5970: 0.1778208898693431
Position 7207: 0.15500606874627976
Position 5220: 0.06709910007053663
Position 9712: 0.060092771127167814
Position 5196: 0.05374775741005117
Position 868: 0.05263305860794988
Position 7313: 0.051118969917637216
Position 14270: 0.03907710255774656
Position 4217: 0.029173125345339942
Position 63: 0.02654814957995259
Position 14808: 0.023148515673501985
Position 1266: 0.0202180835093724
Position 3224: 0.020190211415136588
Position 1227: 0.01603675199671202
Position 6613: 0.015915844192982604
Position 12870: 0.014964581820334033
Position 6146: 0.014765282756605009
Position 11750: 0.01323369891363746
Position 1239: 0.01247331631929873
Position 2599: 0.012233235563643549
Position 1297: 0.012230592362062217
Position 7228: 0.010302056125580305
Position 209: 0.009608788566088962
Position 9512: 0.008255004635219327
Position 9310: 0.007686123908699277
Position 184: 0.007475308671791787
Position 6937: 0.006748339344836131
Position 6681: 0.006341353641672456
Position 4224: 0.005694729291112153
Position 18544: 0.005500420290536273
Position 6849: 0.005453985794039889
Position 3450: 0.0048016489885353226
Position 4315: 0.0047838939892382425
Position 201: 0.004642986791545911
Position 13536: 0.00463960220446717
Position 1016: 0.004134442869774194
Position 1021: 0.0039109334768172655
Position 3720: 0.0038342932263575476
Position 551: 0.00330093269193503
Position 9707: 0.0029191071095760112
Position 2960: 0.0026680785835505364
Position 6643: 0.0024838297020091347
Position 3915: 0.00208717111746919
Position 1973: 0.001769002717227383
Position 503: 0.0015092058761299511
Position 540: 0.001322574378794221
Position 5878: 0.0012957212671929046
Position 1802: 0.0011599571840439078
Position 163: 0.0009678737080178037
Position 254: 0.0009104767068056083
Position 80: 0.0007865628453705864
Position 491: 0.0007668935021021902
Position 3345: 0.0007000803946476678
Position 94: 0.000691572621810576
Position 133: 0.0006095992003083521
Position 482: 0.0005909797692785031
Position 378: 0.0005378932600165497
Position 588: 0.0005279001796474237
Position 2627: 0.0005088809534443167
Position 244: 0.00037856829308154896
Position 30: 0.000355707308792679
Position 438: 0.0002653323080076261
Position 1806: 0.00025414387385378027
Position 558: 0.00020440260651319022
Position 1047: 0.00018669080918734917
Position 581: 0.00015575118875663934
Position 1075: 0.00010403179347642318
Position 2178: 8.426447283744137e-05
Position 97: 8.205155638406895e-05
Position 819: 7.881392155263634e-05
Position 590: 5.946062535712519e-05
Position 576: 2.6603157861430853e-05
Position 6331: 2.522812546484319e-05
Position 1011: 2.1413137537523484e-05
Position 1028: 2.009973948081464e-05
Position 690: 1.9881681029389293e-05
Position 3423: 1.888107903828473e-05
Position 1396: 1.6658337187938465e-05
Position 678: 1.5009131526197436e-05
Position 83: 1.059988672614233e-05
Position 673: 9.76141146416281e-06
Position 1002: 8.818797088647217e-06
Position 665: 6.667710288465095e-06
Position 1154: 5.8144272959109435e-06
Position 3100: 5.768172995451107e-06
Position 720: 5.2536163273588536e-06
Position 574: 4.737630677112145e-06
Position 742: 4.385720313006101e-06
Position 319: 2.8381388337800455e-06
Position 638: 8.390449959845474e-07
Position 617: 7.425903265137595e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 11330: 0.9104337139165657
Position 5877: 0.5511138292958861
Position 18104: 0.3431945698989129
Position 615: 0.3164314150894095
Position 17531: 0.30288402162943867
Position 14216: 0.2455226112494353
Position 16433: 0.18188841260309177
Position 5849: 0.17959180596826718
Position 1836: 0.1582314849116149
Position 14486: 0.1416077151160495
Position 856: 0.09627180482208837
Position 5152: 0.0864856159489602
Position 7176: 0.0818681050672269
Position 1878: 0.068743427145824
Position 18630: 0.055282444097835434
Position 1898: 0.04873358363970543
Position 9610: 0.04341816246975671
Position 17259: 0.043213213839397455
Position 1171: 0.03981048104516563
Position 4106: 0.03944229368996225
Position 6513: 0.031221413561195333
Position 6984: 0.030472570936998174
Position 5087: 0.02930985384502046
Position 7122: 0.027078396916452006
Position 16049: 0.025385189534740654
Position 1534: 0.02336751541991314
Position 647: 0.02199213758439114
Position 7074: 0.021549890814190738
Position 9582: 0.01990842326146163
Position 6936: 0.019793073062918855
Position 11512: 0.018437180014202668
Position 12819: 0.016373017647435796
Position 7055: 0.015764114449660124
Position 17134: 0.015274621501579516
Position 1226: 0.014141595402887295
Position 6131: 0.012965280703241785
Position 906: 0.011157872956934824
Position 11485: 0.01062452239260182
Position 5745: 0.010520380918878056
Position 18377: 0.010441785949255739
Position 7141: 0.01026975381309206
Position 6775: 0.009729766028512355
Position 13411: 0.009520849085020993
Position 3128: 0.009208522144979355
Position 750: 0.009172462678402018
Position 2485: 0.009119870313782174
Position 12014: 0.008416808056820813
Position 9417: 0.008255004635219327
Position 861: 0.008169155900417151
Position 9088: 0.007686123908699277
Position 7099: 0.007031852684599864
Position 16125: 0.0059651595039806535
Position 638: 0.005683676452672954
Position 1883: 0.00547205857632619
Position 1903: 0.0047782220417921
Position 3159: 0.004677416958288559
Position 3295: 0.004225227580433715
Position 3580: 0.004197087224028549
Position 15030: 0.004104932932217348
Position 3209: 0.004064009598639014
Position 6959: 0.0039214543537963035
Position 1691: 0.003904756252209384
Position 10260: 0.0038576829624497556
Position 939: 0.003580625623874797
Position 5021: 0.0033431053834166013
Position 966: 0.003175247035116281
Position 3092: 0.0030378615812065397
Position 351: 0.002919024443920657
Position 1832: 0.0028701811330242156
Position 2859: 0.0028629271395671525
Position 6065: 0.002764516703294163
Position 16100: 0.002715133553922887
Position 867: 0.002635534677844782
Position 1183: 0.0025330226446545145
Position 13020: 0.0024474375914628004
Position 1126: 0.002262552866114815
Position 946: 0.0020119746995873253
Position 6106: 0.0019202429700151441
Position 5178: 0.0018898145057693707
Position 913: 0.0018356057615879363
Position 690: 0.001778884999876304
