Gene = Mtif3
index = 722
Annotated 5SS: [  74 4961 6999]
Annotated 3SS: [4508 6840 7969]
SMsplice 5SS: [  63 6999]
SMsplice 3SS: [ 6840 12030]
top_k =  1000
Partition function (log Z): -6.249865441038857

Sorted 5' Splice Sites (High to Low Probability):
Position 6999: 0.8933683971382093
Position 63: 0.6955743788216007
Position 565: 0.5399047701138711
Position 5856: 0.46881333138886516
Position 6077: 0.41295383622165616
Position 4961: 0.3433544548452049
Position 74: 0.21733800767292907
Position 6545: 0.1784390775584825
Position 9019: 0.17430781743412138
Position 7813: 0.15803097287547516
Position 5448: 0.09889940755743255
Position 20: 0.07174785527705134
Position 5715: 0.06538445392513893
Position 3937: 0.0613944366087395
Position 6178: 0.05342285722282031
Position 11179: 0.04495410486253898
Position 10767: 0.039069429047983266
Position 675: 0.02828038576944859
Position 8535: 0.025010733691225612
Position 7630: 0.017501433080836556
Position 8260: 0.016841123011116677
Position 283: 0.015379945424037497
Position 10154: 0.01440079392885597
Position 6124: 0.011838126225470938
Position 2960: 0.01085390309490623
Position 5764: 0.009018714936504064
Position 4667: 0.00820458362826971
Position 9864: 0.0073371520520459175
Position 6443: 0.006369997823030161
Position 9888: 0.0063529456185306
Position 327: 0.006118244669713216
Position 4694: 0.005342682104997975
Position 10554: 0.00524061615709558
Position 1849: 0.00516552896777684
Position 5419: 0.0046370145078530964
Position 99: 0.004121719143178662
Position 8750: 0.002914650281341975
Position 3474: 0.0027309057266601986
Position 5367: 0.0025206005553415067
Position 353: 0.0023939282370419273
Position 5926: 0.0022664233935756977
Position 8184: 0.000946562427556143
Position 244: 0.0008741412346580995
Position 2181: 0.0005966441865790323
Position 230: 0.0005832733347199188
Position 3055: 0.0005477310361652605
Position 8264: 0.0004906082395439976
Position 8062: 0.00041009257512162613
Position 8782: 0.0003996645393182681
Position 7856: 0.0003204084806718251
Position 2568: 0.00024846367941169583
Position 7118: 0.00022598424775092523
Position 7381: 0.00021989379268492527
Position 7315: 0.00016966167969769113
Position 5182: 0.00015312977186639033
Position 4407: 0.00013375432492987132
Position 321: 9.581458417164538e-05
Position 291: 8.168766348121998e-05
Position 1568: 7.980099478298366e-05
Position 7767: 7.164839885353907e-05
Position 238: 6.332776580017083e-05
Position 8188: 5.345601878742218e-05
Position 242: 3.6718721593999204e-05
Position 3015: 3.035489045840581e-05
Position 335: 2.7787378757324532e-05
Position 1619: 2.6085099295598438e-05
Position 2617: 2.3736282571972986e-05
Position 359: 2.191343190267328e-05
Position 715: 1.9321205258096388e-05
Position 333: 1.875957606082074e-05
Position 188: 1.5448563297268312e-05
Position 178: 1.4133790556211354e-05
Position 311: 1.3832822910967632e-05
Position 8180: 1.3286788376012167e-05
Position 149: 6.293416920320242e-06
Position 111: 6.116357920077818e-06
Position 1716: 4.97389683873168e-06
Position 154: 3.949247819467721e-06
Position 2771: 3.0701381786776453e-06
Position 648: 2.89359872475612e-06
Position 445: 2.430224165787948e-06
Position 406: 2.2952479601484594e-06
Position 2518: 1.7305238427944336e-06
Position 1680: 1.409304386722699e-06
Position 1865: 1.0545523571391844e-06
Position 1853: 9.858613589085976e-07
Position 696: 9.41446537334676e-07
Position 127: 9.326332760216898e-07
Position 34: 7.141911345014421e-07
Position 14: 5.492249391107247e-07
Position 143: 3.939612353251215e-07
Position 392: 3.037719722293153e-07
Position 428: 8.025358647698602e-08
Position 498: 6.6083091071434975e-09
Position 453: 3.943401972161941e-09
Position 1421: 1.8253435288381517e-09
Position 531: 1.6567553969315038e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 6840: 0.7593076337584006
Position 6005: 0.38911030280747927
Position 5795: 0.3885659988663237
Position 404: 0.3385496338642661
Position 12030: 0.29255305763020273
Position 4743: 0.24210696361998454
Position 7714: 0.2082647914391879
Position 8866: 0.1769898011235497
Position 10505: 0.17078874144733924
Position 5498: 0.14388514314273718
Position 6250: 0.11879212077320518
Position 8359: 0.11649766562931693
Position 472: 0.11408666334336948
Position 7969: 0.11086455918977306
Position 11012: 0.08576404800335401
Position 6887: 0.07203654069031357
Position 10553: 0.0715343423011574
Position 6760: 0.06647353143153559
Position 498: 0.06420799767531613
Position 8898: 0.05188098482454822
Position 5270: 0.051719250407040916
Position 5287: 0.04058743235363741
Position 5955: 0.03850079424398015
Position 3863: 0.03845632566164977
Position 6400: 0.036638435069125855
Position 10073: 0.03097294584667604
Position 5518: 0.02832268876159677
Position 11802: 0.024296680812103594
Position 4508: 0.021114346677570776
Position 4810: 0.020000694539087552
Position 448: 0.019682229651337233
Position 132: 0.01810148193501764
Position 535: 0.017719199128236666
Position 4779: 0.017212753382731073
Position 8704: 0.015191351106026929
Position 9640: 0.014136771139649408
Position 6209: 0.014108391997795467
Position 6385: 0.013868996781044432
Position 8915: 0.013695786195816817
Position 10666: 0.012081442646302178
Position 6056: 0.011595481051604482
Position 5328: 0.011478698161506271
Position 5914: 0.010235160832089777
Position 4641: 0.009882793919696032
Position 10908: 0.009853826261288208
Position 7467: 0.009704571917712316
Position 9732: 0.008862627296908
Position 4574: 0.008801468760006183
Position 4836: 0.008492690509618282
Position 4905: 0.008461370328923325
Position 6098: 0.008326074404004817
Position 3797: 0.008195099729633256
Position 8423: 0.007960583996476742
Position 10609: 0.007938641120104378
Position 4854: 0.007505340844253662
Position 4692: 0.006995887063696862
Position 2770: 0.006390393846718195
Position 3636: 0.005390029507110265
