Gene = Nenf
index = 743
Annotated 5SS: [ 276 6735 8276]
Annotated 3SS: [ 6673  8171 11104]
SMsplice 5SS: [ 276 6735 8276]
SMsplice 3SS: [ 6673  8171 11104]
top_k =  1000
Partition function (log Z): -4.495192576849665

Sorted 5' Splice Sites (High to Low Probability):
Position 276: 0.9627236163186249
Position 6735: 0.9119581636281082
Position 8276: 0.879075161663963
Position 1649: 0.49300574912529493
Position 2860: 0.3825486963059152
Position 4791: 0.3306652458175645
Position 5301: 0.2622562286016773
Position 9757: 0.18040676648818504
Position 2059: 0.17871376797461
Position 5001: 0.16586832880124097
Position 2685: 0.12776692559512395
Position 5272: 0.12118477801879005
Position 1416: 0.09216783988533979
Position 5444: 0.07671397670063142
Position 10846: 0.07542960977115161
Position 5257: 0.07258858788198254
Position 7061: 0.050843999024740676
Position 5469: 0.049456205280775316
Position 6426: 0.03865729844287615
Position 6775: 0.025824221120556566
Position 4705: 0.022097288654954552
Position 6592: 0.022033753508633066
Position 8003: 0.02023598756610789
Position 10404: 0.01888137441759185
Position 452: 0.01884077604032264
Position 2680: 0.01861844766889689
Position 9342: 0.018296490766399574
Position 2023: 0.017333457524557214
Position 2729: 0.01708716983719757
Position 6278: 0.016771818948744844
Position 8229: 0.016593407057229677
Position 2656: 0.014024387701194848
Position 2134: 0.013559921604517765
Position 10360: 0.010556943679603756
Position 3589: 0.008414679293232042
Position 2823: 0.008226602362618468
Position 5008: 0.00821568085311574
Position 3712: 0.00793203560211568
Position 228: 0.006874037617259009
Position 9119: 0.006468759494072705
Position 7761: 0.005882137053545926
Position 6101: 0.00479628079450831
Position 2745: 0.0042140255946078375
Position 10243: 0.0038067371371452866
Position 5140: 0.0037672069781045105
Position 8014: 0.003735715508708892
Position 5485: 0.0036721169981070723
Position 9668: 0.003266481866205587
Position 6566: 0.00325822407183085
Position 5512: 0.0027621784601778365
Position 3472: 0.0025401087566103682
Position 8987: 0.0022493498742005057
Position 2870: 0.002019356006003159
Position 1708: 0.001852773717402303
Position 1438: 0.001824986281571239
Position 7905: 0.001526402641205816
Position 3907: 0.0015100462279451984
Position 405: 0.0013753552241965797
Position 8440: 0.001361379442229435
Position 4089: 0.0012489076052224234
Position 5722: 0.0011941158378564925
Position 2632: 0.0011878339936211644
Position 9680: 0.0011722672718528378
Position 4710: 0.00109060336807688
Position 946: 0.0010037259519119607
Position 1526: 0.0009925641736260242
Position 8806: 0.0009033240675574324
Position 446: 0.0007693374514141907
Position 622: 0.0007353910006691434
Position 1605: 0.0007123470667045883
Position 791: 0.0006780701250224643
Position 4944: 0.0006271803045966206
Position 1098: 0.0006226593181990608
Position 1796: 0.0005442014830908111
Position 1601: 0.0004824462406153235
