Gene = Anapc13
index = 115
Annotated 5SS: [  51 3593]
Annotated 3SS: [3466 7717]
SMsplice 5SS: [ 146 3091 3282 3593]
SMsplice 3SS: [3008 3205 3466 7717]
top_k =  1000
Partition function (log Z): -4.8252202963477115

Sorted 5' Splice Sites (High to Low Probability):
Position 3593: 0.946663188427848
Position 3091: 0.8093149371398181
Position 3282: 0.4612571771743017
Position 146: 0.29245435333083114
Position 5612: 0.2633287771509993
Position 291: 0.19618677519484423
Position 4683: 0.19500210643871588
Position 51: 0.17471353811210483
Position 623: 0.1721473816266758
Position 3345: 0.143665460007658
Position 2890: 0.12765272524052257
Position 392: 0.10660905994605013
Position 4690: 0.07692072139084721
Position 939: 0.06479935870006984
Position 700: 0.05955210185151283
Position 252: 0.052494636683676106
Position 977: 0.05242275299754968
Position 4020: 0.04769323612825592
Position 3996: 0.04134763071891822
Position 2339: 0.03284139518455053
Position 5087: 0.030738412715399368
Position 3626: 0.029594204203275715
Position 3772: 0.029477406298277012
Position 4059: 0.02753369954145325
Position 5659: 0.026706290224530964
Position 2620: 0.024975436227985925
Position 586: 0.016265907484726286
Position 3642: 0.01414642224361262
Position 337: 0.01372927644152418
Position 3386: 0.012583799682439176
Position 4148: 0.010831920252100974
Position 1036: 0.009229308829822088
Position 3163: 0.008562354838705032
Position 6597: 0.007094159595254628
Position 6477: 0.005516700357199803
Position 6714: 0.005089286382077318
Position 3380: 0.005066202687432839
Position 4055: 0.004508889689918782
Position 3255: 0.004238740641724328
Position 3828: 0.0037734539992267118
Position 1452: 0.0032644793757401875
Position 4112: 0.0031650701898160456
Position 412: 0.002394965235583195
Position 3506: 0.0021487767337255
Position 7558: 0.0019000415641399367
Position 504: 0.0018188527838425004
Position 3147: 0.0016392558064372337
Position 5037: 0.0015192227582380468
Position 704: 0.0014919931411224699
Position 4158: 0.0013464275786721459
Position 396: 0.001318095123873797
Position 5631: 0.0012613920708073171
Position 1395: 0.0010584348159371904
Position 6172: 0.0010217761212724288
Position 6589: 0.001006150717048254
Position 352: 0.0009161581883506153
Position 249: 0.0008957884404986054
