Gene = Mn1
index = 684
Annotated 5SS: [4442]
Annotated 3SS: [37173]
SMsplice 5SS: [222]
SMsplice 3SS: [37173]
top_k =  1000
Partition function (log Z): -22.93390294673533

Sorted 5' Splice Sites (High to Low Probability):
Position 222: 0.7531674435926817
Position 1841: 0.32306591891540437
Position 3284: 0.28827959546880016
Position 2129: 0.2535290476519982
Position 7608: 0.24134109217388078
Position 234: 0.1943639231077741
Position 5844: 0.18092879739258
Position 8767: 0.13172795027659726
Position 4088: 0.1315520390015286
Position 4442: 0.11076994026913888
Position 3455: 0.06741762284067336
Position 320: 0.04702547090449256
Position 3791: 0.046863138826577985
Position 3811: 0.046726236191477054
Position 7276: 0.045514988533060685
Position 7282: 0.04547584544280688
Position 5624: 0.03931791279670373
Position 3068: 0.0336310568183712
Position 4995: 0.03332456335953808
Position 7041: 0.029969159832585645
Position 3589: 0.021244159033255494
Position 10518: 0.017377334199046055
Position 1653: 0.016251416286048946
Position 9220: 0.014050667006765414
Position 1094: 0.012795392520222994
Position 7023: 0.012180277701107339
Position 2516: 0.012160398066827234
Position 7828: 0.012007139783877267
Position 7217: 0.010144409915139785
Position 9214: 0.009806905420380764
Position 3526: 0.007820768718197136
Position 486: 0.0048775938378145525
Position 1678: 0.004149241047416357
Position 5579: 0.003994222884111557
Position 7303: 0.003837377873936195
Position 1570: 0.0036553592913216304
Position 1914: 0.0026657073441929704
Position 1516: 0.0020029057989050447
Position 5210: 0.0013005022188628593
Position 722: 0.0011488829996929046
Position 1136: 0.0009164068227905746
Position 3787: 0.0008716412021130264
Position 3898: 0.0008011698380389423
Position 2462: 0.0007707416193179886
Position 6868: 0.0007136090387184834
Position 1387: 0.0006889592054962456
Position 2391: 0.0006810392375693723
Position 2370: 0.0006197060889547578
Position 773: 0.0005254663371333874
Position 1004: 0.0004081220133153057
Position 515: 0.0003821809759722875
Position 1538: 0.0003614481680523513
Position 1682: 0.000359929965630917
Position 1795: 0.00035362457002839864
Position 1508: 0.0002372048927054726
Position 3773: 0.00020159647311156757
Position 574: 0.00016939548030523276
Position 6046: 0.0001643997415274598
Position 1461: 0.00016378482135769322
Position 634: 0.00011042168576376076
Position 1574: 0.00010592008017710889
Position 1405: 9.185185796357696e-05
Position 1908: 4.049091409724494e-05
Position 87: 2.4289893817311676e-05
Position 1079: 1.9930835392885907e-05
Position 1082: 1.683190264452138e-05
Position 2434: 5.880785924703367e-06
Position 133: 5.787732963983375e-06
Position 392: 3.6507394402393795e-06
Position 339: 2.4099430804736604e-06
Position 593: 1.5642094593858556e-06
Position 503: 4.938791456615607e-07
Position 1256: 2.676720204802463e-07
Position 667: 2.613841999804214e-07
Position 103: 1.5809172282457123e-07
Position 170: 1.47814782826976e-07
Position 123: 8.828831176529667e-08
Position 1341: 6.273026763182634e-08
Position 1279: 2.6760175366979095e-08
Position 1290: 2.5332253074795897e-08
Position 380: 2.25754341600073e-08
Position 1103: 2.2426142472587856e-08
Position 1178: 3.88104446605232e-09
Position 602: 3.2506706598962872e-09
Position 370: 1.2287260310044992e-09
Position 985: 5.350193706954228e-10
Position 421: 4.332398051586286e-10
Position 865: 2.5986369864889643e-10
Position 726: 3.9691416822581956e-19

Sorted 3' Splice Sites (High to Low Probability):
Position 10440: 0.3581459532732388
Position 7564: 0.3192527509206395
Position 3168: 0.23470927507728323
Position 1998: 0.1605395959703681
Position 5670: 0.15839036222829442
Position 8638: 0.157115962442355
Position 4010: 0.15539103233677404
Position 6955: 0.14616567956650983
Position 1752: 0.11338369338557061
Position 1755: 0.09952310925815255
Position 7113: 0.0778418564802059
Position 9001: 0.0744179231737606
Position 3405: 0.07306414045061081
Position 4324: 0.0706977743080206
Position 1734: 0.06181909965731834
Position 5729: 0.05487445292727928
Position 3222: 0.05378315326058732
Position 9523: 0.051750102552544766
Position 3562: 0.04872688899627376
Position 5513: 0.04532675844391529
Position 7740: 0.04204727268037272
Position 5763: 0.04087346198162083
Position 2204: 0.03666780502678371
Position 4775: 0.0342482666887185
Position 3729: 0.033859270502794296
Position 8593: 0.031060798211929815
Position 1995: 0.030756989373354086
Position 1973: 0.028737236433235433
Position 10929: 0.02698866122291615
Position 2081: 0.02629638738333731
Position 4231: 0.023553855438588837
Position 2932: 0.022832270390211056
Position 8375: 0.022035430352288672
Position 2229: 0.021037235975645885
Position 1352: 0.01652224734548146
Position 1620: 0.014775324424291218
Position 9551: 0.013578124906493056
Position 2167: 0.01306323265872563
Position 4051: 0.012847784487779089
Position 1556: 0.01121557893270698
Position 1731: 0.011010531094863309
Position 3655: 0.010662104006268276
Position 3280: 0.009259693546359192
Position 4879: 0.008758359803122557
Position 2724: 0.008564123006643111
Position 1722: 0.00782846884297234
Position 6181: 0.007789931038966079
Position 3755: 0.006467708377267252
Position 9996: 0.006157077132142716
Position 2259: 0.005571388632777181
Position 3182: 0.005562228282325215
Position 1767: 0.005399664021892599
Position 1592: 0.005008603634449776
Position 3219: 0.004710343414554985
Position 5424: 0.0043031678854208
Position 944: 0.004127661864437425
Position 1623: 0.004112987973534901
Position 376: 0.00405340336328546
Position 1370: 0.0036464081123599263
Position 2689: 0.0035607563460117566
Position 1008: 0.003370885975316419
Position 3485: 0.0032860880841746967
Position 391: 0.003184503144869944
Position 1770: 0.0031768268857771827
Position 1483: 0.0030256818578155605
Position 1980: 0.002731449493006599
Position 2019: 0.002723034548503017
Position 4733: 0.0027114097848252587
Position 2250: 0.002575125194467154
Position 4279: 0.002564890846013214
Position 2965: 0.0024922436143037688
Position 6757: 0.0024908514920734576
Position 3675: 0.0023277022319025923
Position 3137: 0.0022878507835153014
Position 6451: 0.0022739685990380365
Position 3105: 0.0022112237112450524
Position 1773: 0.001685891098259056
Position 1872: 0.0015638661550032552
Position 4710: 0.001556710211532006
Position 3135: 0.00152330837864166
Position 1933: 0.001514965327299158
Position 2896: 0.0013704422267209898
Position 2910: 0.0013113893939547376
Position 964: 0.0012798058559446242
Position 1011: 0.0012422538285228968
Position 1227: 0.0011949102579755584
Position 2262: 0.0011615565687823903
Position 2784: 0.0011475037010267664
Position 2364: 0.0011372787287867567
Position 2010: 0.0010551572234716573
Position 1803: 0.0010148213323561222
Position 1696: 0.0009155558542529133
Position 5951: 0.0008736357478837608
Position 828: 0.0008319660997472441
Position 5091: 0.0008236526661029823
Position 1706: 0.0008031492612956953
Position 2936: 0.0007973418587891217
Position 7885: 0.0007850114971515592
Position 1515: 0.0007798545425066417
Position 4082: 0.0006788032791643802
Position 2086: 0.0006363965220530579
Position 1632: 0.0006124776916506981
Position 975: 0.0005909746388535843
Position 2957: 0.0005867136066271793
Position 5451: 0.0004967893741944135
Position 1605: 0.000489731450799897
Position 3359: 0.00048523076839646626
Position 1836: 0.00047883549360924575
