Gene = Mypop
index = 729
Annotated 5SS: [ 110 1376]
Annotated 3SS: [ 586 9245]
SMsplice 5SS: [ 110  970 1376]
SMsplice 3SS: [ 812 1305 8287]
top_k =  1000
Partition function (log Z): -5.4748673865205255

Sorted 5' Splice Sites (High to Low Probability):
Position 110: 0.9921195449925388
Position 970: 0.6994459391216592
Position 1376: 0.6538287774602758
Position 3000: 0.40188217347727334
Position 8424: 0.31695076144099443
Position 9330: 0.2763401667655707
Position 1978: 0.2720553497823372
Position 4144: 0.2548753491306425
Position 1015: 0.25236784540306584
Position 8460: 0.21637231127269124
Position 6580: 0.13181683957309132
Position 1974: 0.10583984633008688
Position 10399: 0.07364003338134956
Position 2023: 0.06403084993499486
Position 7740: 0.04840665789799148
Position 1335: 0.04422975813473641
Position 2603: 0.04129963652559243
Position 1491: 0.029074579213760388
Position 5614: 0.023221626873593727
Position 10118: 0.017969368112248793
Position 2855: 0.01625528663993001
Position 10036: 0.01621406023447635
Position 1655: 0.01246148074883963
Position 1429: 0.011716561683310497
Position 460: 0.01066329160024016
Position 4295: 0.01053038758224774
Position 5620: 0.009064458368732773
Position 2941: 0.00886481404080604
Position 2125: 0.007529182939690407
Position 1452: 0.0051781454463736085
Position 4054: 0.004198261263875427
Position 4553: 0.004074406057678732
Position 6540: 0.003930425768685761
Position 6690: 0.003623102294760936
Position 6949: 0.0020933780328670254
Position 1982: 0.0020383306979673706
Position 2016: 0.0018412635067740666
Position 312: 0.001690215317931445
Position 1484: 0.0015395658400382275
Position 8545: 0.0014725308684705439
Position 6682: 0.0012747565891905355
Position 8141: 0.001254738220050992
Position 10060: 0.001015420094424162
Position 1531: 0.0009212059352197296
Position 4024: 0.0008387994108422217
Position 9701: 0.000747144588566504
Position 667: 0.0007429619146383944
Position 3917: 0.0006950454825221102
Position 1102: 0.0006292444739088519
Position 501: 0.0005941388271204129
Position 496: 0.000573105081994768
Position 1244: 0.0005409636318630067
Position 135: 0.000500602707472786
Position 2720: 0.0004171387434039304
Position 7751: 0.00040459723928765884
Position 2490: 0.0003798971680610635
Position 590: 0.00037801399814316926
Position 640: 0.00035137724993814445
Position 7773: 0.00032408875203505943
Position 114: 0.00026628816156163993
Position 3170: 0.0001818886929409442
Position 38: 0.00018024583567774276
Position 603: 0.0001708515030365404
Position 1935: 0.00013837763760818155
Position 2170: 0.00012577586159933467
Position 432: 0.00012111115995421762
Position 190: 0.00011562381481345843
Position 517: 0.00011224812962988758
Position 415: 9.042697450225154e-05
Position 482: 7.520942413807249e-05
Position 847: 6.511343035169385e-05
Position 215: 3.960321276161669e-05
Position 755: 3.672407924821631e-05
Position 669: 3.020004333855875e-05
Position 148: 2.850467358804538e-05
Position 594: 2.1997564080787362e-05
Position 1039: 2.080300542131469e-05
Position 1010: 1.8381825133188015e-05
