Gene = Tpp1
index = 1135
Annotated 5SS: [  65  254  646 2056 2376 2699 3011 3353 3654 4577 4849 5293]
Annotated 3SS: [ 181  505 1904 2247 2522 2811 3163 3583 4455 4689 5166 5462]
SMsplice 5SS: [  65  254 2056 2699 3654 5463]
SMsplice 3SS: [ 181 1904 2559 3583 5258 5881]
top_k =  1000
Partition function (log Z): 6.1303742072974154

Sorted 5' Splice Sites (High to Low Probability):
Position 2056: 0.9322343688413852
Position 3654: 0.9049958467465459
Position 65: 0.9012006252435967
Position 2699: 0.8467138464000368
Position 254: 0.8345775482384933
Position 4849: 0.7236150307226981
Position 3353: 0.5145176762324776
Position 5463: 0.3884031289753369
Position 5293: 0.38036093046862396
Position 4614: 0.3793025612337086
Position 4577: 0.35419942588900216
Position 2376: 0.25446865507531036
Position 6014: 0.14068213292258475
Position 276: 0.12237705721999266
Position 2582: 0.08862268643262217
Position 78: 0.08392589235032219
Position 4192: 0.0665359174997272
Position 728: 0.05390007532208411
Position 646: 0.053709489779754434
Position 609: 0.05138204091900619
Position 6638: 0.04633945387348488
Position 3011: 0.04594671887572373
Position 7148: 0.0374629793765041
Position 1447: 0.036858432977823485
Position 2323: 0.034779166000785205
Position 5790: 0.026271342300568216
Position 5992: 0.02469990788905758
Position 3244: 0.0200372342517208
Position 5551: 0.019933693109047607
Position 2473: 0.019279860932774357
Position 2414: 0.017553454313614835
Position 5405: 0.014770512526464595
Position 3758: 0.013613765343524363
Position 2157: 0.008975069606822162
Position 2063: 0.008535340554032452
Position 1610: 0.00742789963309266
Position 3002: 0.007170543954523284
Position 2489: 0.0058697906272286654
Position 711: 0.005794081487781637
Position 5938: 0.005784611963220649
Position 4807: 0.0050219239959231705
Position 868: 0.004535393811182902
Position 4607: 0.004173071611041185
Position 5971: 0.0041720314753625675
Position 1713: 0.004091888360843362
Position 5509: 0.00401953079275695
Position 2400: 0.0037224731338936206
Position 669: 0.0035388901374200513
Position 5909: 0.003537979037890972
Position 4621: 0.0035066320760147383
Position 3811: 0.0034965424457898816
Position 87: 0.003164960537834987
Position 7233: 0.0030363821073118996
Position 5348: 0.0027212621772168513
Position 3467: 0.0026743174842117855
Position 3496: 0.002561513865481185
Position 2975: 0.002498160485615302
Position 620: 0.0022681390139144522
Position 3519: 0.0022503914696122996
Position 5642: 0.0021379772844329543
Position 2480: 0.0019798913476956285
Position 3931: 0.001623448879071848
Position 1458: 0.0016112484726832326
Position 618: 0.0015685593097224883
Position 248: 0.0014367957875640444
Position 700: 0.0014017787381640906
Position 2015: 0.0010964460986849567
Position 2390: 0.0010841112612172083
Position 4223: 0.0009254003718154643
Position 6656: 0.0009147123134256505
Position 1047: 0.0009015241622439779
