Gene = Henmt1
index = 537
Annotated 5SS: [  348  1333  2772 12840 13851 17711 18636]
Annotated 3SS: [ 1184  2642 12726 13715 17530 18457 19825]
SMsplice 5SS: [  348  1333  2237  2772 12840 17711 18636]
SMsplice 3SS: [ 1184  2084  2642 12726 17530 18457 19825]
top_k =  1000
Partition function (log Z): -3.415018359446477

Sorted 5' Splice Sites (High to Low Probability):
Position 17711: 0.947681769693692
Position 1333: 0.8814926723256272
Position 2772: 0.850258218876701
Position 2237: 0.8483655636228418
Position 12840: 0.8386879327051452
Position 18636: 0.6236497003245105
Position 13851: 0.5565402703573586
Position 9726: 0.5560894438804207
Position 8847: 0.40198028726059676
Position 348: 0.40156141455992395
Position 334: 0.2617333432404481
Position 86: 0.24123256832889003
Position 6203: 0.18020122704320932
Position 1997: 0.17840950048007548
Position 10146: 0.17288544578923426
Position 17959: 0.13954211584934262
Position 506: 0.09853826629870995
Position 3479: 0.06410317698009496
Position 4745: 0.06063627846394924
Position 4730: 0.059313812442988625
Position 9243: 0.052770069905571135
Position 19361: 0.052437465129420616
Position 10325: 0.047422101524822194
Position 9672: 0.04689904219994692
Position 9701: 0.04655025462856233
Position 11853: 0.034283936644805516
Position 12941: 0.028854949404412335
Position 7004: 0.02520309795956045
Position 8867: 0.02178577169073082
Position 6653: 0.019119011417186173
Position 103: 0.018915780791378196
Position 2271: 0.017899044039749262
Position 11824: 0.016344729213974427
Position 10114: 0.01593748557952915
Position 18507: 0.015808368816892092
Position 158: 0.01400146862377383
Position 18680: 0.013610659241735405
Position 19163: 0.01333178923547482
Position 19119: 0.009832699074502054
Position 5410: 0.009511225654246702
Position 17975: 0.00920093766082962
Position 3874: 0.008399948301446499
Position 18547: 0.0072910389167534706
Position 4734: 0.006607552373976263
Position 18021: 0.006168925881972213
Position 18559: 0.006114460960901397
Position 1680: 0.006024865902470018
Position 2222: 0.005921137620350222
Position 17855: 0.0057573704223197394
Position 17986: 0.005716029324701432
Position 18416: 0.005237233408622516
Position 145: 0.004947525275981464
Position 17968: 0.004551318107269087
Position 7203: 0.004118116176188528
Position 1502: 0.0034870032108831714
Position 18220: 0.0034486198270824824
Position 8053: 0.0034430507860076895
Position 1488: 0.0033647229082104124
Position 2159: 0.003303799073717787
Position 2691: 0.003209440047280508
Position 4006: 0.002924903348372126
Position 18640: 0.002576321996360223
Position 815: 0.0024305843977848436
Position 943: 0.002356566509244089
Position 14077: 0.002241489385210394
Position 1958: 0.0021015504370682624
Position 388: 0.0018546954520940045
Position 2726: 0.0016317895237866536
Position 1867: 0.0015383365185123582
Position 428: 0.0014046896614705391
Position 3203: 0.0012481910202427572
Position 627: 0.001017601871067554
Position 1003: 0.0010074620709196588
Position 1021: 0.0009782983900857559
Position 20153: 0.0009322661760419404
Position 2407: 0.0008547825744396797
Position 3194: 0.000807813770416408
Position 70: 0.000777124196600839
Position 1860: 0.0007381155158180029
Position 3622: 0.0007375500326254625
Position 443: 0.0006349884173192323
Position 18676: 0.0006321628990768463
Position 17724: 0.0006066016446995347
Position 361: 0.0005205705656784903
Position 1775: 0.0004747297093706631
Position 1081: 0.00042071671602561794
Position 2217: 0.000347188197591829
Position 399: 0.0003353430155905363
Position 1808: 0.000287002975759281
Position 1789: 0.00028265467694666194
Position 1662: 0.0002719476984188821
Position 3139: 0.00024854004503806947
Position 1639: 0.00023961643018433575
Position 1027: 0.00022915033975172698
Position 2655: 0.00021562861623383153
Position 4276: 0.00021450013700213783
Position 127: 0.000208048170331984
Position 7800: 0.00020802640736418542
Position 1590: 0.00020537433313966242
Position 1411: 0.0002032754734572146
Position 1038: 0.00019429225563736055
Position 2163: 0.00017848757582135383
Position 791: 0.0001778912294171643
Position 115: 0.0001746617781104477
Position 1499: 0.0001587061749001083
Position 2109: 0.00015849291780415393
Position 8077: 0.0001501844139269981
Position 1378: 0.000146471953181089
Position 133: 0.00014233469546211938
Position 2436: 0.00012029406156589658
Position 782: 0.00011846521321435932
Position 835: 0.00011457229104579283
Position 1581: 0.0001045518582723068
Position 2544: 9.776064646980644e-05
Position 9594: 8.487924551878358e-05
Position 591: 8.29952481007118e-05
Position 57: 8.008585954973934e-05
Position 130: 7.94125813333203e-05
Position 1506: 7.611756676724632e-05
