Gene = D430042O09Rik
index = 316
Annotated 5SS: [    34  20450  45135  52556  53935  62789  87566  89791 105035 105744
 106973 108767 112269 121952 135539 143089 144231 146724 152791 157496
 158569 159753 160935 162868 164338 164933 165106]
Annotated 3SS: [ 20393  45057  52385  53836  62656  87300  89658 104864 105677 106865
 108663 112052 121813 134664 142383 144021 146644 152612 157329 158410
 159687 160823 162727 164235 164771 165016 165531]
SMsplice 5SS: [   320  28965  32488  45135  52556  53935  62789  87566  89791 105035
 105744 106973 108767 111148 112269 121952 152791 157496 158569 164338
 164933 165106 165320]
SMsplice 3SS: [ 28866  32362  45057  52385  53836  62656  87300  89658 104864 105677
 106865 108663 111009 112052 121813 152739 157329 158410 164235 164771
 165016 165224 165531]
top_k =  1000
Partition function (log Z): -80.13296262048082

Sorted 5' Splice Sites (High to Low Probability):
Position 320: 0.8478787076481156
Position 4170: 0.13340207277064747
Position 1321: 0.12278124604305417
Position 4199: 0.08397816868644979
Position 166: 0.06365062328461384
Position 1332: 0.058187365961594135
Position 3371: 0.05590050163940082
Position 339: 0.054674119166151225
Position 5607: 0.039962035535137184
Position 5584: 0.0320975412414448
Position 5434: 0.02187799935798044
Position 7939: 0.02178447435028871
Position 34: 0.01742507421129481
Position 2432: 0.015619135877167485
Position 5738: 0.01363706953525902
Position 157: 0.012592110674553098
Position 6479: 0.01237217721574227
Position 4888: 0.009989044334277407
Position 595: 0.008950417959803421
Position 1850: 0.008295982974203819
Position 6550: 0.007444809091594035
Position 7703: 0.004114071028543355
Position 4477: 0.003966899022721654
Position 3381: 0.0032848976075565742
Position 5904: 0.0028669427718002595
Position 7758: 0.0020829514477294863
Position 405: 0.002046456340103179
Position 2417: 0.0011009495432289281
Position 4511: 0.0008649447246954275
Position 782: 0.0007563826722432841
Position 343: 0.0006422667055065444
Position 3037: 0.0005927815614740831
Position 61: 0.0005528704430363417
Position 797: 0.0004765668503360013
Position 2122: 0.0002729984455527204
Position 3698: 0.00025144866276316394
Position 700: 0.00019236130215090607
Position 2205: 0.00018511826300708138
Position 1988: 0.00018176774614312946
Position 90: 0.00014625323963236
Position 313: 0.00013577136902223594
Position 200: 0.0001311179415851984
Position 3816: 0.0001292665216373109
Position 309: 0.00012095606818110087
Position 3306: 0.00011178727132697488
Position 915: 0.00010973276940074732
Position 1029: 6.017557510532127e-05
Position 3588: 5.684284847123321e-05
Position 40: 4.615965141550231e-05
Position 326: 3.41277483438656e-05
Position 137: 3.257328708824639e-05
Position 786: 1.4511679973545237e-05
Position 817: 1.3598971316553245e-05
Position 790: 9.685255336435041e-06
Position 423: 8.23635833733382e-06
Position 262: 7.84615634171977e-06
Position 432: 7.237727227897867e-06
Position 1175: 3.646975322606146e-06
Position 442: 3.5815965693311716e-06
Position 206: 3.040237932219469e-06
Position 1298: 2.0742401148637174e-06
Position 139: 1.773927181326777e-06
Position 1633: 1.4633478382891621e-06
Position 695: 1.3443192884699242e-06
Position 44: 1.293386530942685e-06
Position 92: 1.1602481933481756e-06
Position 762: 1.0447367592694246e-06
Position 195: 7.919878616866778e-07
Position 303: 7.811903097375674e-07
Position 1984: 7.609058258680136e-07
Position 192: 7.286477979539306e-07
Position 397: 6.291203498964655e-07
Position 733: 6.268141561118764e-07
Position 38: 5.80301636884871e-07
Position 437: 4.755978617153674e-07
Position 1473: 3.235435494091234e-07
Position 72: 3.064947054417178e-07
Position 328: 1.6139619591202366e-07
Position 347: 1.4366271504830717e-07
Position 410: 1.3115537894675875e-07
Position 450: 1.2810954906174707e-07
Position 280: 8.739613089487757e-08
Position 390: 6.175720232626065e-08
Position 367: 6.137715061711578e-08
Position 1432: 3.488008755541009e-08
Position 681: 3.165398581738437e-08
Position 456: 1.4873780114220637e-08
Position 470: 1.0497257453852764e-08
Position 566: 7.83658309202137e-09
Position 478: 3.842118331386722e-09

Sorted 3' Splice Sites (High to Low Probability):
