Gene = Ephx1
index = 381
Annotated 5SS: [  143 15771 17847 21621 22942 23691 25637 27177]
Annotated 3SS: [15582 17665 21392 22811 23481 25527 27050 27588]
SMsplice 5SS: [  143  3140  5167 15771 17847 21621 22942 25637 27177]
SMsplice 3SS: [ 2968  5012 15582 17665 21392 22811 25527 27050 27588]
top_k =  1000
Partition function (log Z): 5.649323232922372

Sorted 5' Splice Sites (High to Low Probability):
Position 15771: 0.9819753122401486
Position 22942: 0.9687019065540533
Position 21621: 0.9682652542015976
Position 5167: 0.9459768638846862
Position 25637: 0.9389056084519348
Position 27177: 0.9204414839899541
Position 17847: 0.8789509545260336
Position 9579: 0.6188239958409137
Position 143: 0.6121530807053407
Position 3140: 0.6105802543311001
Position 17342: 0.5125111094403626
Position 25165: 0.49267729997390747
Position 23691: 0.4646030656330669
Position 611: 0.4456018343967926
Position 26138: 0.3854887532907685
Position 27350: 0.31712260897982625
Position 3606: 0.19465833249386033
Position 3799: 0.17898141721056182
Position 19941: 0.17778247334687214
Position 18829: 0.16139317977667572
Position 5520: 0.16017030020716486
Position 21895: 0.14023915021880912
Position 25214: 0.10980023495163041
Position 16189: 0.1004250138886745
Position 23493: 0.09980553485052503
Position 20581: 0.0825107998515056
Position 7444: 0.08228052511671757
Position 16358: 0.0723966787138361
Position 3768: 0.06974515522667311
Position 27377: 0.067199739326182
Position 197: 0.06519219934060903
Position 7211: 0.06463659213958843
Position 175: 0.06038623368123518
Position 18182: 0.054712687742858035
Position 27312: 0.054191679149314304
Position 2416: 0.053561910321075504
Position 17801: 0.05016097756373443
Position 26217: 0.044950881532492284
Position 338: 0.04239289217797688
Position 26159: 0.04059189409135346
Position 6220: 0.039346597505866776
Position 18015: 0.03811552934584335
Position 18704: 0.03802461198008636
Position 25042: 0.03146506508838022
Position 16084: 0.029212548733294787
Position 1346: 0.028126749864334086
Position 16415: 0.028049838433083885
Position 467: 0.02702540592286405
Position 4169: 0.023206167672214364
Position 820: 0.021844619247064552
Position 16103: 0.020731634173751675
Position 969: 0.02016970376772417
Position 24707: 0.01901092920946864
Position 2831: 0.017506194247387582
Position 27262: 0.01683773842838236
Position 17325: 0.01629903355772834
Position 17333: 0.016226650283802595
Position 27372: 0.01559006614380419
Position 19830: 0.0154324725228868
Position 21851: 0.014508949260607461
Position 26494: 0.012382952424379553
Position 22641: 0.010721135478115113
Position 17576: 0.010559376615634858
Position 20945: 0.010440607200024534
Position 22684: 0.00898729271273004
Position 3047: 0.008418872877443662
Position 27655: 0.00828069158148294
Position 26953: 0.008196535679335239
Position 598: 0.008168739120305652
Position 23624: 0.007167536610963964
Position 4589: 0.006864524300529721
Position 26732: 0.0056965263802664385
Position 21186: 0.005688430299527722
Position 24791: 0.005456025467342947
Position 20891: 0.005418206126110536
Position 25006: 0.005008918501908807
Position 25797: 0.0049624112585058945
Position 942: 0.004887942682884762
Position 3073: 0.004458187652314837
Position 21467: 0.00401260187138539
Position 27763: 0.00387080318209868
Position 16603: 0.0038537411643503184
Position 4467: 0.0034712045619377354
Position 2560: 0.003373379830879299
Position 16419: 0.003360101510331725
Position 2875: 0.0032757153274701476
Position 27432: 0.0032466914195443913
Position 20894: 0.003072584508678923
Position 24160: 0.003007061559702918
Position 27160: 0.002851886293620233
Position 117: 0.0028458559373665624
Position 27665: 0.002753837012696052
Position 4328: 0.002745930442339784
Position 24443: 0.002377872505295273
Position 181: 0.002333384676323637
