Gene = Mospd3
index = 689
Annotated 5SS: [ 303  774 1068 1451 3894]
Annotated 3SS: [ 500  991 1220 3728 3990]
SMsplice 5SS: [ 303  774 1068 1451 3894]
SMsplice 3SS: [ 692  991 1250 3728 3990]
top_k =  1000
Partition function (log Z): -2.2407006508762115

Sorted 5' Splice Sites (High to Low Probability):
Position 3894: 0.8705417683890053
Position 774: 0.7306703890652055
Position 1451: 0.7003542435560788
Position 303: 0.6534674385710275
Position 1068: 0.6320139571452769
Position 321: 0.22848161046469334
Position 811: 0.17029946999338796
Position 602: 0.1548257518608661
Position 1843: 0.07653828906296989
Position 1727: 0.06070212464211642
Position 2455: 0.03171729445800817
Position 1080: 0.028225260877740972
Position 156: 0.024484300948499994
Position 54: 0.01902749912996847
Position 1972: 0.010371404983725583
Position 1182: 0.009900239087989537
Position 1021: 0.005887212391976131
Position 606: 0.005365779146009558
Position 145: 0.004910511762709053
Position 2711: 0.004518998104663162
Position 326: 0.00451818176640313
Position 3602: 0.004508330812973432
Position 3911: 0.004047112711402096
Position 1769: 0.003542143815727312
Position 2025: 0.003072528766427606
Position 221: 0.0028641375468782923
Position 3624: 0.0025923233937300005
Position 1356: 0.002430798153566799
Position 377: 0.0023463799862573024
Position 2918: 0.002256416041464996
Position 1868: 0.0011044703021475945
Position 2658: 0.001075301497279017
Position 2862: 0.0009173717006077985
Position 2010: 0.0008674929900420997
Position 1850: 0.0008121184159779106
Position 3854: 0.000806450902464878
Position 179: 0.0007390535349806297
Position 3845: 0.0006481275084213384
Position 3180: 0.0004607914738623651
Position 1315: 0.00043627503984361335
Position 815: 0.0003639846423107515
Position 3084: 0.0003557362507085335
Position 2962: 0.0003367285150267628
Position 3574: 0.0003182171670588783
Position 1946: 0.0003021624116634774
Position 237: 0.000296136565182021
Position 1053: 0.0002754935796535884
Position 1897: 0.0002444174242489945
Position 3467: 0.00023887588932177024
Position 3875: 0.00023141009417508142
Position 3039: 0.00022724312733843382
Position 1999: 0.00022500991239471875
Position 1473: 0.00020586382450759426
Position 1985: 0.0001998704582408637
Position 436: 0.00017673701362551258
Position 66: 0.00016385718897884044
Position 882: 0.0001601517993895727
Position 1475: 0.00015486710136438723
Position 3213: 0.0001506209169001519
Position 2494: 0.00014571586317761568
Position 628: 0.00013519852787711016
Position 309: 0.00013228280438839715
Position 1477: 0.00012542681633137174
Position 183: 0.00011161182155455132
Position 2487: 7.446012284056429e-05
Position 218: 7.35000487496533e-05
Position 1072: 7.025479655713635e-05
Position 2083: 6.454364284020766e-05
Position 1042: 6.391206647380127e-05
Position 975: 6.1186915828491e-05
Position 1152: 5.788922293306811e-05
Position 1112: 5.48766956314029e-05
Position 1471: 4.138187086010498e-05
Position 838: 4.078787032163617e-05
Position 422: 3.977926989424816e-05
Position 1479: 3.940850284395146e-05
Position 3887: 3.854358254096059e-05
Position 913: 3.833715759844278e-05
Position 548: 3.3942800445235316e-05
Position 668: 3.1330930667745126e-05
Position 1481: 2.8591996029647108e-05
Position 836: 2.623091195362135e-05
Position 576: 2.372942634544529e-05
Position 900: 2.1658172026898892e-05
Position 1483: 1.962068421606776e-05
Position 78: 1.890861383002816e-05
Position 1137: 1.6281099044613747e-05
Position 1485: 1.5844669548667793e-05
Position 935: 1.5443824710961494e-05
Position 1508: 1.5376796430320415e-05
Position 26: 1.2663180178548221e-05
Position 1455: 1.1915717014688292e-05
Position 949: 1.0779294294543833e-05
Position 1487: 1.0098400943122421e-05
Position 1411: 7.911423404886783e-06
Position 473: 7.593421914818682e-06
Position 1489: 6.537173662327523e-06
Position 1491: 3.879205426789266e-06
Position 433: 3.6511705289161226e-06
Position 692: 1.6941856635848638e-06
Position 19: 1.5722558382162165e-06
Position 1528: 1.4844822233691026e-06
Position 714: 1.4657321630771752e-06
Position 493: 1.4219359352912698e-06
Position 1493: 1.3221122218259683e-06
Position 1495: 1.1223032887602835e-06
Position 674: 9.761432310860254e-07
Position 523: 8.85837410966666e-07
Position 659: 5.352893472531368e-07
Position 1186: 8.879154403366647e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3990: 0.7752811964725028
Position 3728: 0.7288864859942348
Position 991: 0.6424321371838961
Position 692: 0.5702004461872298
Position 1250: 0.39800658744813
Position 653: 0.31157729541629875
Position 1220: 0.2068491968622826
Position 3779: 0.1746034135997366
Position 4063: 0.1210868001192584
Position 1594: 0.05463741965840481
Position 500: 0.04969798444429179
Position 1608: 0.04870714865582005
Position 3817: 0.04514866042229928
Position 533: 0.03020934760184708
Position 2364: 0.029999702511348567
Position 1644: 0.02682178950239345
Position 1821: 0.024463971916699283
Position 1354: 0.023973897518768966
Position 1348: 0.02379357657737983
Position 1003: 0.018380423354972406
Position 1266: 0.017752142693182173
Position 3417: 0.014537194662568774
Position 404: 0.014232204003629484
Position 1271: 0.013736176763822994
Position 699: 0.010521363566801096
Position 964: 0.008576216651863462
Position 1374: 0.007974426543698425
Position 1137: 0.006463537261011459
Position 561: 0.004999473621180666
Position 514: 0.0036833913898549346
Position 2533: 0.003519284704844683
Position 1720: 0.00341396572991981
Position 1700: 0.0030589011368043436
Position 417: 0.002629507199278549
Position 2337: 0.002494131444955415
Position 4067: 0.002452234190374147
Position 3705: 0.002311389461760942
Position 231: 0.002254543494454369
Position 2599: 0.0020408816624402004
Position 1033: 0.0020139197787743344
Position 260: 0.001943322095762265
Position 2826: 0.0018874016433062066
Position 1368: 0.0018700236243138343
Position 589: 0.0018616667497464807
Position 3107: 0.0018053611692848603
Position 1402: 0.0016281209214516058
Position 2756: 0.001617625432343459
Position 709: 0.0014829098371407685
Position 3657: 0.001408595528692455
Position 4030: 0.001332076271210667
Position 2414: 0.0013149047247591687
Position 1327: 0.0013066583066867609
Position 155: 0.0012779639979185655
Position 1773: 0.001229959551596193
Position 1900: 0.001032880896294445
Position 177: 0.0008182629388026519
Position 1284: 0.0007618486608001923
Position 3739: 0.000732759406257613
Position 3753: 0.0006731983130600626
Position 2751: 0.0005657195337009152
Position 429: 0.0005543738176140123
Position 3742: 0.0004652313385099145
Position 160: 0.00043747168348211556
Position 727: 0.00040945829494307893
Position 4327: 0.0003886061726873022
Position 3893: 0.00038114443881634907
Position 2987: 0.00033014962732848057
Position 4370: 0.0003250156762491317
Position 1305: 0.0002842522728538993
Position 368: 0.000229244642538143
Position 445: 0.00022661310166885063
Position 4338: 0.00020600826556184005
Position 1293: 0.00020436299788103765
Position 179: 0.00019032978838634957
Position 3689: 0.00018983651410560897
Position 949: 0.0001881896953525568
Position 1790: 0.00018533493156718488
Position 1322: 0.0001553196651229701
Position 433: 0.00015521711242652862
Position 1166: 0.00013618289080168832
Position 926: 0.00013524245831907366
Position 3461: 0.00013366416441814183
Position 940: 0.00012100369069040777
Position 3631: 0.00012070703090445649
Position 1662: 0.00011693378930660525
Position 1604: 0.00011386773253340378
Position 2378: 0.00011058804422559615
