Gene = Iqch
index = 590
Annotated 5SS: [   127   7748   8318  14164  29882  54596  57697  66259  68157  77798
  78589  90257  94248 101629 106450 119927 121986 147934 157020 173481
 177136]
Annotated 3SS: [  7624   8225  14051  29764  54474  57567  66178  68117  77245  78521
  90172  94071 101355 106257 119805 121698 147762 156896 173418 177026
 180523]
SMsplice 5SS: [   576   7748   8318  14164  29882  54596  57697  66259  74808  77798
  80499  90257  94248  95962 101629 106450 118163 119927 121986 134488
 147934 177136]
SMsplice 3SS: [  7624   8225  14051  29764  54474  57567  66178  74692  77727  80264
  90172  94071  95847 101355 106380 118065 119805 121698 134410 147762
 177026 180523]
top_k =  1000
Partition function (log Z): -79.75139870779189

Sorted 5' Splice Sites (High to Low Probability):
Position 14164: 0.9688725492243351
Position 7748: 0.9238244993272013
Position 8318: 0.8477281542921168
Position 576: 0.5938635683188571
Position 5047: 0.40362948515801755
Position 3288: 0.3853265506578519
Position 127: 0.3466234714672252
Position 16176: 0.3449402631120107
Position 6889: 0.27591352644685857
Position 13913: 0.2554130355356907
Position 3060: 0.18137031731013586
Position 9463: 0.12393581721659667
Position 17044: 0.08967324649161543
Position 9248: 0.07888579414602136
Position 1153: 0.06520401907450366
Position 9834: 0.06117711954165069
Position 3587: 0.05132151126146384
Position 5023: 0.04175922160461178
Position 14573: 0.038781086919897
Position 4180: 0.03347540431297483
Position 13965: 0.03324497314664106
Position 556: 0.032300621271537745
Position 8528: 0.03204481413095814
Position 14518: 0.029079236090063906
Position 21013: 0.02608042731738379
Position 4461: 0.023647419409132054
Position 781: 0.02129786527443164
Position 6383: 0.021214159526117514
Position 6410: 0.020763796358455787
Position 15378: 0.018285275466344123
Position 7472: 0.018211577677215287
Position 8502: 0.017237247357685538
Position 1342: 0.016738321521039535
Position 7994: 0.015243924985243908
Position 13978: 0.014685048884707903
Position 13178: 0.014551617461070475
Position 4465: 0.014020515141069499
Position 3414: 0.011455955374802033
Position 9581: 0.011370708776726456
Position 3094: 0.01083619611191219
Position 951: 0.010521385037342585
Position 1855: 0.010245831009120777
Position 5611: 0.010056645125948243
Position 9750: 0.008718150399896873
Position 13146: 0.008148132384818174
Position 423: 0.00738965962598082
Position 1351: 0.007252070852888154
Position 16618: 0.007025461178263186
Position 3054: 0.006548278656324483
Position 17235: 0.0060097598135908726
Position 6439: 0.004737638404720347
Position 7792: 0.0033376637537240257
