Gene = Ric3
index = 901
Annotated 5SS: [  169 25549 26588 28967 35381]
Annotated 3SS: [25321 26514 28872 35234 44447]
SMsplice 5SS: [  169 16920 25549 26588 28967 35381]
SMsplice 3SS: [16879 25321 26514 28872 35237 44447]
top_k =  1000
Partition function (log Z): -25.108809534674876

Sorted 5' Splice Sites (High to Low Probability):
Position 169: 0.9770966478258045
Position 2157: 0.3617202229135553
Position 2371: 0.29747651894380517
Position 766: 0.210003786649061
Position 1601: 0.18989777443023062
Position 1202: 0.14008352200639881
Position 16920: 0.06159874415769661
Position 1286: 0.03321201464504553
Position 35: 0.03204922720792224
Position 2380: 0.031747509946223114
Position 5731: 0.02603050702894932
Position 1029: 0.01819110984796342
Position 582: 0.015983895822369136
Position 985: 0.013540396563805696
Position 6805: 0.011818672249411364
Position 4258: 0.01092046388430562
Position 3643: 0.010213170488974084
Position 3434: 0.009014698234940959
Position 1458: 0.0059645081510951
Position 2447: 0.005746790403663367
Position 3665: 0.0031376704755803706
Position 510: 0.0026366343199602568
Position 3877: 0.0025807294754415524
Position 877: 0.002485434481575813
Position 3905: 0.0018207703595986384
Position 2338: 0.0017936079371649969
Position 60: 0.0015665105190507463
Position 792: 0.001437801650146455
Position 285: 0.000887374204574758
Position 281: 0.0006848638077512744
Position 757: 0.0006372802016850382
Position 779: 0.00040012062396648315
Position 2394: 0.00032091295979670367
Position 2273: 0.0003204895884169143
Position 1117: 0.0002979356803341015
Position 13: 0.0002827315228280216
Position 3667: 0.00022334168648749264
Position 1990: 0.00021668165805092764
Position 696: 0.00017993912190953425
Position 240: 0.0001572357507734607
Position 2419: 0.00015128213241296873
Position 1013: 0.00014010116289032255
Position 4221: 0.00010958840362821909
Position 1033: 0.00010451842308174994
Position 206: 8.34838794803079e-05
Position 2165: 5.9863194788659384e-05
Position 848: 5.6998360170859654e-05
Position 1626: 4.5064663159454435e-05
Position 50: 4.27179269655977e-05
Position 596: 3.934289005556697e-05
Position 817: 3.717046717812907e-05
Position 1936: 3.4578416669149704e-05
Position 90: 3.266774340194284e-05
Position 329: 2.9259243788798423e-05
Position 745: 2.9071030211849458e-05
Position 1616: 2.8523901450178095e-05
Position 2192: 2.7475057096695722e-05
Position 821: 2.4225241461222533e-05
Position 852: 1.9277495960647492e-05
Position 507: 1.8680625726789214e-05
Position 797: 1.7576753972297406e-05
Position 520: 1.6704585923256753e-05
Position 209: 1.585896745547871e-05
Position 289: 1.4085362064453442e-05
Position 2340: 1.2209043795360902e-05
Position 748: 1.1077397097132021e-05
Position 27: 1.041067659820894e-05
Position 4009: 8.907633273127967e-06
