Gene = Hyls1
index = 552
Annotated 5SS: [ 522 1944 6336]
Annotated 3SS: [1892 6220 8293]
SMsplice 5SS: [ 522 5798 6118 6336]
SMsplice 3SS: [5577 5996 6220 8293]
top_k =  1000
Partition function (log Z): -5.867068615944039

Sorted 5' Splice Sites (High to Low Probability):
Position 6336: 0.9188545634538874
Position 6118: 0.6696057765320952
Position 5798: 0.5434790904611545
Position 522: 0.4247929428103559
Position 353: 0.3465375472449329
Position 397: 0.25137840723060023
Position 5645: 0.2500131454252746
Position 95: 0.23680123912643095
Position 731: 0.151257422066563
Position 636: 0.12155701221455649
Position 6616: 0.0816924743714372
Position 9459: 0.07910880382942372
Position 3994: 0.07240252841686745
Position 8613: 0.07093737048942064
Position 150: 0.061038337983546784
Position 3842: 0.05994724019846351
Position 6133: 0.05804863884155888
Position 8425: 0.04637378624942368
Position 594: 0.046221356786080296
Position 778: 0.043457618332514485
Position 5640: 0.042114062651448195
Position 9152: 0.03867397051245717
Position 8749: 0.03543337782023321
Position 1944: 0.03449406172954619
Position 4659: 0.025871645517243087
Position 1021: 0.019604870205399114
Position 233: 0.017708144599973177
Position 1541: 0.017567862795373927
Position 6482: 0.016487203842392065
Position 9360: 0.015288594691830163
Position 602: 0.014373783426988163
Position 8381: 0.013542060330021283
Position 5001: 0.011876557024304044
Position 6456: 0.008755869434421859
Position 8462: 0.008230771846375573
Position 9159: 0.0071522720968977905
Position 6598: 0.0070150510883652956
Position 7438: 0.005687425639765257
Position 314: 0.004981885658399889
Position 5090: 0.00460048438263176
Position 9098: 0.0042169133065656506
Position 3188: 0.0041270482054375675
Position 8476: 0.003826567987652684
Position 7306: 0.0033373207922001028
Position 7269: 0.0033286873370113068
Position 8015: 0.002717737075166867
Position 607: 0.00257487840684228
Position 5666: 0.002519411524128432
Position 9157: 0.002514302320030736
Position 3306: 0.002409981491588488
Position 6093: 0.0021585092379836092
Position 7025: 0.0017360845877175412
Position 8487: 0.0014690155238205212
Position 3881: 0.001343957359780486
Position 688: 0.0012096884899066099
Position 8674: 0.001119657658972356
Position 8692: 0.0009080674777424007
Position 6106: 0.0008656676708079706
Position 9013: 0.0008326554401320303
Position 441: 0.0007676711527848854
Position 289: 0.0006489438021747658
Position 319: 0.0005688876538307489
Position 420: 0.0005634545855777182
Position 104: 0.0005120553767027638
Position 8668: 0.0004097900303789337
Position 308: 0.00037629483701028443
Position 8657: 0.000360271251497374
Position 333: 0.0003258196907072144
Position 5608: 0.0003115696127235614
Position 5708: 0.00030825917425185184
Position 173: 0.0001971469222335448
Position 768: 0.00017508437697666992
Position 251: 0.00015409419467259742
Position 1339: 0.00013659536779210763
Position 8640: 0.0001208812937965703
Position 1219: 0.00011999592091324813
Position 507: 0.0001006239384967807
Position 184: 8.775925755578853e-05
Position 700: 8.081798132565597e-05
Position 316: 6.96307617779608e-05
Position 195: 6.705181633575989e-05
Position 1778: 4.7684759842442505e-05
Position 1168: 4.512373112930788e-05
Position 1795: 4.328754590857418e-05
Position 740: 4.1217614541397705e-05
