Gene = Ackr1
index = 95
Annotated 5SS: [113]
Annotated 3SS: [572]
SMsplice 5SS: [113]
SMsplice 3SS: [305]
top_k =  1000
Partition function (log Z): -5.4160081798873545

Sorted 5' Splice Sites (High to Low Probability):
Position 113: 0.9962697113553945
Position 948: 0.05303482610687155
Position 531: 0.022407858036826194
Position 953: 0.012834722325462298
Position 722: 0.009764079371557016
Position 1272: 0.0072901663229889245
Position 706: 0.006440512380683901
Position 315: 0.005391034971414927
Position 106: 0.0034669797189391437
Position 380: 0.002237415778343889
Position 319: 0.001701600214807403
Position 667: 0.0013489320333927456
Position 569: 0.0007152059573169037
Position 1341: 0.00029905379713025343
Position 848: 0.0002802220032122079
Position 425: 0.00013086789181004932
Position 573: 6.103587174631801e-05
Position 396: 5.036741766783842e-05
Position 855: 4.126243858335964e-05
Position 1166: 3.789162154865944e-05
Position 233: 2.797618898916012e-05
Position 772: 2.3982697128429834e-05
Position 1024: 2.3018179957265058e-05
Position 751: 2.1239021083115232e-05
Position 869: 1.981148187461718e-05
Position 102: 1.9137526371661685e-05
Position 119: 1.7015083251843023e-05
Position 1292: 1.695629015635278e-05
Position 608: 1.3219490324461372e-05
Position 63: 1.124883043071924e-05
Position 980: 1.0964444546644198e-05
Position 549: 1.0482238870481293e-05
Position 1423: 1.0466762176403816e-05
Position 388: 9.986553007236822e-06
Position 562: 9.615339663452757e-06
Position 862: 9.472446519011919e-06
Position 150: 8.85895493251434e-06
Position 560: 8.185795223385341e-06
Position 1056: 7.84136495469413e-06
Position 882: 7.176791833373638e-06
Position 117: 4.52446213956579e-06
Position 753: 2.8958360423421424e-06
Position 1203: 2.7456825383723343e-06
Position 323: 9.052233456537188e-07
Position 52: 7.279247549757566e-07
Position 635: 3.601828230938971e-07
Position 130: 3.197465272381999e-07
Position 6: 2.87526783269382e-07
Position 309: 2.748913750717578e-07
Position 87: 2.0241596659535276e-07
Position 1033: 1.936929036136287e-07
Position 1054: 1.334611908240189e-07
Position 226: 6.357653403621823e-08
Position 1108: 1.9812751669210844e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 305: 0.30769380951745223
Position 721: 0.11332108292648434
Position 1147: 0.10977190206486212
Position 357: 0.10208287290484576
Position 572: 0.07606519579406038
Position 818: 0.07350076678389186
Position 179: 0.07103952948417222
Position 622: 0.06984953878786988
Position 233: 0.03829482673520717
Position 405: 0.029817144834976564
Position 799: 0.022875533438732578
Position 751: 0.013579581329780713
Position 379: 0.01050615932226144
Position 1074: 0.009723733414185528
Position 1227: 0.00797846698683713
Position 1086: 0.006992594333059724
Position 1012: 0.005923648531170843
Position 1385: 0.005683116649478723
Position 987: 0.005183062553470315
Position 1475: 0.005020464895518505
Position 1382: 0.004343299437837305
Position 591: 0.004185112727507809
Position 642: 0.0038290790664948725
Position 1149: 0.003137833707510786
Position 900: 0.0028635825193955894
Position 975: 0.002830664437870992
Position 1413: 0.0023282205922750955
Position 1054: 0.002272726910110319
Position 882: 0.0022481256312648318
Position 846: 0.001822327850207896
Position 417: 0.0010749861779910633
Position 1345: 0.00104569692952135
Position 1516: 0.0008211750204875642
Position 309: 0.0006905371445325529
Position 1545: 0.0006761386716385289
Position 500: 0.000617616173574172
Position 874: 0.00044040665965885327
Position 1095: 0.0004333690045402995
Position 829: 0.0004120978412467429
Position 1232: 0.0003474427994097721
Position 1108: 0.00031407461608276826
Position 1597: 0.00030716635928624875
Position 1486: 0.00027935824054435695
Position 1416: 0.0002588417557804857
Position 1520: 0.00024866077055536815
Position 530: 0.0002460458935933754
Position 676: 0.000245968846828767
Position 919: 0.00017354615453958312
Position 596: 0.00011238982431971578
Position 608: 0.00011149097727779102
Position 537: 8.374359472080406e-05
Position 910: 7.608991060260254e-05
Position 772: 5.435089441963523e-05
Position 667: 3.791423617649885e-05
Position 517: 3.5305172331829106e-05
Position 687: 3.3235086291994915e-05
Position 924: 3.191743632627713e-05
Position 318: 3.0124161348860137e-05
Position 1276: 2.4883977829409534e-05
Position 852: 2.36939339885174e-05
Position 855: 1.6218906405589273e-05
Position 848: 1.583442643557289e-05
Position 1550: 5.530103165953862e-06
Position 1158: 5.285098552912034e-06
Position 1071: 4.610839855180864e-06
Position 461: 3.919909606023096e-06
Position 1166: 2.1641167698500096e-07
Position 315: 9.152395590160886e-08
Position 862: 3.940479158983793e-08
Position 87: 3.275781638967936e-08
Position 80: 3.7138374417821385e-09
Position 117: 2.3292208232791143e-12
