Gene = Polr3gl
index = 835
Annotated 5SS: [   98 12094 12538 13347 13732 14166 14384]
Annotated 3SS: [11925 12407 13277 13674 14091 14269 15592]
SMsplice 5SS: [   98  5390 13347 13732 14166 14384 15509]
SMsplice 3SS: [ 5259 13277 13674 14091 14269 15311 15592]
top_k =  1000
Partition function (log Z): 1.598295369512568

Sorted 5' Splice Sites (High to Low Probability):
Position 13347: 0.9652336068702941
Position 98: 0.9599561033919923
Position 14384: 0.9056886636766308
Position 13732: 0.8904515285187878
Position 5390: 0.8893672071052712
Position 14166: 0.6361590354776205
Position 12094: 0.45864002524491976
Position 12538: 0.448761622611921
Position 13177: 0.3961384567562136
Position 15509: 0.3797151636708017
Position 11695: 0.24958158824091983
Position 15484: 0.23143856066735188
Position 11474: 0.1467543520486897
Position 14717: 0.12442619662128614
Position 7347: 0.08477887406819154
Position 1463: 0.07335423635411094
Position 9292: 0.07219742828032248
Position 6479: 0.058757100402540674
Position 3321: 0.04877674411205687
Position 1360: 0.04704951300650359
Position 3326: 0.03730884805414679
Position 13397: 0.03068243022695213
Position 4070: 0.021549202016616566
Position 9744: 0.020914814401257774
Position 6682: 0.019954047614035166
Position 138: 0.019423999973223312
Position 9781: 0.016709998523181866
Position 572: 0.01453904395235866
Position 10627: 0.010683095611798393
Position 6856: 0.01047913519296892
Position 4526: 0.009511847384175102
Position 12047: 0.008986814081418215
Position 14719: 0.007625210921577084
Position 824: 0.007550503975188172
Position 6702: 0.007190506614068643
Position 15490: 0.007131807317429415
Position 2109: 0.007018160806729008
Position 13770: 0.00646004655416508
Position 13693: 0.006444681488047109
Position 865: 0.0057041249995164415
Position 15359: 0.005132772533739372
Position 2743: 0.004643384082372583
Position 14233: 0.004539178488897968
Position 15423: 0.004239651375333174
Position 5803: 0.0038607858696621906
Position 351: 0.003351604836014064
Position 15069: 0.0032067019692935414
Position 15515: 0.002759125749542458
Position 3121: 0.0026658245429809894
Position 14237: 0.002580487976358239
Position 4203: 0.0025767699589252387
Position 262: 0.0022498537585274887
Position 15406: 0.0022118905332931377
Position 321: 0.0021429888636315354
Position 175: 0.001996059392975292
Position 8405: 0.0019294925399237059
Position 9659: 0.0018839962474818503
Position 128: 0.0018142312595394866
Position 14632: 0.001701693091344135
Position 13719: 0.0016166168104255686
Position 602: 0.001124347190584069
Position 844: 0.001104461362235727
Position 14177: 0.0010591579321899277
Position 1898: 0.001058719340261309
Position 13868: 0.0010356368804224213
Position 4187: 0.001000168081009863
Position 5728: 0.0009512044069423831
Position 2121: 0.0007478769292597285
Position 15474: 0.0006634571800266617
Position 1652: 0.0006175945354308816
Position 13710: 0.0006024676313703647
Position 14659: 0.0004860556625114003
Position 13351: 0.00046856584625440433
Position 13974: 0.00045479988649211716
Position 13976: 0.0003760247221715611
Position 14590: 0.00037185611409040016
Position 15511: 0.00036990202542302563
Position 14906: 0.0003169657310594338
Position 14840: 0.0003165438736465552
Position 13863: 0.0002759668424769545
Position 13762: 0.00026655292188027056
Position 14732: 0.0002269789027301415
Position 505: 0.00020242543868541037
Position 13848: 0.00017191064575296025
Position 13993: 0.00015946434935833862
Position 14803: 0.00015899677442715118
Position 15342: 0.00014320917491010977
Position 133: 0.00014276616861910802
Position 14805: 0.00012468144623614013
Position 14793: 9.798429112293261e-05
Position 473: 9.302950665707032e-05
Position 16049: 8.303193631869198e-05
Position 656: 6.6366386750699e-05
Position 14601: 5.1409187457738455e-05
Position 378: 4.592063142541953e-05
Position 57: 4.551779922322017e-05
Position 191: 4.1719658431653646e-05
Position 1209: 3.807878388679413e-05
Position 69: 3.761635906361502e-05
Position 15776: 3.1841061030481506e-05
Position 6424: 2.9948328031507118e-05
Position 13841: 2.3080006530338857e-05
