Gene = Ecrg4
index = 356
Annotated 5SS: [ 362 6646 8116]
Annotated 3SS: [ 6597  7957 11642]
SMsplice 5SS: [ 362 6665 8116]
SMsplice 3SS: [ 6597  7957 11642]
top_k =  1000
Partition function (log Z): -5.075313316412913

Sorted 5' Splice Sites (High to Low Probability):
Position 362: 0.9511957397928392
Position 6665: 0.6934456415207776
Position 8116: 0.46229326037525664
Position 1062: 0.3742106725010064
Position 8981: 0.32504891069795866
Position 8068: 0.26976108011285244
Position 6646: 0.13741059879723494
Position 10426: 0.1267674966029597
Position 8631: 0.10487564163970299
Position 2950: 0.0758183394336989
Position 4342: 0.07139655405204197
Position 6683: 0.06050385680817164
Position 2004: 0.050909866736110365
Position 11411: 0.048649773021190675
Position 508: 0.04583448126739777
Position 10304: 0.039951674744533795
Position 2784: 0.034852735556904615
Position 8627: 0.03485239234278293
Position 11257: 0.03367464827600469
Position 6807: 0.030783439460877735
Position 9644: 0.030519870053247956
Position 5585: 0.027119374625192327
Position 6783: 0.025542098934816217
Position 4428: 0.024319056835191716
Position 3650: 0.022187792970862767
Position 1935: 0.018722854397517297
Position 7391: 0.017562152918149016
Position 10282: 0.01014949224712711
Position 2074: 0.008847503855360088
Position 5459: 0.008659129492952847
Position 5016: 0.006928414281949049
Position 11008: 0.006551015843171005
Position 2830: 0.006211415955424184
Position 8054: 0.006168140473568638
Position 11390: 0.00561115391199753
Position 10343: 0.005501988425605913
Position 179: 0.005150299074681117
Position 4248: 0.004034193645780476
Position 9017: 0.0034700478472362165
Position 11482: 0.003382108661990911
Position 6534: 0.0029229543606584104
Position 9104: 0.002510874430823297
Position 5861: 0.002489944580881544
Position 11226: 0.0023320512559355305
Position 5388: 0.002301855480776303
Position 8985: 0.0019827025428705626
Position 1705: 0.0017534999808525107
Position 1406: 0.0015160454302151564
Position 8079: 0.001373847757995802
Position 10311: 0.001231827695433092
Position 1289: 0.0011952461057367489
Position 9771: 0.0011715702677298325
Position 9855: 0.0011677411571250755
Position 1055: 0.0011537239719911173
Position 5639: 0.0010931672834836592
Position 3170: 0.0010147856494440457
Position 9253: 0.0008009790104602818
Position 4837: 0.0007933405592447146
Position 11704: 0.0006345370841943525
Position 1880: 0.0006103674765972094
Position 599: 0.000606702396856418
Position 1480: 0.0005073398951147964
Position 2352: 0.00048122932878551494
Position 3549: 0.00032083709758977733
Position 11815: 0.0002979219361708226
Position 7401: 0.00029665317086247295
Position 167: 0.000278515685896293
Position 8120: 0.00023977612464467444
Position 112: 0.00021997398097862737
Position 846: 0.00020988164329609514
Position 122: 0.00020254699559166332
Position 9367: 0.00019311035612948257
Position 27: 0.00016601839816406206
Position 183: 0.00016330409092895108
Position 1687: 0.00010004999079323522
Position 2770: 9.883504030808438e-05
Position 2494: 8.268289202342609e-05
Position 1228: 6.794768930439777e-05
Position 423: 5.695528859281125e-05
Position 659: 5.379891521089785e-05
Position 396: 5.360032127660002e-05
Position 539: 4.57132440215814e-05
Position 780: 4.5120433773636654e-05
Position 1527: 4.3650422562553596e-05
Position 2302: 3.946270560088523e-05
