Gene = LTO1
index = 614
Annotated 5SS: [ 230 1434 2581]
Annotated 3SS: [ 1327  2509 13824]
SMsplice 5SS: [ 230 1434 2581 4242]
SMsplice 3SS: [ 1327  2509  4126 14993]
top_k =  1000
Partition function (log Z): -7.8591100909919565

Sorted 5' Splice Sites (High to Low Probability):
Position 4242: 0.9474415935691581
Position 1434: 0.9345457076487997
Position 230: 0.9199004712601507
Position 2581: 0.8456622797077546
Position 6605: 0.32355492709962963
Position 4770: 0.16535102866375326
Position 5222: 0.1259965031177827
Position 5229: 0.10653933916245913
Position 4546: 0.07731210079097867
Position 2287: 0.061650108697440656
Position 6154: 0.04727225835132013
Position 4784: 0.03251732144851817
Position 352: 0.027457484436329723
Position 5736: 0.023226374125162715
Position 443: 0.022109602046119083
Position 2832: 0.017757677621697502
Position 8632: 0.017457664288138854
Position 1957: 0.016067009155431963
Position 9184: 0.014930590764275293
Position 2064: 0.010571440248177376
Position 3814: 0.010536659917451724
Position 1397: 0.006601234109742433
Position 497: 0.005674286846250779
Position 2019: 0.0053998828691707934
Position 3395: 0.00482736625822952
Position 3347: 0.004715727471130791
Position 735: 0.004614073820142861
Position 1407: 0.004493627248498892
Position 476: 0.003484654627974386
Position 8373: 0.0032196588693165777
Position 485: 0.003162642640845706
Position 2797: 0.00256211624267864
Position 2411: 0.0024223201991449214
Position 1984: 0.002347366535565482
Position 1749: 0.002256245612265342
Position 3310: 0.0021002092107091884
Position 4298: 0.0020089598822754214
Position 4620: 0.001978446252384801
Position 1438: 0.0019699179002621112
Position 213: 0.0018318668210356513
Position 9510: 0.0016873946773384289
Position 2944: 0.0016777241050303562
Position 5331: 0.0015319171260271252
Position 779: 0.001524221892626945
Position 362: 0.001371444798102496
Position 6434: 0.0012474649347816373
Position 210: 0.0012445464986280087
Position 6678: 0.0008760940038733594
Position 3402: 0.0008636688535556818
Position 1131: 0.0007976065974111483
Position 2128: 0.0007619037603909567
Position 6107: 0.0007513998696227163
Position 4232: 0.0007159257750000139
Position 2275: 0.0006676500394357002
Position 434: 0.0006410354351575962
Position 2010: 0.0005758135808126769
Position 2324: 0.0005072101134079662
Position 1920: 0.0004643753305869171
Position 2160: 0.0004309879360538119
Position 2315: 0.00040018417340202255
Position 797: 0.0003364969831381558
Position 1700: 0.0003136384346647771
Position 4934: 0.00030920638698884886
Position 480: 0.00028872697417690847
Position 1168: 0.00028803841833034287
Position 1427: 0.000270089950641887
Position 2291: 0.00024150254220493855
Position 1975: 0.00022872566149352574
Position 1811: 0.00022202803998208032
Position 514: 0.00020421820901667025
Position 737: 0.00018938456937779352
Position 1292: 0.00018560228914991353
Position 2153: 0.00017949720396890219
Position 109: 0.00017783297455716714
Position 4403: 0.00017778468802401412
Position 5169: 0.00016949663798934526
Position 4481: 0.0001573263008496224
Position 1792: 0.00013724377981214848
Position 4599: 0.00013008409416768844
Position 97: 0.00012972686135871584
Position 839: 0.00012495919735599367
Position 4612: 0.00012473695752946722
Position 1761: 0.00012029344240384835
Position 751: 0.00011826813865810317
Position 4270: 0.00011734464678277967
Position 638: 0.00010914669445078065
Position 894: 9.217575250738703e-05
Position 2359: 9.032648771124181e-05
Position 4137: 8.325214748086668e-05
Position 277: 8.294161225679507e-05
Position 3612: 8.16740397742199e-05
Position 921: 8.116177951604068e-05
Position 4801: 8.113966971456444e-05
Position 4699: 7.434829947577887e-05
Position 101: 7.304531967324456e-05
Position 5135: 6.495477045180916e-05
Position 2953: 6.389310951052857e-05
Position 3091: 6.049097120951999e-05
Position 118: 5.670647860484102e-05
Position 378: 4.6370317209772235e-05
Position 1997: 4.396872063076816e-05
Position 407: 4.2900988807552405e-05
Position 875: 4.161038744623639e-05
Position 1753: 4.096149339947015e-05
Position 326: 3.5684025543589216e-05
Position 186: 3.503914308104883e-05
Position 850: 3.4968354226294104e-05
Position 2454: 3.121731864141367e-05
Position 744: 2.9573492808657973e-05
Position 1207: 2.9257458310283074e-05
Position 528: 2.9134949495662588e-05
Position 4500: 2.4635449595073292e-05
Position 630: 2.4346452912454818e-05
Position 993: 2.330848891935399e-05
Position 916: 2.2007334758926604e-05
Position 904: 1.938816742159882e-05
Position 871: 1.710735867289685e-05
Position 4479: 1.4661013469252537e-05
Position 2459: 1.4484308455988205e-05
Position 721: 1.4116020109812112e-05
Position 69: 1.1291582309003572e-05
Position 684: 1.1211911192079353e-05
Position 1181: 9.927747082558706e-06
Position 1457: 8.976676045951711e-06
Position 1018: 8.687863630294318e-06
Position 1066: 6.2694329281450405e-06
Position 976: 6.241252970187507e-06
Position 933: 4.586924488851149e-06
Position 2450: 4.097796064371435e-06
Position 2568: 2.3989796046212592e-06
Position 4343: 1.1643111780139395e-06
Position 1774: 1.0832796243192648e-06
Position 1536: 9.886904345698977e-07
Position 2990: 9.58089191215119e-07
Position 2980: 9.377627352256887e-07
Position 32: 5.889765286369775e-07
Position 1624: 4.9130269556875e-07
Position 1820: 3.218724534714315e-07
Position 71: 3.182651921540463e-07
Position 1931: 2.8344352557427725e-07
Position 1309: 2.0075786373824976e-07
Position 2547: 1.4655710438915255e-07
Position 762: 4.920796018131482e-08
Position 1256: 4.553754981363031e-08
Position 1740: 4.5433254404842496e-08
Position 784: 4.3033317347439175e-08
Position 1813: 2.7045633343568486e-08
Position 1214: 2.346624566111451e-08
Position 1827: 1.8451146733252726e-08
Position 1702: 1.5773957871644524e-08
Position 523: 1.0297026505372397e-08
Position 1369: 8.469231979651626e-09
Position 1478: 2.737958431308115e-09
Position 1570: 1.5140214330555116e-09
Position 564: 9.062194165716603e-10
Position 1481: 7.342361253384844e-13
Position 1473: 5.481531726156209e-13
Position 697: 2.380848920400883e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1327: 0.9028630383757071
Position 2509: 0.5848966665122571
Position 4126: 0.3655042851911859
Position 4166: 0.3120038428146868
Position 6536: 0.2209759646569898
Position 4123: 0.21213804714513118
Position 5112: 0.2073128186659705
Position 2382: 0.18260119777746128
Position 4698: 0.14296567963056267
Position 10852: 0.14016609510791303
Position 6243: 0.09779231299166048
Position 9479: 0.08721005260680062
Position 4391: 0.08052266046792594
Position 4509: 0.07688252585243392
Position 9102: 0.07057447165336242
Position 2245: 0.06435986063988376
Position 5017: 0.05732082631593074
Position 6986: 0.05674047426012027
Position 7410: 0.05650925725662789
Position 14993: 0.053921619558341474
Position 14857: 0.053325615642526754
Position 6387: 0.0502952553205114
Position 14366: 0.03621890266486574
Position 7186: 0.035887791997460346
Position 4064: 0.03293039521782469
Position 6557: 0.03284101512196063
Position 6065: 0.02914997355058837
Position 2194: 0.029083070684120797
Position 13824: 0.02890046784183165
Position 9283: 0.027076491084868273
Position 2359: 0.022304100394329507
Position 1880: 0.021991333133897235
Position 13707: 0.020537456596164856
Position 4533: 0.019965590686026078
Position 1247: 0.01975747769166639
Position 4102: 0.01839239015419049
Position 9280: 0.016320850759283294
Position 6347: 0.016195231117444524
Position 5473: 0.015784268726725205
Position 5904: 0.014816977627604384
Position 5221: 0.01480707501754995
Position 8552: 0.013106866919727556
Position 4731: 0.0123820943547009
Position 3207: 0.0121079093265462
Position 2127: 0.011757568055581653
Position 1893: 0.01046749154169115
Position 1349: 0.010359210780839576
Position 6032: 0.00990509819209226
Position 4130: 0.009324497436160933
Position 8447: 0.008751416514972844
Position 8019: 0.008474115388845484
Position 5506: 0.00841375146996704
Position 2682: 0.007939672881186908
Position 11326: 0.00701965794067467
Position 3711: 0.006913130044748319
Position 11600: 0.006521809314364276
Position 7838: 0.006106981621932502
Position 5625: 0.005895660804944853
Position 4925: 0.0055123076534298425
Position 2616: 0.005437944763468825
Position 6667: 0.005329427299808682
Position 6403: 0.005274680831895164
Position 11912: 0.0048395026292747945
Position 9150: 0.004667967633911489
Position 13032: 0.004548321981444727
Position 9509: 0.004203728964995613
Position 8261: 0.003738648454066464
Position 6752: 0.0033077713112333895
Position 5926: 0.0032949672465839163
Position 1667: 0.0032888176362054324
Position 5154: 0.0032461822510356296
Position 4669: 0.0031862567416506733
Position 1230: 0.0031275246582738304
Position 2450: 0.002978760189542261
Position 3573: 0.0029649024634839896
Position 1840: 0.0029397207775063955
Position 2545: 0.0029108818722324787
Position 8258: 0.0029013038249306664
Position 6035: 0.0029001768512359693
Position 6266: 0.002867114268875954
Position 9301: 0.0026759648359494597
Position 6004: 0.0025729281859255544
Position 2440: 0.0025662198958228493
Position 2763: 0.0024417360953825234
Position 10151: 0.002177652629636787
Position 8659: 0.002052464673907212
Position 2559: 0.001908835136339531
Position 2198: 0.0018589637453501283
Position 4070: 0.001539010559411363
Position 4352: 0.001514232994570856
Position 8505: 0.0014530717191131037
Position 4005: 0.0014369787653034922
Position 7272: 0.0014270765857974006
Position 4453: 0.0013249098810111882
Position 2712: 0.0013169282134471796
Position 2699: 0.0012589573242679333
Position 1914: 0.0012512271502331332
Position 4663: 0.0011959026449071702
Position 1261: 0.0011898799362206486
Position 7425: 0.001168343388782524
Position 2010: 0.0011572843242046763
Position 1560: 0.0011356543051535962
Position 6932: 0.001094393328377483
Position 10110: 0.0010939924093806043
Position 6071: 0.0010784379033217102
Position 5442: 0.001064031427573648
Position 7304: 0.0010503528283195894
Position 1389: 0.0010426681600719783
Position 4136: 0.0010211672858631065
Position 2426: 0.0009082095631257682
Position 6847: 0.0008949925651016656
Position 5294: 0.0008145557983923044
Position 1223: 0.00079316779965422
Position 2785: 0.0007849774657694549
Position 2149: 0.0007557601258467837
Position 386: 0.0007555713677723346
Position 591: 0.0007403003760234455
Position 607: 0.0007223791757808396
Position 4579: 0.0006974609695345732
Position 1692: 0.0006848432789425533
Position 5119: 0.0006580762141112838
Position 5629: 0.0006280208109144432
Position 2389: 0.0006017551555914898
Position 2831: 0.0005926866903842006
Position 4537: 0.0005653232428561921
Position 3141: 0.0004952329419470032
Position 4687: 0.00046075214810739916
Position 6153: 0.0004461170205087835
Position 3625: 0.00043944151259162995
Position 2319: 0.00042893365966093514
Position 2650: 0.0004284930034663847
Position 7902: 0.00042779887156924973
Position 1281: 0.00041830480483210275
Position 2796: 0.0004171171287262729
Position 4588: 0.0004081164053161559
Position 2725: 0.00039805969379287437
Position 461: 0.0003810299836252602
Position 973: 0.0003800550512384383
Position 1788: 0.0003712259321050945
Position 6358: 0.0003703263123776039
Position 5042: 0.0003663392871833388
Position 3267: 0.0003342195954386161
