Gene = Sprr2d
index = 1019
Annotated 5SS: [42]
Annotated 3SS: [1094]
SMsplice 5SS: [42]
SMsplice 3SS: [1094]
top_k =  1000
Partition function (log Z): -5.297379269167939

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.9909598624221705
Position 371: 0.09459867194083979
Position 367: 0.019003111951810543
Position 442: 0.010633342021419702
Position 506: 0.010248302165617075
Position 600: 0.009077863538170508
Position 1368: 0.009058840804808899
Position 244: 0.0068905443875115135
Position 1206: 0.003920399052865233
Position 297: 0.0024905898323769006
Position 1179: 0.00184095142311863
Position 1233: 0.0008782074984445974
Position 900: 0.0008265740087780749
Position 1373: 0.0007376044320497444
Position 1609: 0.0006162653425964272
Position 1162: 0.0005330128728721282
Position 710: 0.00043537026592653435
Position 444: 0.0004283157235187637
Position 150: 0.00038826521567625225
Position 398: 0.00035240457172164985
Position 1208: 0.0002641414406417179
Position 1422: 0.0002584678068329489
Position 454: 0.0002157982070044158
Position 1600: 0.00016991373362567876
Position 489: 0.0001083975164886982
Position 417: 8.562120093212375e-05
Position 9: 7.720774094290518e-05
Position 1164: 7.349863865944055e-05
Position 1350: 6.697157983935752e-05
Position 1193: 6.281432003905343e-05
Position 60: 3.1328838128323006e-05
Position 452: 2.3239627010500184e-05
Position 392: 2.2453281427834687e-05
Position 1220: 2.0985795268565204e-05
Position 301: 2.0630272926163275e-05
Position 68: 2.0475551958142837e-05
Position 259: 1.630369497897401e-05
Position 470: 1.3707206933089563e-05
Position 433: 1.3100731839010686e-05
Position 88: 1.288069738295282e-05
Position 46: 1.2794036973140918e-05
Position 161: 1.2722908508862106e-05
Position 1508: 9.81658738547722e-06
Position 74: 9.36064610573367e-06
Position 621: 8.777645532477059e-06
Position 1532: 7.3771918686930085e-06
Position 179: 7.257949786196354e-06
Position 93: 7.097423430805537e-06
Position 591: 5.153856857101046e-06
Position 124: 5.131735780056515e-06
Position 519: 3.924896811750279e-06
Position 1274: 3.0791992696374133e-06
Position 1543: 2.8540767081541296e-06
Position 1286: 2.8143946550444217e-06
Position 1247: 2.291892304178547e-06
Position 198: 1.2061719947962891e-06
Position 164: 6.193746521508802e-07
Position 205: 5.328252750130827e-07
Position 191: 4.110957092357138e-07
Position 48: 3.1067154271502995e-07
Position 129: 2.87737369315713e-07
Position 96: 2.102967119982546e-07
Position 115: 1.4586650083117713e-07
Position 327: 1.4230903172777165e-07
Position 117: 1.3933609087050604e-07
Position 77: 1.2140777037802896e-07
Position 912: 7.682251318190901e-08
Position 725: 5.4213627815480714e-08
Position 271: 5.287986311526869e-08
Position 604: 5.0112643049673435e-08
Position 575: 4.35631457460147e-08
Position 1383: 4.165035288410296e-08
Position 997: 2.1229165220439432e-08
Position 232: 2.108764236175141e-08
Position 1003: 1.15102187681764e-08
Position 273: 7.566244847009812e-09
Position 517: 3.8117814170870095e-10
Position 1134: 4.111591136696862e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1094: 0.8461922424425605
Position 284: 0.10297672002587838
Position 342: 0.05782916107448201
Position 409: 0.03434050223196028
Position 228: 0.02483380068753971
Position 1524: 0.024478632904142216
Position 1652: 0.013274366693541522
Position 1308: 0.011995943410101675
Position 1305: 0.006489079511689229
Position 1699: 0.0048353049066276466
Position 1347: 0.004550694821371866
Position 461: 0.0036770749949762015
Position 129: 0.0028822840588797072
Position 1128: 0.002225472438417645
Position 1433: 0.0021846851723653963
Position 1344: 0.002154032891175218
Position 441: 0.0018368342860810636
Position 370: 0.0018111023004112347
Position 1125: 0.0017395791506587962
Position 1233: 0.0017094076455962935
