Gene = Lce1m
index = 628
Annotated 5SS: [44]
Annotated 3SS: [420]
SMsplice 5SS: [184]
SMsplice 3SS: [420]
top_k =  1000
Partition function (log Z): -10.063522453459573

Sorted 5' Splice Sites (High to Low Probability):
Position 184: 0.730041333977389
Position 44: 0.2197247313929485
Position 119: 0.03369483617474761
Position 151: 0.009878811339846756
Position 106: 0.0023272032027448356
Position 339: 0.0010606076830503596
Position 491: 0.0008115968681958755
Position 203: 0.0007766697645306342
Position 514: 0.000762882975942323
Position 222: 0.0004707476232140161
Position 177: 0.0004608636179094004
Position 970: 0.00044971955744859077
Position 245: 0.0003729606052108138
Position 850: 0.00025512880063669195
Position 266: 0.0001887727106279835
Position 862: 0.00012608200261525235
Position 886: 0.00012533920587297646
Position 18: 0.00011942590327489969
Position 523: 0.00010426332662055072
Position 302: 0.00010345143107728413
Position 165: 9.285135133334506e-05
Position 197: 9.139718391753914e-05
Position 619: 8.891822500244111e-05
Position 823: 8.115587494313563e-05
Position 793: 7.940899900516471e-05
Position 754: 7.148128350145631e-05
Position 1128: 7.034639637907668e-05
Position 439: 4.4176201518799435e-05
Position 784: 4.383003833329465e-05
Position 691: 3.813775200553504e-05
Position 814: 3.779128240196237e-05
Position 745: 3.020217360243235e-05
Position 772: 2.9372993395174882e-05
Position 664: 2.838508187057195e-05
Position 646: 2.6464038780220977e-05
Position 350: 2.338705353451861e-05
Position 733: 2.320165603496073e-05
Position 1080: 2.2441386167747675e-05
Position 682: 2.17674065154458e-05
Position 31: 2.1011292714568644e-05
Position 574: 1.9650767693012987e-05
Position 1120: 1.5754621385677812e-05
Position 655: 1.4543708284889189e-05
Position 628: 1.4093194263332483e-05
Position 721: 1.3938105848140282e-05
Position 856: 1.3286006512908823e-05
Position 868: 1.051501512506398e-05
Position 841: 1.0322841160275592e-05
Position 434: 9.873401556122899e-06
Position 709: 9.51749652663815e-06
Position 81: 8.865251632839166e-06
Position 541: 6.17215973256624e-06
Position 577: 5.871447817069843e-06
Position 1035: 5.342552995326515e-06
Position 844: 5.1602459207741245e-06
Position 538: 4.512730751649088e-06
Position 458: 3.6053179238255436e-06
Position 355: 3.054396420705899e-06
Position 892: 2.3772569922842142e-06
Position 397: 7.823333632205593e-09
Position 378: 1.3413140015769163e-09
Position 420: 2.400257325170678e-10
Position 883: 8.031390905977526e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 420: 0.433428065770605
Position 1061: 0.18185266528430466
Position 517: 0.12934736955605058
Position 634: 0.055390951535077934
Position 222: 0.05366901343828171
Position 547: 0.03846136227152783
Position 565: 0.025598812464439527
Position 1104: 0.021007384418162595
Position 326: 0.008420869162844121
Position 649: 0.007438198359649816
Position 446: 0.005723959423152044
Position 482: 0.005451273559084825
Position 1064: 0.0047061696514198266
Position 443: 0.0035400432237592656
Position 652: 0.0028578864656785318
Position 955: 0.002368808752313016
Position 350: 0.00226322004094409
Position 294: 0.0018383134780395167
Position 706: 0.001820720267126135
Position 679: 0.0013281461178642985
Position 602: 0.0012818734057472485
Position 969: 0.0011958775581191058
Position 769: 0.0011651642248347118
Position 431: 0.0010479466457443435
Position 1237: 0.0009895570679481348
Position 1127: 0.000809208087513166
Position 355: 0.0006335856183575975
Position 892: 0.0005104266056188229
Position 238: 0.0004680191830630683
Position 1204: 0.000449373784499264
Position 328: 0.0003792547355765042
Position 688: 0.0003786456610502405
Position 364: 0.0003744876648761647
Position 715: 0.00036721968054657266
Position 375: 0.00031834942833068705
Position 703: 0.00031391940957227487
Position 183: 0.0002616270301705817
Position 727: 0.0002550784857844393
Position 811: 0.00025069340719821126
Position 676: 0.000241141015967369
Position 808: 0.0002244852381988722
Position 1119: 0.00022279157318679218
Position 766: 0.00022226710505832234
Position 778: 0.00022102127641541726
Position 661: 0.00022019218771952005
Position 739: 0.00021838677865595562
Position 993: 0.000206891701220745
Position 730: 0.00019703751165457285
Position 592: 0.00017505634608505635
Position 838: 0.00017435313768127678
Position 751: 0.00017211677808772252
Position 919: 0.00016017691929216224
Position 742: 0.00013997093922147086
Position 841: 0.00012693292118851442
Position 130: 0.00012578931433118428
Position 718: 0.00012082847754027194
Position 491: 0.00010826622119061809
Position 931: 9.984873724825714e-05
Position 452: 9.214071965819645e-05
Position 805: 8.744957524479832e-05
Position 941: 8.69979652701974e-05
Position 664: 7.954080678319297e-05
Position 925: 7.900765068614751e-05
Position 913: 7.884437876525036e-05
Position 242: 7.506894209638542e-05
Position 296: 7.153241853349269e-05
Position 448: 6.490018891841957e-05
Position 916: 6.456329618236226e-05
Position 117: 6.42507421462109e-05
Position 177: 6.255175692799037e-05
Position 790: 5.546732134631408e-05
Position 781: 5.4737072104159e-05
Position 245: 5.3917324901713524e-05
Position 889: 5.2665461164998785e-05
Position 754: 5.236539008533787e-05
Position 938: 5.0344541401432926e-05
Position 691: 4.71440084335838e-05
Position 835: 4.173082325833867e-05
Position 256: 3.171806777865496e-05
Position 1007: 2.758272888343536e-05
Position 458: 2.4188153366373105e-05
Position 1189: 2.2956052194174376e-05
Position 1134: 1.9779823565668636e-05
Position 1071: 1.8849421853974308e-05
Position 793: 1.648996560555124e-05
Position 874: 1.5808447859308492e-05
Position 901: 1.4978438359055404e-05
Position 464: 1.4855086206899754e-05
Position 1033: 1.4761271889479904e-05
Position 823: 1.4056320821432678e-05
Position 862: 1.2855557725837949e-05
Position 203: 1.2739383968444968e-05
Position 904: 1.2539370268695727e-05
Position 1028: 9.117633868299135e-06
Position 139: 8.990089000255022e-06
Position 820: 6.701299721945196e-06
Position 853: 6.400331129894317e-06
Position 163: 6.198013912758681e-06
Position 155: 6.082858019341401e-06
Position 333: 5.914684828972808e-06
Position 877: 4.949719546397882e-06
Position 850: 3.3331538974449753e-06
Position 1019: 2.8099632085982057e-06
Position 865: 2.445694701442123e-06
Position 193: 2.253556027809148e-06
Position 1141: 1.6284488693539002e-06
Position 147: 1.426830939070915e-07
Position 93: 1.030806029688857e-07
Position 149: 4.003970165171026e-08
Position 81: 1.87258356188332e-08
Position 97: 1.0393753175084719e-08
Position 158: 7.889593767161976e-09
