Gene = Uros
index = 1170
Annotated 5SS: [  273  6952  7443  8468 10138 11613 18196 18774 19700]
Annotated 3SS: [ 6811  7358  8370 10062 11537 18114 18687 19600 22164]
SMsplice 5SS: [  273  3745  6952  7443  8468 10138 11613 18196 19700]
SMsplice 3SS: [ 3690  6858  7358  8370 10062 11537 18114 19600 22164]
top_k =  1000
Partition function (log Z): -0.581231668398102

Sorted 5' Splice Sites (High to Low Probability):
Position 6952: 0.9820603453677251
Position 18196: 0.8964874104156786
Position 19700: 0.8860228547061988
Position 10138: 0.8706010438076659
Position 8468: 0.8084389990300813
Position 7443: 0.6655561583234101
Position 11613: 0.6533133349812484
Position 273: 0.6279363413044597
Position 3745: 0.5703658021893456
Position 18774: 0.5186819263398224
Position 20188: 0.24377888721355973
Position 358: 0.16258109939067342
Position 2524: 0.16104431322862425
Position 16667: 0.15324382267622005
Position 9063: 0.15315812210328894
Position 975: 0.15175337536749633
Position 20393: 0.14638879695056664
Position 18419: 0.1269462107486878
Position 299: 0.12263895865523225
Position 20218: 0.11717150826928578
Position 13762: 0.10422238643975541
Position 7669: 0.09137392295418421
Position 9357: 0.07649476696705572
Position 7791: 0.07225832375562874
Position 15987: 0.06621608503143031
Position 9179: 0.06487331038785263
Position 3884: 0.06460645416398972
Position 11302: 0.06389705940866304
Position 4611: 0.0605747407633329
Position 14049: 0.05963570939922748
Position 10811: 0.058205377921681734
Position 6349: 0.054742521818659476
Position 9244: 0.04889729840274513
Position 1419: 0.036531092799416756
Position 13741: 0.0343251677393774
Position 8648: 0.032748204868869354
Position 11264: 0.03240716431134471
Position 19777: 0.03155695647687472
Position 244: 0.031025106480633568
Position 20772: 0.030049180835680558
Position 3772: 0.028123297696870442
Position 16751: 0.024737851217233753
Position 3830: 0.023204157758676663
Position 8248: 0.022305812211572507
Position 12338: 0.021861795747148048
Position 19466: 0.02155394047916107
Position 12310: 0.02099445577570567
Position 755: 0.017436744872001437
Position 20698: 0.014199238361020324
Position 10746: 0.013572379579936263
Position 17934: 0.011637415083075656
Position 15191: 0.01127421413765737
Position 14135: 0.00897137402334609
Position 11196: 0.008937113701651527
Position 8335: 0.008618177857754065
Position 15650: 0.00792817391196552
Position 333: 0.0074088502471162145
Position 8268: 0.007331240185106941
Position 11981: 0.007320305505089298
Position 14292: 0.006917913375770313
Position 7735: 0.006627721505714376
Position 19808: 0.006129694409949321
Position 12313: 0.006047213003794618
Position 6240: 0.005455418588730435
Position 19458: 0.004963452468577948
Position 240: 0.004880980524619098
Position 2777: 0.004705396944262721
Position 781: 0.004677451114077462
Position 266: 0.004671268495484662
Position 11691: 0.004516975957150469
Position 19705: 0.00444518048605442
Position 794: 0.004408337875153811
Position 20471: 0.004307438854016347
Position 18579: 0.003931785910544857
Position 10318: 0.00366171200318766
Position 21715: 0.0032699599025539394
Position 10223: 0.0027549017270964036
Position 6338: 0.0027047536204385394
Position 17051: 0.0023187366169148027
Position 7850: 0.002283155874395702
Position 630: 0.002268271792092559
Position 9700: 0.0019592181257558614
Position 20990: 0.0018677374860673168
Position 15668: 0.001622446437796858
Position 1391: 0.0015659239569524048
Position 935: 0.0013396599548707558
Position 1650: 0.0012185329462890485
Position 3313: 0.0011825585167875665
Position 3231: 0.0011460231572610407
Position 7995: 0.0010797157243821378
Position 3051: 0.0010293400959903967
Position 20301: 0.0009933583210903678
Position 21487: 0.0009764168112031491
Position 3226: 0.0009520691843619975
Position 1082: 0.0008910842511436058
Position 2835: 0.0008483053044888707
Position 2532: 0.0008023232163465132
Position 12: 0.0007883606944795229
Position 958: 0.0007861173813854972
Position 6589: 0.0007679419908682426
Position 9861: 0.0006631447941843862
Position 9793: 0.00063357164646663
Position 2542: 0.000615352888170399
Position 3308: 0.0005326023989296881
Position 765: 0.0005320017702695732
Position 2379: 0.0005125418636615942
Position 7019: 0.00048531104017105977
Position 1732: 0.00046711571107419555
Position 2419: 0.00044703616946580954
Position 1142: 0.0004430670072776302
Position 9058: 0.00041952269472456
Position 48: 0.00040606947810558367
Position 1557: 0.00037477320122448766
Position 1661: 0.00037243666002665326
Position 53: 0.0002949764585721354
Position 1100: 0.0002949531391191055
Position 7195: 0.000289716813021474
Position 1173: 0.0002677520607173908
Position 693: 0.0002599340750244657
Position 2727: 0.0002326780955390723
Position 582: 0.00020676773343239713
Position 7895: 0.00017985936334890073
Position 10106: 0.00016933980890202404
Position 9033: 0.00016172908530630016
Position 8000: 0.00016161872495599992
Position 10751: 0.00014275599067593812
Position 6830: 0.00012522595754306786
Position 222: 0.00011441207706264976
Position 19985: 0.0001117658200681687
Position 4602: 9.692851738282559e-05
Position 4371: 9.634641781788625e-05
Position 10162: 9.153473112620565e-05
Position 8772: 8.995595837358251e-05
Position 10630: 8.416449918244572e-05
Position 860: 7.901852180068356e-05
Position 1275: 7.516358368641754e-05
Position 1293: 7.297553023626519e-05
Position 450: 6.950370972510388e-05
Position 1396: 6.923981288816912e-05
Position 316: 6.352492677392384e-05
Position 831: 6.184679883772336e-05
Position 647: 5.916198803847076e-05
Position 4248: 5.7172909070195295e-05
Position 8525: 5.044048686754796e-05
Position 4147: 4.671839515064402e-05
Position 1009: 3.794568366991565e-05
Position 2141: 3.3351978254460056e-05
Position 1606: 3.0052181527352238e-05
Position 1767: 2.9013261176875217e-05
Position 10189: 2.8787562121245375e-05
Position 10753: 2.0937958309980818e-05
Position 248: 2.0825719235460707e-05
Position 362: 2.0742814304638665e-05
Position 1835: 1.8866043573012954e-05
Position 2016: 1.8125434298373035e-05
Position 10735: 1.4812561251802662e-05
Position 482: 1.1738095541757738e-05
Position 1826: 1.1254991984743405e-05
Position 477: 1.0431673485293876e-05
Position 547: 1.0031132067978951e-05
Position 657: 8.464340207736854e-06
Position 554: 8.370221457273522e-06
Position 9287: 4.6470659019404546e-06
Position 164: 4.4221477744546545e-06
Position 174: 3.6081490694359105e-06
Position 706: 2.9164736891286856e-06
Position 806: 1.6587647258371497e-06
Position 327: 1.032517104945183e-06
Position 336: 9.857420960640615e-07
Position 364: 8.970700063826341e-07
Position 680: 8.21457949240971e-07
Position 717: 7.74989878768696e-07
Position 168: 6.15348108966289e-07
Position 591: 3.5845110046209285e-07
Position 699: 3.1862991287060295e-07
Position 817: 2.58385658702772e-07
Position 655: 2.0064386339388955e-07
Position 171: 3.381201331096193e-08
Position 166: 1.7398221705377485e-08
Position 187: 1.705907431269114e-08
Position 594: 1.1111705128964792e-08
Position 193: 1.0868648263864964e-08
Position 397: 9.872291822461346e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 18114: 0.9673617800269645
Position 19600: 0.9384969622012775
Position 8370: 0.7657459026349023
Position 10062: 0.7293066749609831
Position 6858: 0.6746864490654426
Position 11537: 0.6524112085134944
Position 7358: 0.6162328820927222
Position 3690: 0.5757647680279886
