Gene = Bard1
index = 168
Annotated 5SS: [  479 13676 15038 28604 36039 37668 49534 55507 56469 71788]
Annotated 3SS: [13618 14894 27665 35957 37494 49424 55373 56375 71689 72293]
SMsplice 5SS: [  479 15038 32367 37668 49534 55507 56469 70300]
SMsplice 3SS: [14923 32267 37494 49424 55373 56375 70073 72293]
top_k =  1000
Partition function (log Z): -39.303786180548876

Sorted 5' Splice Sites (High to Low Probability):
Position 479: 0.9358859805285542
Position 4503: 0.35505532922310024
Position 658: 0.21358808393263345
Position 297: 0.1366077488395616
Position 5989: 0.11426120718914118
Position 4452: 0.061031323241678356
Position 3175: 0.045869953863914334
Position 8425: 0.03350863871530043
Position 285: 0.02380407314696464
Position 6006: 0.02096033873318088
Position 1465: 0.013008500627991975
Position 9759: 0.010665341705828134
Position 5697: 0.009978133184999327
Position 1840: 0.009731708134437925
Position 6139: 0.007733796515716368
Position 3380: 0.006474634623396697
Position 3220: 0.006322964194341996
Position 4550: 0.006120638896944074
Position 758: 0.00518944715864113
Position 2948: 0.00493807624401047
Position 23: 0.00444586330904322
Position 3184: 0.0035362748305807954
Position 77: 0.0030843680677074903
Position 1369: 0.002590684362804937
Position 3366: 0.0023350734739958925
Position 5693: 0.0022924592248254145
Position 2426: 0.0018480304603164042
Position 6806: 0.001452704581088004
Position 960: 0.0013396260398976702
Position 2472: 0.0011991428415879968
Position 4601: 0.0007423095475524099
Position 3907: 0.0007306243180003197
Position 3886: 0.0006475343960852917
Position 1946: 0.0006387859371583539
Position 640: 0.0006380496765574349
Position 834: 0.0005630649856139933
Position 360: 0.00046457414655645706
Position 4919: 0.0003779157065573204
Position 1962: 0.00035174337879751826
Position 194: 0.0003460258031347637
Position 4605: 0.0003298764039917168
Position 644: 0.0002677694464780644
Position 737: 0.00024887693570086513
Position 2042: 0.00023198207526075148
Position 708: 0.00020385173313566257
Position 243: 0.0001900203195487775
Position 1527: 0.00016461541657703663
Position 1400: 0.00014711988852244282
