Gene = Tnp1
index = 1130
Annotated 5SS: [185]
Annotated 3SS: [583]
SMsplice 5SS: [185]
SMsplice 3SS: [583]
top_k =  1000
Partition function (log Z): -6.403886073513206

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.7068445935899647
Position 196: 0.2799278145519124
Position 164: 0.01192310086055921
Position 125: 0.0009275387223436541
Position 422: 0.0001855063884735922
Position 189: 6.783699824775188e-05
Position 154: 5.59443292491982e-05
Position 266: 3.0419850491702463e-05
Position 269: 2.360088652353296e-05
Position 41: 2.338849911909395e-05
Position 464: 2.1911513275241507e-05
Position 48: 4.216870288235571e-06
Position 299: 3.387343046604703e-06
Position 215: 2.999067903751799e-06
Position 376: 2.3898924210870827e-06
Position 505: 2.2053035765222082e-06
Position 115: 1.2867014701055159e-06
Position 328: 1.245161729347279e-06
Position 541: 8.821641139848028e-07
Position 370: 3.7796083823165044e-07
Position 384: 2.7987009747323393e-07
Position 635: 2.4630909876958634e-07
Position 342: 1.9284993420481292e-07
Position 394: 1.4169010020659807e-07
Position 320: 1.2546117170773428e-07
Position 336: 8.905599484274266e-08
Position 562: 8.109225859529043e-08
Position 638: 7.216400846784666e-08
Position 396: 5.0304350068575196e-08
Position 360: 4.820699397206181e-08
Position 413: 4.342282059960942e-08
Position 609: 2.319513148775113e-08
Position 354: 1.7828910129069482e-08
Position 587: 1.7013136281382517e-08
Position 559: 7.154337416127573e-09
Position 347: 5.436738777001058e-09
Position 551: 1.2262135826666372e-09
Position 553: 4.8000086906341815e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 583: 0.9560411145885426
Position 587: 0.030495431315307058
Position 518: 0.004998171747103166
Position 464: 0.003092285086874491
Position 416: 0.0021219338779713006
Position 370: 0.000997408037907536
Position 421: 0.000558329983402674
Position 375: 0.0005040721692998873
Position 659: 0.00028322945337678514
Position 624: 0.00022887229865615325
Position 241: 0.00018960547253882133
Position 668: 9.230644084684919e-05
Position 259: 7.752737897395643e-05
Position 438: 6.36498465802871e-05
Position 394: 6.202268848901388e-05
Position 730: 5.0723096844905734e-05
Position 477: 3.876047443363694e-05
Position 525: 3.615545864100148e-05
Position 662: 3.541302465851283e-05
Position 746: 1.0536268846550574e-05
Position 676: 1.0012455401928338e-05
Position 297: 7.927352101038872e-06
Position 702: 7.57403195703846e-06
Position 290: 7.178294295970246e-06
Position 692: 6.4330358114324565e-06
Position 284: 5.999147524510672e-06
Position 503: 5.726027509161181e-06
Position 706: 5.3237080778094695e-06
Position 305: 4.4290757618109436e-06
Position 714: 2.7029057893990297e-06
Position 720: 2.6365548505484646e-06
Position 276: 2.496860694468477e-06
Position 111: 1.056156918959023e-06
Position 694: 1.0260014608297056e-06
Position 226: 8.941922199966903e-07
Position 266: 7.40155143822514e-07
Position 255: 5.015550840826567e-07
Position 269: 4.943023222605303e-07
Position 299: 4.142115201312975e-07
Position 732: 3.5055719171084033e-07
Position 678: 3.4883523224841645e-07
Position 167: 9.43422538255518e-08
Position 120: 6.343983587663664e-08
Position 124: 2.3855773445688364e-08
Position 137: 2.3722104884005372e-08
Position 189: 1.9339061418241554e-08
Position 207: 1.468601089066208e-08
Position 215: 1.1654057193361948e-08
Position 131: 1.0380238983833188e-08
Position 135: 4.452082082351622e-09
Position 204: 4.031182277943484e-09
Position 122: 2.0191128113008457e-09
Position 152: 1.3752729638465597e-09
Position 150: 1.025826491922544e-09
Position 164: 4.842036801788662e-10
Position 200: 3.661203782298497e-12
