Gene = Fank1
index = 400
Annotated 5SS: [   110  76483  85367  91339  92492  93227 100053 103162 103489 103628]
Annotated 3SS: [ 76304  85241  91256  92416  93160  99886 103017 103410 103582 103736]
SMsplice 5SS: [   110  15433  21988  24879  33686  64072  76483  85367  85603  91339
  92735  93227 100053 103628]
SMsplice 3SS: [ 15306  21853  24784  33568  63954  76304  85241  85453  91256  92546
  93160  99886 103410 103736]
top_k =  1000
Partition function (log Z): -52.238751155137514

Sorted 5' Splice Sites (High to Low Probability):
Position 110: 0.8073846954942661
Position 6078: 0.5458766857246878
Position 15433: 0.29708721009084027
Position 15552: 0.2183130112501207
Position 6058: 0.18843555464947226
Position 14650: 0.1581295022890195
Position 12697: 0.14386149627007627
Position 11068: 0.13657576704217692
Position 707: 0.12721482470375967
Position 6855: 0.07236185722391873
Position 165: 0.06382043235493845
Position 11571: 0.04755712941464404
Position 3931: 0.04060169354201985
Position 6041: 0.0265533878997448
Position 1384: 0.024925950911151053
Position 3484: 0.021251360075478395
Position 2209: 0.02106813275864272
Position 18099: 0.02053207346711511
Position 244: 0.01941374873507162
Position 16175: 0.018953598111812932
Position 15411: 0.017039533130804283
Position 487: 0.016477357124553314
Position 342: 0.014747799388633073
Position 14803: 0.014141637772502607
Position 15449: 0.013161470401614453
Position 6099: 0.013059237424718623
Position 134: 0.008028244638510087
Position 3677: 0.007449717231574765
Position 12226: 0.007383082301580694
Position 3469: 0.004608523773261928
Position 5143: 0.0041210204264663115
Position 14662: 0.0029576961327549044
Position 6339: 0.0008876715557646164
Position 499: 0.0008297374381051082
Position 11063: 0.0007328216088893589
Position 5090: 0.0006123410577929865
Position 2513: 0.0004972191418819083
Position 6027: 0.0004745216229066811
Position 5636: 0.00041982485445829775
Position 4166: 0.0004197400788417667
Position 476: 0.00040098514041111527
Position 335: 0.0003618600706953677
Position 6085: 0.0002804759238735366
Position 11284: 0.00020884950260737308
Position 870: 9.2056047567325e-05
Position 468: 6.308627152909524e-05
Position 357: 5.292239188077204e-05
Position 6598: 5.203644083778418e-05
Position 251: 5.0434893505286644e-05
Position 41: 3.425532803884183e-05
Position 268: 2.948124961410398e-05
Position 746: 1.69804199926679e-05
Position 538: 1.595727289370174e-05
Position 939: 1.5830047260017317e-05
Position 719: 1.551263196049246e-05
Position 711: 1.399735512725345e-05
Position 390: 1.3225783410619213e-05
Position 262: 1.1494737295006219e-05
Position 339: 1.118421909063599e-05
Position 260: 6.9599538227744285e-06
Position 302: 6.637583860126317e-06
Position 470: 6.535481368274146e-06
Position 403: 6.316371575237644e-06
Position 442: 5.505646057574039e-06
Position 1784: 4.818953128568464e-06
Position 512: 3.1646320459302533e-06
Position 1151: 2.9982680768858126e-06
Position 501: 2.629403539734151e-06
Position 454: 2.5957524148365824e-06
Position 514: 2.046142126334969e-06
Position 456: 1.9146377911666637e-06
Position 563: 1.9023926050088703e-06
Position 723: 1.6649701966744161e-06
Position 304: 1.2683433177890594e-06
Position 2311: 1.2506020989260782e-06
Position 2851: 7.056894447280844e-07
Position 460: 6.671168522718269e-07
Position 2213: 5.883365932190562e-07
Position 421: 5.72934985048395e-07
Position 540: 1.914933205831824e-07
Position 428: 1.7559090620579865e-07
Position 407: 1.7164925793331372e-07
Position 595: 1.5468842491903513e-07
Position 593: 8.962119854451581e-08
Position 1266: 6.7166616448732e-08
Position 1331: 5.7903324483315196e-08
Position 1336: 5.6040030248346256e-08
Position 1942: 5.421455525824768e-08
Position 478: 5.057670397468881e-08
Position 993: 4.161056208838131e-08
Position 4: 3.037534764945534e-08
Position 1165: 2.1150039923420638e-08
Position 4813: 3.893363148132687e-09
Position 3297: 3.453538224562966e-09
Position 3167: 2.851891059640086e-09
Position 616: 3.11452475582301e-11
Position 730: 2.078700550812643e-11
Position 878: 5.016772952388766e-12
Position 806: 1.6866356486906655e-12
Position 603: 3.332711213348948e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 15306: 0.6581943748089127
Position 17701: 0.3130699759837252
Position 5963: 0.2734822267385897
Position 16026: 0.22516821999804457
Position 5966: 0.20867902525867077
Position 14536: 0.1811611734071524
Position 5885: 0.16580921283209327
Position 12479: 0.1464136082107362
Position 10949: 0.12185699102522668
Position 5931: 0.10744256309723228
Position 20003: 0.08556711408094209
Position 14756: 0.08220449916155878
Position 11425: 0.06765028252141372
Position 6806: 0.0608205692805203
Position 600: 0.051645260321328795
Position 21853: 0.04010719736504367
Position 18902: 0.024022386836055832
